id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Alternative Rock,1,3866,,10,3.77,1309,20,1,0,0,2536
1,Indie & Lo-Fi,828,828,0,0,3.96,362,7,0,0,0,459
2,Singer-Songwriters,1551,1551,0,0,2.81,604,4,0,0,0,943
3,Ska,98,98,0,0,3.46,36,0,0,0,0,62
4,Hardcore & Punk,1105,1105,0,0,5.77,210,7,1,0,0,887
5,Goth & Industrial,325,325,0,0,4.94,113,3,0,0,0,209
6,American Alternative,28,28,0,0,5.16,12,1,0,0,0,15
7,New Wave & Post-Punk,197,197,0,0,3.31,67,1,0,0,0,129
8,Compilations,26,26,0,0,2.92,13,0,0,0,0,13
9,Live Recordings,11,11,0,0,7.32,2,1,0,0,0,8
10,British Alternative,21,21,0,0,3.17,7,0,0,0,0,14
