id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Appliances,164,11656,,16,87.96,1540,2326,1619,1153,1460,3558
1,Parts & Accessories,1240,7381,0,14,39.53,1459,2193,1474,953,494,808
2,Freezers,8,111,0,2,243.37,1,4,6,8,24,68
3,Trash Compactors,25,25,0,0,176.62,0,5,5,4,4,7
4,Dishwashers,72,585,0,2,479.83,7,0,11,15,94,458
5,Beer Keg Refrigerators,46,46,0,0,388.54,2,0,4,2,20,18
6,Washers & Dryers,15,888,0,4,385.86,20,17,10,33,138,670
7,Ranges,7,451,0,3,332.89,5,13,4,13,114,302
8,Range Hoods,488,488,0,0,307.83,5,15,50,53,260,105
9,Cooktops,343,343,0,0,284.55,2,4,3,21,106,207
10,Refrigerators,795,795,0,0,194.45,10,31,21,28,99,606
11,Beverage Refrigerators,58,58,0,0,388.65,0,2,4,3,21,28
12,Wall Ovens,6,166,0,3,303.58,0,0,0,2,31,133
13,Ice Makers,129,129,0,0,137.0,2,10,12,5,35,65
14,Appliance Warranties,10,10,0,0,0,0,0,0,0,0,10
15,Warming Drawers,10,10,0,0,283.89,0,1,1,1,4,3
16,Appliance Services,6,6,0,0,13.0,2,3,0,0,0,1
17,Combination Microwave & Wall Ovens,19,19,12,0,0,0,0,0,0,0,19
18,Single Wall Ovens,90,90,12,0,356.5,0,0,0,2,18,70
19,Double Wall Ovens,51,51,12,0,202.31,0,0,0,0,11,40
20,Freestanding Ranges,385,385,7,0,360.84,4,13,4,12,85,267
21,Slide-In Ranges,54,54,7,0,212.63,0,0,0,1,23,30
22,Drop-In Ranges,5,5,7,0,719.99,0,0,0,0,1,4
23,All-in-One Combination Washers & Dryers,31,31,6,0,283.71,2,1,1,3,4,20
24,Washers,505,505,6,0,420.98,6,5,4,18,73,399
25,Dryers,319,319,6,0,384.38,12,8,5,11,54,229
26,Stacked Washer & Dryer Units,18,18,6,0,170.94,0,1,0,0,3,14
27,Built-In Dishwashers,510,510,4,0,514.32,4,0,9,15,78,404
28,Specialty Dishwashers,3,3,4,0,724.5,0,0,0,0,2,1
29,Chest Freezers,54,54,2,0,280.51,1,0,2,1,16,34
30,Upright Freezers,49,49,2,0,200.55,0,3,4,7,6,29
31,Washer Parts & Accessories,100,420,1,8,42.51,76,123,82,73,36,30
32,Range Parts & Accessories,541,1021,1,15,31.5,182,362,163,105,37,172
33,Refrigerator Parts & Accessories,450,1939,1,11,47.19,193,478,572,389,147,160
34,Dryer Parts & Accessories,272,566,1,6,26.98,155,219,86,45,20,41
35,Humidifier Parts & Accessories,75,581,1,6,27.42,187,172,76,33,21,92
36,Food Waste Disposer Parts & Accessories,51,51,1,0,62.76,14,8,6,11,11,1
37,Dishwasher Parts & Accessories,137,663,1,10,39.92,131,233,135,65,68,31
38,Oven Parts & Accessories,159,159,1,0,39.05,29,47,39,17,13,14
39,Range Hood Parts & Accessories,73,257,1,4,66.27,98,59,36,16,33,15
40,Cooktop Parts & Accessories,180,180,1,0,50.48,31,48,30,24,16,31
41,Freezer Parts & Accessories,27,129,1,7,37.64,25,19,25,27,5,28
42,Fasteners,143,143,1,0,27.35,71,36,14,11,10,1
43,Trash Compactor Parts & Accessories,12,12,1,0,30.21,2,5,3,2,0,0
44,Wine Cellar Parts & Accessories,20,20,1,0,99.82,1,2,1,6,6,4
45,Ice Maker Parts,63,63,41,0,54.54,6,5,10,18,5,19
46,Shelves,6,6,41,0,32.41,0,1,4,1,0,0
47,Doors,9,9,41,0,41.88,2,0,1,4,0,2
48,Handles,4,4,41,0,16.38,2,0,2,0,0,0
49,Power Cords,2,2,41,0,6.09,1,1,0,0,0,0
50,Drawers,5,5,41,0,24.48,0,3,1,0,0,1
51,Trays,13,13,41,0,7.1,9,1,0,0,0,3
52,Knobs,30,30,39,0,14.22,13,10,5,0,0,2
53,Blowers,21,21,39,0,202.44,5,4,0,2,8,2
54,Filters,121,121,39,0,15.71,62,30,17,4,1,7
55,Screens,12,12,39,0,10.55,7,4,1,0,0,0
56,Baskets,46,46,37,0,37.12,3,21,13,3,2,4
57,Racks,62,62,37,0,43.11,14,22,10,2,9,5
58,Doors,26,26,37,0,39.18,6,7,7,2,3,1
59,Hoses,43,43,37,0,14.94,10,26,3,0,0,4
60,Trim Kits,100,100,37,0,39.79,18,34,18,18,10,2
61,Power Cords,9,9,37,0,48.93,1,5,1,0,2,0
62,Handles,11,11,37,0,96.03,3,4,2,0,1,1
63,Wash Arms,162,162,37,0,35.52,36,57,37,19,12,1
64,Door Springs,27,27,37,0,20.85,4,16,3,2,0,2
65,Panels,40,40,37,0,90.57,5,4,6,5,20,0
