id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Baby Products,0,10147,,13,37.75,1440,2426,1389,618,484,3790
1,Gifts,2,1692,0,5,24.49,168,620,214,53,15,622
2,Bathing & Skin Care,98,1804,0,11,17.13,481,539,198,38,7,541
3,Feeding,20,1129,0,9,21.26,325,296,113,29,22,344
4,Gear,11,322,0,8,98.3,5,27,43,31,56,160
5,Nursery,147,1914,0,2,72.84,85,341,214,158,237,879
6,Strollers,11,216,0,7,86.4,7,30,26,13,31,109
7,Diapering,99,2016,0,10,33.78,205,408,418,173,42,770
8,Car Seats & Accessories,0,168,0,2,59.93,20,42,33,15,15,43
9,Safety,18,438,0,12,56.81,80,45,64,76,54,119
10,Health & Baby Care,22,165,0,7,12.63,46,38,8,1,0,72
11,Potty Training,7,203,0,5,38.18,12,33,48,27,3,80
12,Pregnancy & Maternity,48,85,0,2,45.96,3,10,11,5,2,54
13,Baby Stationery,0,7,0,2,21.36,4,0,2,1,0,0
14,Birth Announcements,3,3,13,0,44.06,0,0,2,1,0,0
15,Thank You Cards,4,4,13,0,4.34,4,0,0,0,0,0
16,Maternity Pillows,33,33,12,0,56.87,3,6,5,3,2,14
17,Prenatal Monitoring Devices,4,4,12,0,16.01,0,3,0,0,0,1
18,Training Pants,177,177,11,0,38.88,5,29,47,26,1,69
19,Potties & Seats,8,8,11,0,18.38,3,0,0,1,0,4
20,Seat Covers,4,4,11,0,7.05,3,1,0,0,0,0
21,Step Stools,6,6,11,0,55.98,0,2,1,0,1,2
22,Travel Potties,1,1,11,0,0,0,0,0,0,0,1
23,Thermometers,3,3,10,0,8.42,2,1,0,0,0,0
24,Teethers,112,112,10,0,14.08,22,20,5,1,0,64
25,Toothbrushes,6,6,10,0,8.61,4,2,0,0,0,0
26,Sun Protection,3,3,10,0,10.58,1,1,0,0,0,1
27,Nasal Aspirators,16,16,10,0,15.03,5,6,2,0,0,3
28,Nail Care,2,2,10,0,2.12,2,0,0,0,0,0
29,Teething Relief,1,1,10,0,24.66,0,1,0,0,0,0
30,Cabinet Locks & Straps,63,63,9,0,8.58,37,12,2,0,0,12
31,Gates & Doorways,217,217,9,0,79.48,3,17,46,60,41,50
32,Bathroom Safety,14,14,9,0,9.68,8,1,1,0,0,4
33,Sleep Positioners,1,1,9,0,0,0,0,0,0,0,1
34,Electrical Safety,9,9,9,0,14.17,5,2,1,0,0,1
35,Edge & Corner Guards,12,12,9,0,13.54,8,0,0,1,0,3
36,Monitors,62,62,9,0,82.1,6,5,5,11,12,23
37,Rails & Rail Guards,6,6,9,0,28.97,0,0,3,0,0,3
38,Safety Caps,7,7,9,0,6.92,4,1,0,0,0,2
39,Kitchen Safety,4,4,9,0,22.1,2,0,0,1,0,1
40,Harnesses & Leashes,5,5,9,0,18.91,1,2,1,0,0,1
41,Outdoor Safety,20,20,9,0,51.85,0,0,3,3,0,14
42,Accessories,132,137,8,2,60.41,20,41,25,14,14,23
43,Car Seats,6,31,8,4,54.95,0,1,8,1,1,20
44,Convertible,7,7,43,0,229.79,0,0,0,0,1,6
45,Booster,13,13,43,0,30.97,0,1,7,0,0,5
46,Infant,4,4,43,0,99.95,0,0,0,1,0,3
47,Toddler,1,1,43,0,0,0,0,0,0,0,1
48,Rear Facing Mirrors,2,2,42,0,30.89,0,0,1,0,0,1
49,Seat Back Kick Protectors,3,3,42,0,11.39,1,2,0,0,0,0
50,Disposable Diapers,863,863,7,0,36.31,25,163,261,106,5,303
51,Wipes & Holders,8,501,7,3,22.89,122,99,83,26,3,168
52,Cloth Diapers,28,151,7,1,24.74,20,45,6,3,3,74
53,Diaper Bags,229,229,7,0,73.87,4,20,40,23,30,112
54,Diaper Pails & Refills,57,57,7,0,23.38,7,24,6,3,1,16
55,Changing Table Pads & Covers,19,19,7,0,32.04,0,4,3,1,0,11
56,Portable Changing Pads,20,20,7,0,20.56,2,7,4,0,0,7
57,Gift Sets,31,31,7,0,25.16,6,8,3,4,0,10
58,Cloth Diaper Accessories,0,37,7,5,19.5,6,8,6,0,0,17
59,Diaper Changing Kits,10,10,7,0,16.2,1,3,1,0,0,5
60,Inserts & Liners,25,25,58,0,17.12,6,7,4,0,0,8
61,Pins & Fasteners,2,2,58,0,0,0,0,0,0,0,2
62,Laundry Detergent,1,1,58,0,19.99,0,1,0,0,0,0
63,Wet Bags,7,7,58,0,0,0,0,0,0,0,7
64,Sprayers,2,2,58,0,39.49,0,0,2,0,0,0
65,Covers,123,123,52,0,23.89,17,40,6,3,2,55
66,Wipes & Refills,475,475,51,0,23.55,113,91,82,26,3,160
67,Wipe Warmers,5,5,51,0,17.37,0,3,0,0,0,2
68,Wipe Holders,13,13,51,0,9.37,7,5,0,0,0,1
69,Accessories,29,87,6,6,34.57,6,25,21,8,2,25
70,Joggers,95,95,6,0,138.58,0,4,4,3,21,63
71,Prams,2,2,6,0,0,0,0,0,0,0,2
72,Lightweight,4,4,6,0,35.36,1,0,0,1,0,2
73,Standard,5,5,6,0,139.0,0,0,0,0,1,4
74,Travel Systems,8,8,6,0,150.31,0,0,0,1,1,6
75,Tandem,4,4,6,0,490.5,0,0,0,0,2,2
76,Weather Shields,27,27,69,0,32.93,1,5,6,3,0,12
77,Travel Carry Bags,10,10,69,0,31.14,0,5,3,1,0,1
78,Organizers,8,8,69,0,22.38,0,6,1,0,0,1
79,Bunting Bags,8,8,69,0,53.05,1,1,3,1,1,1
80,Insect Netting,4,4,69,0,18.47,0,2,0,0,0,2
81,Bassinets & Carrycots,1,1,69,0,149.99,0,0,0,0,1,0
82,Furniture,283,838,5,11,98.16,45,131,91,94,195,282
83,Bedding,19,929,5,9,39.61,31,165,102,57,20,554
84,Crib Bedding,93,248,83,6,85.51,4,11,20,18,16,179
85,Cradle Bedding,0,7,83,4,52.29,0,3,2,0,1,1
86,Blankets & Swaddling,519,519,83,0,26.49,23,126,65,24,1,280
87,Toddler Bedding,6,82,83,4,48.76,1,5,7,10,1,58
88,Gift Sets,19,19,83,0,20.33,2,10,5,0,0,2
89,Quilts & Bed Covers,12,12,83,0,67.37,0,0,0,2,0,10
90,Bassinet Bedding,0,12,83,4,55.65,0,4,0,2,1,5
91,Pillowcases,6,6,83,0,28.64,0,2,0,1,0,3
92,Playard Bedding,5,5,83,0,22.62,1,1,1,0,0,2
93,Sheets,4,4,90,0,20.0,0,3,0,0,0,1
94,Bed Skirts,1,1,90,0,0,0,0,0,0,0,1
95,Mattress Pads,4,4,90,0,71.03,0,1,0,2,0,1
96,Bedding Sets,3,3,90,0,116.45,0,0,0,0,1,2
97,Bedding Sets,69,69,87,0,50.56,1,3,3,10,0,52
98,Sheets,4,4,87,0,12.99,0,1,0,0,0,3
99,Bed Skirts,2,2,87,0,30.98,0,1,1,0,0,0
100,Mattress Pads,1,1,87,0,37.91,0,0,1,0,0,0
101,Sheets,2,2,85,0,23.0,0,1,0,0,0,1
102,Mattress Pads,1,1,85,0,15.99,0,1,0,0,0,0
103,Bedding Sets,3,3,85,0,28.25,0,1,2,0,0,0
104,Bumpers,1,1,85,0,190.0,0,0,0,0,1,0
105,Mattress Pads,12,12,84,0,32.49,0,4,3,1,0,4
106,Sheets,28,28,84,0,28.23,2,3,7,1,0,15
107,Bedding Sets,91,91,84,0,158.66,0,1,4,5,12,69
108,Bumpers,13,13,84,0,58.82,0,0,2,4,1,6
109,Bed Skirts,7,7,84,0,65.78,0,0,1,3,0,3
110,Crib Netting,4,4,84,0,9.06,2,1,0,0,0,1
111,Toddler Beds,78,78,82,0,169.92,0,1,2,9,32,34
112,Nursery Storage & Organization,32,176,82,5,64.66,12,21,29,28,24,62
113,Cribs & Nursery Beds,7,82,82,4,178.59,1,3,4,4,23,47
114,"Gliders, Ottomans & Rocking Chairs",83,83,82,0,240.08,2,0,4,5,25,47
