id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Collectibles & Fine Art,0,6116,,12,55.17,835,612,320,340,318,3691
1,Sports,122,4104,0,23,47.82,605,400,205,220,191,2483
2,Entertainment,9,1676,0,29,56.27,218,190,84,105,90,989
3,Baseball,20,20,0,0,60.01,1,3,6,2,2,6
4,Collectible Coins,0,112,0,2,84.12,5,3,7,6,10,81
5,Football,17,17,0,0,40.88,1,3,5,1,1,6
6,Other,2,2,0,0,599.95,0,0,0,0,1,1
7,Basketball,5,5,0,0,349.48,0,0,1,0,1,3
8,Fine Art,0,124,0,5,324.19,0,1,6,6,21,90
9,Hockey,8,8,0,0,43.97,0,0,2,0,0,6
10,Soccer,15,15,0,0,15.07,0,7,0,0,0,8
11,Movies,28,28,0,0,80.04,5,5,4,0,1,13
12,Music,6,6,0,0,0,0,0,0,0,0,6
13,Paintings,1,54,8,4,690.83,0,0,0,0,6,48
14,Photographs,0,11,8,3,376.67,0,0,0,1,5,5
15,Prints,0,43,8,6,174.62,0,1,6,5,8,23
16,Drawings,0,6,8,5,250.0,0,0,0,0,1,5
17,Mixed Media,10,10,8,0,875.0,0,0,0,0,1,9
18,Chalk Drawings,1,1,16,0,0,0,0,0,0,0,1
19,Charcoal Drawings,1,1,16,0,0,0,0,0,0,0,1
20,Ink Drawings,2,2,16,0,250.0,0,0,0,0,1,1
21,Crayon Drawings,1,1,16,0,0,0,0,0,0,0,1
22,Pencil Drawings,1,1,16,0,0,0,0,0,0,0,1
23,Etchings,4,4,15,0,352.5,0,0,0,1,3,0
24,Archival Digital Prints,15,15,15,0,185.5,0,0,2,3,5,5
25,Woodcuts,1,1,15,0,50.0,0,0,0,1,0,0
26,Aquatint Prints,1,1,15,0,0,0,0,0,0,0,1
27,Lithographs,7,7,15,0,0,0,0,0,0,0,7
28,Serigraphics,15,15,15,0,35.5,0,1,4,0,0,10
29,Toned Print Photographs,6,6,14,0,445.0,0,0,0,0,4,2
30,C-Print Photographs,4,4,14,0,240.0,0,0,0,1,1,2
31,Archival Digital Photographs,1,1,14,0,0,0,0,0,0,0,1
32,Acrylic Paintings,15,15,13,0,472.5,0,0,0,0,2,13
33,Watercolor Paintings,4,4,13,0,0,0,0,0,0,0,4
34,Oil Paintings,33,33,13,0,800.0,0,0,0,0,4,29
35,Encaustic Paintings,1,1,13,0,0,0,0,0,0,0,1
36,Individual Coins,100,100,4,0,104.68,2,2,4,3,9,80
37,Coin Sets,12,12,4,0,46.74,3,1,3,3,1,1
38,Backstage Passes,8,8,2,0,14.3,2,4,0,0,0,2
39,Comic Art,7,7,2,0,380.0,0,0,0,0,2,5
40,Trading Cards,331,331,2,0,20.65,56,12,9,2,4,248
41,Vinyl Records,77,77,2,0,139.88,0,1,7,29,20,20
42,Prints & Posters,217,217,2,0,56.24,7,16,11,13,7,163
43,Magazines,20,20,2,0,47.03,1,1,3,1,1,13
44,Photographs,768,768,2,0,35.82,134,132,45,53,33,371
45,Laser Discs,3,3,2,0,9.99,1,0,0,0,0,2
46,Animation,5,19,2,1,103.75,1,2,1,1,2,12
47,Sheet Music,2,2,2,0,0,0,0,0,0,0,2
48,Props,37,37,2,0,381.26,0,0,0,5,8,24
49,Musical Instruments,11,11,2,0,349.33,0,0,0,0,3,8
50,Compact Discs & Inserts,0,6,2,1,0,0,0,0,0,0,6
51,Plates,3,3,2,0,39.95,0,0,1,0,0,2
52,Wardrobe Items,5,5,2,0,256.5,0,1,0,0,1,3
53,Books,8,8,2,0,9.49,1,1,0,0,0,6
54,Apparel,13,13,2,0,40.57,0,2,6,0,1,4
55,Scripts,3,3,2,0,284.99,0,0,0,0,2,1
56,Cut Signatures,3,3,2,0,0,0,0,0,0,0,3
57,Playbills,3,3,2,0,0,0,0,0,0,0,3
58,Historical & Political,19,19,2,0,12.61,2,0,1,0,0,16
59,Vinyl Record Sleeves,3,3,2,0,0,0,0,0,0,0,3
60,Ticket Stubs,2,2,2,0,152.76,0,0,0,0,2,0
61,Contracts,1,1,2,0,0,0,0,0,0,0,1
62,Personal Checks,2,2,2,0,0,0,0,0,0,0,2
63,Advertising Collectibles,88,88,2,0,11.76,12,16,0,0,0,60
64,Postcards,1,1,2,0,19.99,0,1,0,0,0,0
65,Artwork By Celebrities,3,3,2,0,342.0,0,0,0,0,2,1
66,Programs,4,4,2,0,0,0,0,0,0,0,4
67,Compact Discs,6,6,50,0,0,0,0,0,0,0,6
68,Animation Cels,14,14,46,0,124.5,0,0,1,0,1,12
69,Trading Cards,3073,3073,1,0,27.93,566,310,149,102,53,1893
70,Figurines,4,4,1,0,155.99,0,1,0,0,1,2
71,Prints & Posters,8,8,1,0,139.41,0,0,0,0,2,6
72,Balls,168,168,1,0,157.9,0,1,3,31,40,93
73,Jerseys,110,110,1,0,227.15,0,1,0,6,39,64
74,Photographs,387,387,1,0,50.0,30,64,34,38,24,197
75,Ticket Stubs,9,9,1,0,48.25,0,4,0,5,0,0
76,Flags & Banners,9,9,1,0,24.98,0,1,1,0,0,7
77,Baseball Bases,1,1,1,0,0,0,0,0,0,0,1
78,Helmets,124,124,1,0,157.26,0,1,3,24,21,75
79,Hockey Sticks & Blades,4,4,1,0,160.0,0,0,0,0,1,3
80,Bobble Heads,7,7,1,0,25.95,0,0,1,0,0,6
81,Magazines,10,10,1,0,72.99,2,1,0,1,1,5
82,Bats,8,8,1,0,95.0,0,0,0,1,0,7
83,Hockey Pucks,33,33,1,0,46.05,0,4,9,5,1,14
84,Gloves,7,7,1,0,299.99,0,0,0,0,1,6
85,Stadium Components,5,5,1,0,129.99,0,0,0,0,1,4
86,Diecast Cars,4,4,1,0,126.62,1,0,0,0,2,1
87,Equipment Travel Bags,1,1,1,0,0,0,0,0,0,0,1
88,Postcards & Index Cards,3,3,1,0,299.0,0,0,0,0,1,2
89,Trophies,4,4,1,0,26.66,0,2,1,0,0,1
90,Experience Tickets,1,1,1,0,0,0,0,0,0,0,1
91,Hats,2,2,1,0,98.45,0,0,0,1,1,0
