id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Digital Music,270356,279899,,17,4.47,77914,6550,1597,111,2,193725
1,New Age,0,16,0,1,16.07,6,7,3,0,0,0
2,Alternative Rock,46,3008,0,5,19.3,900,1126,777,47,0,158
3,Hard Rock & Metal,0,327,0,4,14.29,173,104,41,6,0,3
4,R&B,0,1002,0,6,14.27,502,361,113,10,0,16
5,Pop,823,1167,0,2,14.98,540,443,155,15,0,14
6,Jazz,1,857,0,9,14.44,332,417,83,6,1,18
7,Latin Music,0,176,0,9,12.92,90,66,9,1,0,10
8,Country,0,210,0,5,15.58,54,132,22,1,0,1
9,Blues,0,150,0,2,14.4,50,89,11,0,0,0
10,International,0,7,0,2,16.02,1,6,0,0,0,0
11,Classic Rock,11,191,0,4,15.33,96,58,34,2,0,1
12,Rock,151,892,0,4,16.41,380,325,161,13,1,12
13,Rap & Hip-Hop,0,1120,0,5,14.59,449,497,145,4,0,25
14,Dance & Electronic,0,929,0,7,14.29,457,278,120,12,0,62
15,Miscellaneous,0,23,0,2,13.15,9,12,2,0,0,0
16,Folk,0,5,0,2,29.69,1,2,1,1,0,0
17,Classical,3,3,0,0,19.02,0,2,0,0,0,1
18,Traditional Folk,1,1,16,0,70.0,0,0,0,1,0,0
19,Traditional British & Celtic Folk,4,4,16,0,19.61,1,2,1,0,0,0
20,"Poetry, Spoken Word & Interviews",22,22,15,0,13.01,9,11,2,0,0,0
21,Wedding Music,1,1,15,0,16.04,0,1,0,0,0,0
22,House,527,527,14,0,13.24,274,153,59,3,0,38
23,Techno,86,86,14,0,13.16,41,35,6,0,0,4
24,Trip-Hop,132,132,14,0,16.0,59,46,20,2,0,5
25,Trance,208,208,14,0,15.04,110,53,31,7,0,7
26,Drum & Bass,63,63,14,0,16.93,18,22,13,0,0,10
27,Freestyle,7,7,14,0,8.43,6,1,0,0,0,0
28,Dubstep,2,2,14,0,45.69,0,0,2,0,0,0
29,Gangsta & Hardcore,919,919,13,0,14.42,374,405,113,4,0,23
30,East Coast,143,143,13,0,12.45,60,70,11,0,0,2
31,West Coast,189,189,13,0,15.55,72,87,28,0,0,2
32,Southern Rap,162,162,13,0,15.61,55,78,24,1,0,4
33,Bass,26,26,13,0,12.36,14,10,2,0,0,0
34,Country Rock,388,388,12,0,15.84,185,135,58,6,1,3
35,Rap Rock,57,57,12,0,16.41,20,23,13,0,0,1
36,Progressive,280,280,12,0,16.28,110,112,49,3,0,6
37,Funk Rock,19,19,12,0,10.88,11,7,1,0,0,0
38,Southern Rock,71,71,11,0,16.59,34,20,17,0,0,0
39,Psychedelic Rock,61,61,11,0,17.8,23,23,13,2,0,0
40,Arena Rock,43,43,11,0,11.33,30,10,3,0,0,0
41,British Invasion,5,5,11,0,7.86,4,1,0,0,0,0
42,Europe,6,6,10,0,14.53,1,5,0,0,0,0
43,India & Pakistan,1,1,10,0,24.99,0,1,0,0,0,0
44,Modern Blues,76,76,9,0,13.97,26,44,6,0,0,0
45,Delta Blues,78,78,9,0,14.67,26,47,5,0,0,0
46,Bluegrass,137,137,8,0,15.81,22,102,12,0,0,1
47,Alt-Country & Americana,31,31,8,0,15.73,13,13,4,1,0,0
48,Western Swing,7,7,8,0,14.8,3,3,1,0,0,0
49,Honky-Tonk,8,8,8,0,10.6,5,3,0,0,0,0
50,Outlaw & Progressive Country,29,29,8,0,15.67,11,13,5,0,0,0
51,Samba,48,48,7,0,12.52,30,17,1,0,0,0
52,Latin Rock,60,60,7,0,14.67,25,26,7,1,0,1
53,Salsa,28,28,7,0,9.17,18,5,0,0,0,5
54,Tejano,7,7,7,0,12.67,4,2,1,0,0,0
55,Ranchera,5,5,7,0,16.13,2,2,1,0,0,0
56,Mambo,1,1,7,0,12.44,0,1,0,0,0,0
57,Tango,23,23,7,0,12.84,8,12,0,0,0,3
58,Reggaeton,6,6,7,0,16.35,3,1,1,0,0,1
59,Bachata,2,2,7,0,7.95,2,0,0,0,0,0
60,Latin Jazz,243,243,6,0,14.53,78,137,21,1,0,6
61,Soul-Jazz & Boogaloo,372,372,6,0,13.96,145,184,37,2,0,4
62,Acid Jazz,88,88,6,0,14.58,46,27,14,0,0,1
63,Vocal Jazz,19,19,6,0,16.11,9,6,2,1,0,1
64,Bebop,79,79,6,0,15.06,32,39,3,1,1,3
65,Avant Garde & Free Jazz,52,52,6,0,17.01,18,24,5,2,0,3
66,Cool Jazz,13,13,6,0,13.83,6,6,1,0,0,0
67,Traditional Jazz & Ragtime,2,2,6,0,12.66,1,1,0,0,0,0
68,Swing Jazz,5,5,6,0,15.15,2,3,0,0,0,0
69,Soft Rock,343,343,5,0,13.2,184,127,29,3,0,0
70,Easy Listening,1,1,5,0,27.57,0,0,1,0,0,0
71,Soul,738,738,4,0,14.94,350,273,93,9,0,13
72,Funk,261,261,4,0,12.69,154,82,21,1,0,3
73,Contemporary R&B,37,37,4,0,11.17,20,14,3,0,0,0
74,Neo-Soul,13,13,4,0,9.99,7,6,0,0,0,0
75,New Jack,27,27,4,0,10.41,16,11,0,0,0,0
76,Quiet Storm,18,18,4,0,11.91,10,7,1,0,0,0
77,Hard Rock,234,234,3,0,14.96,124,72,32,5,0,1
78,Alternative Metal,74,74,3,0,10.65,43,26,5,0,0,0
79,Death Metal,33,33,3,0,16.61,14,11,5,1,0,2
80,Thrash & Speed Metal,3,3,3,0,13.19,1,2,0,0,0,0
81,Indie & Lo-Fi,2239,2239,2,0,21.02,598,763,697,42,0,139
82,New Wave & Post-Punk,509,509,2,0,15.09,217,212,63,6,0,11
83,Hardcore & Punk,204,204,2,0,14.36,62,115,20,0,0,7
84,Goth & Industrial,93,93,2,0,16.16,31,43,14,0,0,5
85,Ska,81,81,2,0,14.88,31,36,12,0,0,2
86,Celtic New Age,16,16,1,0,16.07,6,7,3,0,0,0
