id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Electronics,0,498196,,13,61.41,106502,114657,69631,43907,54996,108503
1,Computers & Accessories,5020,233684,0,18,57.57,48868,56713,35897,20281,21494,50431
2,Accessories & Supplies,2016,68026,0,8,34.98,20946,17631,9752,5233,3816,10648
3,GPS & Navigation,16,7078,0,4,49.52,1653,2221,763,425,794,1222
4,eBook Readers & Accessories,49,7489,0,10,35.22,1900,2082,666,490,377,1974
5,Car & Vehicle Electronics,20,25993,0,5,73.49,3831,5655,3386,3381,4719,5021
6,Camera & Photo,1581,94857,0,14,77.36,18212,21869,12462,8579,14391,19344
7,Portable Audio & Video,490,35368,0,12,38.22,9651,6297,4163,2559,2047,10651
8,Television & Video,284,11437,0,16,153.43,558,690,1035,1213,2763,5178
9,Home Audio,126,9806,0,4,192.81,376,574,765,1102,3617,3372
10,Security & Surveillance,396,4330,0,9,98.14,550,801,580,560,925,914
11,Electronics Warranties,1239,1239,0,0,61.62,167,300,255,218,167,132
12,Service & Replacement Plans,14,91,0,1,35.54,6,20,11,11,2,41
13,Cell Phones & Accessories,4,4,0,0,25.39,2,1,0,1,0,0
14,Electronics,0,77,12,1,34.5,3,15,11,5,2,41
15,Service Plans,22,77,14,2,34.5,3,15,11,5,2,41
16,Televisions,51,51,15,0,41.31,0,11,8,5,2,25
17,Audio-Video Components,4,4,15,0,0,0,0,0,0,0,4
18,Radio Scanners,153,153,10,0,101.35,10,42,12,28,40,21
19,Accessories,91,915,10,6,54.25,233,235,126,108,105,108
20,Motion Detectors,247,247,10,0,37.16,38,72,62,32,14,29
21,Home Security Systems,1232,1232,10,0,104.21,109,199,188,195,314,227
22,Surveillance Video Equipment,6,866,10,4,211.91,42,59,49,92,335,289
23,Biometrics,75,75,10,0,158.84,1,1,4,22,27,20
24,Security Sensors,348,348,10,0,44.33,61,92,70,41,35,49
25,Horns & Sirens,87,87,10,0,32.72,9,36,17,8,2,15
26,Barking-Dog Alarms,11,11,10,0,50.13,1,2,3,5,0,0
27,Security Monitors & Displays,137,137,22,0,135.78,13,13,11,27,35,38
28,Video Multiplexers & Quads,21,21,22,0,135.55,0,1,2,2,1,15
29,Surveillance Video Recorders,634,634,22,0,253.03,16,27,25,55,282,229
30,Video Transmission Systems,68,68,22,0,71.7,12,16,11,7,15,7
31,Access-Control Keypads,134,134,19,0,134.06,8,20,15,28,45,18
32,Surveillance Housing & Mounting Brackets,130,130,19,0,37.4,36,40,15,9,8,22
33,Surveillance Camera Cables,444,444,19,0,29.59,137,144,65,40,20,38
34,Voice Dialers,34,34,19,0,110.89,0,2,6,12,10,4
35,Surveillance Camera Lenses,71,71,19,0,42.48,28,9,6,10,4,14
36,IR Illuminators,11,11,19,0,22.34,7,1,1,2,0,0
37,Compact Stereos,756,756,9,0,200.51,11,8,40,76,181,440
38,Stereo Components,225,8388,9,7,198.1,341,470,639,937,3300,2701
39,Radios,39,421,9,3,84.78,15,81,60,68,74,123
40,Multiroom Digital Music Systems,115,115,9,0,238.2,2,4,15,14,41,39
41,Shower Radios,171,171,39,0,40.39,6,53,37,16,5,54
42,Clock Radios,61,61,39,0,60.21,2,7,9,16,4,23
43,Internet Radios,150,150,39,0,154.32,7,8,5,23,64,43
44,Equalizers,34,34,38,0,129.14,1,2,2,11,9,9
45,Speakers,887,5104,38,7,201.7,184,208,386,617,2079,1630
46,Receivers & Amplifiers,6,1984,38,3,218.64,120,146,152,146,796,624
47,Tape Decks,57,57,38,0,119.59,1,4,4,1,19,28
48,CD Players & Recorders,6,341,38,2,208.81,1,14,11,8,156,151
49,Tuners,95,95,38,0,58.56,7,9,12,12,6,49
50,Turntables,548,548,38,0,147.27,19,70,44,110,184,121
51,CD Players,280,280,48,0,210.13,1,11,11,6,138,113
52,CD Recorders,55,55,48,0,208.24,0,2,0,1,17,35
53,Component Receivers,1106,1106,46,0,252.77,63,56,57,48,507,375
54,Component Amplifiers,745,745,46,0,167.69,54,81,77,88,232,213
55,Component Preamplifiers,127,127,46,0,249.73,3,9,15,9,56,35
56,Speaker Systems,1389,1389,45,0,194.55,75,73,149,165,520,407
57,Center-Channel Speakers,356,356,45,0,190.49,8,3,19,47,147,132
58,Bookshelf Speakers,506,506,45,0,169.3,6,37,45,56,196,166
59,Subwoofers,996,996,45,0,231.76,30,36,50,111,439,330
60,Floorstanding Speakers,434,434,45,0,275.4,13,11,21,10,197,182
61,Satellite Speakers,224,224,45,0,183.55,7,12,20,28,82,75
62,Soundbar Speakers,312,312,45,0,221.5,33,6,7,65,173,28
63,Blu-ray Players & Recorders,64,560,8,2,144.86,62,9,41,88,273,87
64,DVD Players & Recorders,1067,2500,8,2,101.03,78,57,248,463,419,1235
65,Projection Screens,240,240,8,0,166.65,4,8,34,42,100,52
66,Televisions,622,4528,8,4,207.59,224,361,359,55,1063,2466
67,Satellite Television,27,460,8,4,87.7,65,59,59,74,95,108
68,VCRs,178,178,8,0,76.16,11,7,2,63,9,86
69,Home Theater Systems,821,821,8,0,239.38,49,10,8,45,232,477
70,AV Receivers & Amplifiers,210,210,8,0,212.74,8,16,30,35,69,52
71,Streaming Media Players,930,930,8,0,115.9,21,58,178,223,258,192
72,TV-DVD Combinations,417,417,8,0,163.75,4,29,0,9,115,260
73,DVD-VCR Combos,10,10,8,0,111.9,0,0,0,3,2,5
74,Analog-to-Digital (DTV) Converters,107,107,8,0,73.72,4,9,40,31,12,11
75,Video Glasses,191,191,8,0,88.1,6,36,11,62,36,40
76,Installation Services,2,2,8,0,7.6,2,0,0,0,0,0
77,Television Accessories,1,1,8,0,108.8,0,0,0,0,1,0
78,HD DVD Players,1,1,8,0,113.0,0,0,0,0,1,0
79,Systems,24,24,67,0,41.1,1,1,1,1,0,20
80,Receivers,242,242,67,0,90.51,35,26,15,47,61,58
81,Satellite Dishes,40,40,67,0,66.35,4,8,5,7,10,6
82,Antennas,127,127,67,0,99.59,18,21,33,16,21,18
83,LCD TVs,2227,2227,66,0,174.65,115,220,128,15,451,1298
84,Plasma TVs,490,490,66,0,158.49,29,15,72,17,54,303
85,LED TVs,1187,1187,66,0,270.76,66,104,114,14,529,360
86,OLED TVs,2,2,66,0,5.99,1,0,0,0,0,1
87,DVD Players,1127,1127,64,0,72.1,43,17,203,125,93,646
88,DVD Recorders,306,306,64,0,195.73,7,9,3,9,119,159
89,Blu-ray Players,491,491,63,0,152.21,58,7,15,79,261,71
90,Blu-ray Recorders,5,5,63,0,247.79,1,0,0,0,2,2
91,MP3 Players & Accessories,65,27414,7,2,30.43,8822,4864,2784,1441,1145,8358
92,CB & Two-Way Radios,171,3045,7,3,42.34,581,785,631,269,222,557
93,Microcassette Recorders,163,163,7,0,215.39,5,10,39,22,68,19
94,Cassette Players & Recorders,226,226,7,0,75.18,29,16,25,49,31,76
95,Portable CD Players,701,701,7,0,70.11,6,94,57,139,52,353
96,Portable & Novelty TVs,252,252,7,0,70.46,9,4,4,72,14,149
97,Boomboxes,700,700,7,0,75.61,10,37,155,128,88,282
98,Radios,196,1213,7,3,53.93,47,301,302,162,109,292
99,Minidisc Players,51,51,7,0,100.88,3,17,2,1,8,20
100,Digital Voice Recorders,881,881,7,0,113.43,48,104,94,161,228,246
101,Portable DVD Players,231,231,7,0,95.12,16,8,8,81,47,71
102,Accessories,1,1,7,0,1.91,1,0,0,0,0,0
103,Shortwave Radios,568,568,98,0,60.36,25,115,130,90,68,140
104,Personal Radios,264,264,98,0,47.48,12,95,65,23,22,47
105,Weather Radios,185,185,98,0,37.48,7,50,73,25,4,26
106,Accessories,15,1846,92,5,25.33,492,638,357,82,49,228
107,Two-Way Radios,773,773,92,0,73.67,47,55,206,142,101,222
108,CB Radios & Scanners,170,255,92,2,63.12,31,73,48,29,42,32
109,Handheld CB Radios,11,11,108,0,52.0,0,2,3,4,0,2
110,Fixed-mount CB Radios,74,74,108,0,49.35,13,16,15,12,8,10
111,Batteries,655,655,106,0,25.35,149,257,121,23,21,84
112,Battery Chargers,137,137,106,0,19.75,50,34,35,3,2,13
113,Headsets & Microphones,686,686,106,0,24.71,195,239,153,29,11,59
114,Cases,71,71,106,0,20.05,27,20,9,2,1,12
115,Antennas,282,282,106,0,31.14,71,80,35,24,13,59
116,MP3 Player Accessories,1123,23315,91,13,26.05,8619,4503,1946,1088,786,6373
117,MP3 Players,4037,4037,91,0,65.22,197,358,834,351,348,1949
118,Cases,11473,11473,116,0,11.34,5698,1839,411,62,76,3387
119,FM Transmitters,1103,1103,116,0,34.75,197,282,204,89,28,303
120,Chargers,194,1320,116,6,20.57,453,390,128,45,18,286
121,Docking Stations,904,904,116,0,69.4,111,138,131,137,107,280
122,Speaker Systems,3922,3922,116,0,65.73,299,758,762,623,464,1016
123,Cassette Player Adapters,238,238,116,0,15.38,92,84,25,5,1,31
124,Batteries,488,488,116,0,19.73,158,149,62,20,2,97
125,Armbands,891,891,116,0,12.63,382,269,43,6,3,188
126,Remote Controls,79,79,116,0,35.96,10,12,15,10,2,30
127,Skins & Decals,1180,1180,116,0,10.97,605,290,20,8,5,252
128,Mounting Kits,84,84,116,0,95.28,2,7,10,34,29,2
129,Screen Protectors,527,527,116,0,7.56,376,72,13,0,2,64
130,Stands,6,6,116,0,31.94,4,0,0,0,1,1
131,Wall Chargers,306,306,120,0,13.4,116,116,12,3,0,59
132,Charger Kits,249,249,120,0,13.95,105,48,31,0,1,64
133,Car Chargers,341,341,120,0,13.13,131,103,30,1,0,76
