id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Grocery & Gourmet Food,160346,171760,,9,24.17,30136,43666,29851,8208,1291,58608
1,Beverages,91,3922,0,16,28.24,881,926,673,487,58,897
2,Cooking & Baking,207,2434,0,24,21.35,958,624,241,158,52,401
3,Candy & Chocolate,63,927,0,21,19.8,288,191,105,41,10,292
4,Breakfast Foods,12,418,0,3,27.47,102,89,74,39,3,111
5,Baby Foods,44,436,0,9,55.27,51,67,64,74,48,132
6,Gourmet Gifts,3,98,0,11,26.96,30,15,17,11,1,24
7,"Canned, Dry & Packaged Foods",0,2063,0,9,26.48,545,524,353,216,31,394
8,Snack Foods,107,980,0,19,30.2,215,186,195,100,10,274
9,Fresh Flowers & Live Indoor Plants,3,136,0,4,30.42,25,25,15,10,3,58
10,Live Indoor Plants,4,98,9,4,25.18,17,22,11,4,2,42
11,Fresh Cut Flowers,0,24,9,6,58.97,4,2,1,5,1,11
12,Fresh Centerpieces,10,10,9,0,15.32,4,1,2,0,0,3
13,Fresh Wreathes,1,1,9,0,59.99,0,0,0,1,0,0
14,Orchids,5,5,11,0,18.81,1,2,1,0,0,1
15,Chrysanthemums,1,1,11,0,79.99,0,0,0,1,0,0
16,Mixed Bouquets,6,6,11,0,74.99,0,0,0,2,0,4
17,Roses,7,7,11,0,76.91,3,0,0,2,1,1
18,Tulips,2,2,11,0,0,0,0,0,0,0,2
19,Lilies,3,3,11,0,0,0,0,0,0,0,3
20,Bonsai,38,38,10,0,35.17,3,8,8,2,1,16
21,House Plants,49,49,10,0,19.57,12,9,2,2,1,23
22,Bamboo,1,1,10,0,9.0,1,0,0,0,0,0
23,Orchids,1,6,10,3,22.66,0,2,1,0,0,3
24,Oncidium,2,2,23,0,18.99,0,2,0,0,0,0
25,Phalaenopsis,2,2,23,0,29.99,0,0,1,0,0,1
26,Dendrobium,1,1,23,0,0,0,0,0,0,0,1
27,Jerky & Dried Meats,118,118,8,0,30.39,23,20,34,14,1,26
28,"Salsas, Dips & Spreads",0,51,8,1,32.59,8,6,13,8,0,16
29,Granola & Trail Mix Bars,37,37,8,0,22.17,5,13,9,0,0,10
30,Popcorn,22,82,8,3,25.07,18,17,14,6,1,26
31,Cookies,18,157,8,17,37.65,38,28,34,10,2,45
32,Fruit Leather,13,13,8,0,18.0,2,7,0,0,0,4
33,Puffed Snacks,27,27,8,0,26.84,7,6,8,4,0,2
34,Ice Cream Cones & Toppings,1,1,8,0,37.25,0,0,1,0,0,0
35,Crackers,24,113,8,10,34.87,23,17,15,22,2,34
36,Chips & Crisps,41,151,8,6,36.85,22,24,37,20,3,45
37,Pretzels,29,29,8,0,38.15,4,7,3,3,1,11
38,Applesauce & Fruit Cups,9,9,8,0,37.31,2,1,2,2,0,2
39,Trail Mix,22,22,8,0,16.43,10,5,4,0,0,3
40,Party Mix,23,23,8,0,21.08,7,8,4,2,0,2
41,"Rice Cakes, Chips & Crackers",16,16,8,0,23.43,7,1,7,0,0,1
42,Pork Rinds,3,3,8,0,29.55,0,1,1,0,0,1
43,Breadsticks,3,3,8,0,44.94,0,0,1,1,0,1
44,Fruit Snacks,12,12,8,0,17.24,4,5,2,0,0,1
45,Dried Fruit & Raisins,6,6,8,0,11.37,2,4,0,0,0,0
46,Tortilla,38,38,36,0,26.06,11,4,8,5,0,10
47,Potato,49,49,36,0,40.1,5,10,10,6,2,16
48,Soy,1,1,36,0,42.16,0,0,1,0,0,0
49,Vegetable,7,7,36,0,26.04,2,1,0,1,0,3
50,Pita,8,8,36,0,38.14,0,1,5,1,0,1
51,Corn,7,7,36,0,37.92,0,1,1,2,0,3
52,Matzo,10,10,35,0,46.38,0,1,4,3,0,2
53,Flatbread,24,24,35,0,22.0,6,3,1,2,0,12
54,Wheat,8,8,35,0,45.76,1,0,3,2,0,2
55,Assortments & Samplers,13,13,35,0,10.34,7,3,1,0,0,2
56,Graham Crackers,17,17,35,0,32.19,4,1,2,5,0,5
57,Oyster,1,1,35,0,24.0,0,1,0,0,0,0
58,Water,3,3,35,0,32.01,2,0,0,1,0,0
59,Animal Shaped,1,1,35,0,4.65,1,0,0,0,0,0
60,Bagel Chips,2,2,35,0,85.34,0,0,1,0,1,0
61,Saltines,10,10,35,0,18.73,0,5,0,0,0,5
62,Wafers,22,22,31,0,20.45,7,5,3,1,0,6
63,Chocolate,19,19,31,0,135.44,3,4,5,0,2,5
64,Biscotti,9,9,31,0,31.8,1,0,1,1,0,6
65,Shortbread,6,6,31,0,31.16,1,1,1,1,0,2
66,Sandwich,8,8,31,0,20.12,4,0,4,0,0,0
67,Chocolate Chip,20,20,31,0,22.65,3,5,4,1,0,7
68,Oatmeal,8,8,31,0,33.1,1,2,3,1,0,1
69,Fortune,2,2,31,0,45.17,1,0,0,1,0,0
70,Biscuits,12,12,31,0,29.47,3,2,2,3,0,2
71,Assortments & Samplers,1,1,31,0,49.97,0,0,1,0,0,0
72,Ginger Snaps,11,11,31,0,26.49,2,1,2,1,0,5
73,Meringues,2,2,31,0,17.97,0,2,0,0,0,0
74,Nut,5,5,31,0,12.07,3,0,1,0,0,1
75,Peanut Butter,7,7,31,0,23.88,0,3,2,0,0,2
76,Animal Shaped,1,1,31,0,7.79,1,0,0,0,0,0
77,Butter,5,5,31,0,17.29,2,2,1,0,0,0
78,Sugar,1,1,31,0,42.98,0,0,1,0,0,0
79,Microwave,13,13,30,0,22.94,2,1,2,1,0,7
80,Unpopped,33,33,30,0,26.75,8,8,7,2,1,7
81,Popped,14,14,30,0,38.74,2,1,2,3,0,6
82,Dips & Spreads,42,51,28,4,32.59,8,6,13,8,0,16
83,Processed Cheese,4,4,82,0,74.06,0,0,0,1,0,3
84,Ranch,3,3,82,0,28.1,0,1,1,0,0,1
85,Onion,1,1,82,0,56.41,0,0,0,1,0,0
86,Vegetable,1,1,82,0,4.59,1,0,0,0,0,0
87,"Sauces, Gravies & Marinades",0,275,7,2,32.23,51,50,77,37,4,56
88,"Jams, Jellies & Sweet Spreads",0,223,7,4,23.74,79,53,21,21,7,42
89,Canned & Jarred Food,0,225,7,8,32.04,37,53,44,39,3,49
90,"Herbs, Spices & Seasonings",37,776,7,4,20.57,237,262,94,38,9,136
91,"Dried Beans, Grains & Rice",5,110,7,4,20.79,40,24,17,9,0,20
92,"Condiments, Pickles & Relishes",12,198,7,12,31.72,51,40,44,28,2,33
93,Pasta & Noodles,0,121,7,2,28.62,33,20,17,16,2,33
94,"Oils, Vinegars & Salad Dressings",2,54,7,1,35.56,5,10,22,8,0,9
95,Packaged Meals & Side Dishes,0,81,7,8,43.23,12,12,17,20,4,16
96,Pizza Kits,4,4,95,0,46.53,2,0,0,1,1,0
97,Rice Dishes,1,6,95,3,28.16,1,0,3,0,0,2
98,Indian Dishes,8,8,95,0,24.91,0,3,1,0,0,4
99,Macaroni & Cheese,18,18,95,0,29.38,3,4,4,2,0,5
100,Pasta & Noodle Dinner Kits,15,15,95,0,27.82,1,3,5,2,0,4
101,Mexican Dinner Kits,9,22,95,5,74.0,0,1,3,14,3,1
102,Potatoes & Stuffings,0,4,95,2,30.69,2,1,0,1,0,0
103,Asian Dishes,4,4,95,0,11.67,3,0,1,0,0,0
104,Potato Side Dishes,3,3,102,0,38.63,1,1,0,1,0,0
105,Stuffing Side Dishes,1,1,102,0,6.89,1,0,0,0,0,0
106,Tortillas,8,8,101,0,75.07,0,0,0,6,1,1
107,Taco Shells & Kits,1,1,101,0,68.55,0,0,0,1,0,0
108,Enchiladas,2,2,101,0,105.76,0,0,0,1,1,0
109,Fajitas,1,1,101,0,15.54,0,1,0,0,0,0
110,Burritos,1,1,101,0,62.35,0,0,0,1,0,0
111,Paella,2,2,97,0,29.66,0,0,1,0,0,1
112,Pilaf,2,2,97,0,39.65,0,0,1,0,0,1
113,Dirty Rice,1,1,97,0,5.29,1,0,0,0,0,0
114,Salad Dressings,30,52,94,5,36.05,5,9,21,8,0,9
115,Ranch,3,3,114,0,27.01,0,1,2,0,0,0
116,Italian,5,5,114,0,37.51,1,1,1,1,0,1
117,Vinaigrette,7,11,114,1,36.76,1,1,4,1,0,4
118,Caesar,2,2,114,0,38.58,0,0,1,0,0,1
119,Blue Cheese,1,1,114,0,33.53,0,0,1,0,0,0
120,Balsamic,4,4,117,0,20.86,1,0,1,0,0,2
121,Pasta,30,98,93,13,30.19,27,13,13,13,2,30
122,Noodles,3,23,93,5,23.29,6,7,4,3,0,3
123,Ramen,9,9,122,0,25.91,2,4,1,2,0,0
124,Soba,5,5,122,0,20.73,1,1,1,0,0,2
125,Egg,3,3,122,0,39.82,0,1,1,1,0,0
126,Shirataki,2,2,122,0,2.12,1,0,0,0,0,1
127,Rice,1,1,122,0,2.79,1,0,0,0,0,0
128,Fettuccine,7,7,121,0,23.9,1,1,1,0,0,4
129,Spaghetti,20,20,121,0,26.96,6,2,5,3,0,4
130,Bow-Tie,6,6,121,0,53.64,1,1,0,4,0,0
131,Penne,13,13,121,0,27.99,1,4,0,2,0,6
132,Linguine,5,5,121,0,45.15,0,1,0,2,0,2
133,Ziti,1,1,121,0,0,0,0,0,0,0,1
134,Lasagna,4,4,121,0,39.31,0,0,2,0,0,2
135,Capellini,1,1,121,0,0,0,0,0,0,0,1
136,Rotini,5,5,121,0,104.4,1,1,0,0,1,2
137,Fusilli,1,1,121,0,3.95,1,0,0,0,0,0
138,Rigatoni,1,1,121,0,0,0,0,0,0,0,1
139,Orzo,2,2,121,0,3.04,2,0,0,0,0,0
140,Gnocchi,2,2,121,0,58.45,0,0,0,1,0,1
141,Sandwich Spreads,7,7,92,0,35.03,1,0,1,1,0,4
142,Ketchup,29,29,92,0,28.38,8,8,4,3,1,5
143,Steak Sauce,6,6,92,0,47.29,1,0,1,2,0,2
144,Horseradish,5,5,92,0,19.06,0,5,0,0,0,0
145,Mayonnaise,19,19,92,0,59.67,6,3,5,0,1,4
146,Mustard,1,35,92,4,23.59,8,14,8,4,0,1
147,Pickles,3,29,92,2,38.15,8,1,7,11,0,2
148,Chutneys,5,5,92,0,31.78,0,2,2,0,0,1
149,Relishes,0,11,92,2,31.39,2,2,3,2,0,2
150,Olives,5,37,92,2,31.75,8,4,12,5,0,8
151,Worcestershire Sauce,2,2,92,0,7.85,1,0,0,0,0,1
152,Salad Toppings,1,1,92,0,7.89,1,0,0,0,0,0
153,Green,26,26,150,0,32.09,5,2,11,3,0,5
154,Black,6,6,150,0,38.42,1,2,0,2,0,1
155,Pickle Relishes,8,8,149,0,32.99,2,1,2,2,0,1
156,Vegetable Relishes,3,3,149,0,25.8,0,1,1,0,0,1
157,Dill Pickles,21,21,147,0,38.1,5,1,5,8,0,2
