id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Home & Kitchen,10592,436988,,11,57.75,63506,89760,57512,34996,39394,151820
1,Kitchen & Dining,2230,223505,0,14,36.65,39229,56540,30386,13561,10008,73781
2,Artwork,178,43897,0,5,27.43,12557,8648,3855,1877,1390,15570
3,Furniture,2179,38401,0,10,229.15,323,872,1827,4122,17118,14139
4,Bedding,458,61801,0,18,63.33,1471,8572,12414,10463,6234,22647
5,Storage & Organization,1126,17702,0,7,34.4,3510,4354,2437,1443,828,5130
6,Bath,152,22117,0,4,34.96,2508,6244,3585,1401,687,7692
7,"Heating, Cooling & Air Quality",54,9353,0,6,116.94,629,971,1096,1089,1726,3842
8,Irons & Steamers,28,1525,0,9,56.15,145,249,235,122,132,642
9,Vacuums & Floor Care,62,7777,0,7,57.39,1805,1745,814,480,763,2170
10,Kids' Home Store,1,316,0,1,19.82,40,134,43,2,1,96
11,Cleaning Supplies,5,5,0,0,0,0,0,0,0,0,5
12,Kids' Bath,23,315,10,2,19.88,39,134,43,2,1,96
13,Kids' Bathroom Accessories,55,139,12,2,19.89,28,55,20,2,1,33
14,Kids' Bath Towels,153,153,12,0,19.04,10,67,17,0,0,59
15,Kids' Shower Accessories,66,66,13,0,20.19,8,29,11,1,0,17
16,Kids' Bathroom Holders & Dispensers,18,18,13,0,11.54,7,5,1,0,0,5
17,Vacuum Accessories,438,4232,9,9,21.64,1640,1442,539,143,103,365
18,Floor Polishers,53,53,9,0,64.55,10,13,4,2,11,13
19,Vacuums,62,2707,9,6,158.6,110,180,201,241,546,1429
20,Carpet Cleaners,257,257,9,0,143.56,2,10,14,20,54,157
21,Steam Cleaners & Accessories,0,332,9,3,59.55,26,61,27,62,37,119
22,Carpet Sweepers,102,102,9,0,48.11,3,14,20,8,3,54
23,Carpet Cleaner Accessories,32,32,9,0,32.42,11,8,3,0,2,8
24,Handheld Steamers,82,82,21,0,71.56,1,3,13,15,7,43
25,Steam Mops,149,149,21,0,86.39,3,13,10,44,30,49
26,Steam Mop Accessories,101,101,21,0,16.95,22,45,4,3,0,27
27,Upright Vacuums,1121,1121,19,0,199.65,14,31,38,83,279,676
28,Stick Vacuums & Electric Brooms,146,146,19,0,99.13,0,4,15,23,13,91
29,Canister Vacuums,498,498,19,0,272.81,11,15,11,46,151,264
30,Handheld Vacuums,426,426,19,0,59.73,20,45,68,57,31,205
31,"Carpet Cleaners, Sweepers & Accessories",17,17,19,0,49.03,1,0,4,2,1,9
32,Robotic Vacuums,437,437,19,0,98.13,57,77,61,28,64,150
33,Attachments & Brushes,464,464,17,0,32.68,122,172,76,30,21,43
34,Hoses,220,220,17,0,66.18,19,51,58,29,44,19
35,Filters,53,1521,17,3,15.32,600,629,146,24,5,117
36,Bags,92,1165,17,3,15.87,521,401,106,15,11,111
37,Belts,371,371,17,0,9.5,293,48,11,0,5,14
38,Vacuum Replacement Batteries,23,23,17,0,36.18,1,2,18,2,0,0
39,Pads,18,18,17,0,15.68,4,11,2,0,0,1
40,Covers,3,3,17,0,103.34,0,0,1,0,1,1
41,Lamp Bulbs,9,9,17,0,14.16,6,1,0,1,0,1
42,Canister Bags,377,377,36,0,16.55,162,124,35,4,3,49
43,Upright Bags,668,668,36,0,15.22,317,235,56,8,7,45
44,Handheld Bags,28,28,36,0,21.51,4,10,6,1,0,7
45,Upright Filters,1275,1275,35,0,15.21,507,533,115,21,4,95
46,Handheld Filters,103,103,35,0,14.71,42,42,13,1,0,5
47,Canister Filters,90,90,35,0,15.44,33,33,12,1,0,11
