id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,International,0,5648,,13,3.03,1957,28,0,0,0,3663
1,Latin Music,2191,2191,0,0,2.71,796,15,0,0,0,1380
2,Far East & Asia,819,819,0,0,2.79,297,4,0,0,0,518
3,India & Pakistan,411,411,0,0,2.16,121,3,0,0,0,287
4,Europe,925,925,0,0,3.43,256,1,0,0,0,668
5,Middle East,250,250,0,0,3.55,77,2,0,0,0,171
6,Caribbean & Cuba,1232,1232,0,0,3.16,450,5,0,0,0,777
7,Reggae,1015,1015,0,0,3.19,369,5,0,0,0,641
8,Compilations,54,54,0,0,3.92,21,0,0,0,0,33
9,Celtic,242,242,0,0,3.43,92,0,0,0,0,150
10,Africa,238,238,0,0,3.04,49,0,0,0,0,189
11,North America,136,136,0,0,4.11,65,0,0,0,0,71
12,Pacific Islands,89,89,0,0,3.68,36,0,0,0,0,53
13,Australia & New Zealand,16,16,0,0,3.94,5,1,0,0,0,10
