id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Kindle Store,0,434702,,9,4.45,250627,14446,1119,300,281,167929
1,Kindle eBooks,3050,432036,0,29,4.18,250601,14338,1003,206,61,165827
2,Kindle Accessories,24,695,0,13,133.01,21,105,116,94,220,139
3,Kindle Short Reads,0,128686,0,6,3.81,76378,3215,126,21,5,48941
4,Kindle Newspapers,16,152,0,5,14.99,0,1,0,0,0,151
5,Kindle Magazines,77,550,0,8,8.37,2,2,0,0,0,546
6,Kindle Blogs,6,1269,0,10,0.33,3,0,0,0,0,1266
7,TestNode,114,114,0,0,5.7,65,6,1,0,0,42
8,Kindle Singles,3,526,0,12,3.75,490,29,0,0,0,7
9,Kindle Worlds,1,343,0,12,3.33,309,2,0,0,0,32
10,Science Fiction & Fantasy,171,171,9,0,3.23,163,0,0,0,0,8
11,"Mystery, Thriller & Suspense",96,96,9,0,3.71,91,1,0,0,0,4
12,Romance,80,80,9,0,3.3,79,1,0,0,0,0
13,Teen & Young Adult,24,24,9,0,2.94,21,1,0,0,0,2
14,Horror,40,40,9,0,3.93,37,0,0,0,0,3
15,Contemporary,17,17,9,0,2.41,12,0,0,0,0,5
16,Action & Adventure,40,40,9,0,3.99,35,0,0,0,0,5
17,Historical,2,2,9,0,1.99,2,0,0,0,0,0
18,War & Military,24,24,9,0,4.68,21,0,0,0,0,3
19,Humor & Satire,12,12,9,0,2.16,6,0,0,0,0,6
20,Gay & Lesbian,3,3,9,0,6.03,2,1,0,0,0,0
21,Erotica,8,8,9,0,2.24,8,0,0,0,0,0
22,Fiction,153,153,8,0,4.27,138,13,0,0,0,2
23,Essays & Ideas,99,99,8,0,2.59,95,2,0,0,0,2
24,History,57,57,8,0,3.61,56,0,0,0,0,1
25,Memoirs,86,86,8,0,2.96,85,1,0,0,0,0
26,Society,101,101,8,0,3.45,95,5,0,0,0,1
27,Arts & Entertainment,53,53,8,0,3.23,51,1,0,0,0,1
28,Humor,34,34,8,0,2.5,33,1,0,0,0,0
29,Page-turning Narratives,80,80,8,0,3.37,80,0,0,0,0,0
30,Reporting,116,116,8,0,3.97,107,8,0,0,0,1
31,Profiles,56,56,8,0,4.42,53,3,0,0,0,0
32,The World Stage,88,88,8,0,4.27,83,4,0,0,0,1
33,The Sciences,36,36,8,0,3.42,34,1,0,0,0,1
34,Arts & Entertainment,494,521,6,5,0.33,3,0,0,0,0,518
35,Humor & Satire,256,256,6,0,0,0,0,0,0,0,256
36,Internet & Technology,206,227,6,6,0.99,1,0,0,0,0,226
37,Lifestyle & Culture,725,754,6,6,0.49,2,0,0,0,0,752
38,"News, Politics & Opinion",322,335,6,3,0.0,1,0,0,0,0,334
39,Business & Investing,160,165,6,3,0,0,0,0,0,0,165
40,Science,109,129,6,6,0,0,0,0,0,0,129
41,Industry Focus,103,105,6,2,0,0,0,0,0,0,105
42,Sports,79,107,6,2,0,0,0,0,0,0,107
43,Regional & Travel,130,137,6,7,0,0,0,0,0,0,137
44,Europe,1,1,43,0,0,0,0,0,0,0,1
45,Seattle,1,1,43,0,0,0,0,0,0,0,1
46,Dallas,0,1,43,1,0,0,0,0,0,0,1
47,Asia,1,1,43,0,0,0,0,0,0,0,1
48,Other Locales,1,1,43,0,0,0,0,0,0,0,1
49,Los Angeles,0,1,43,1,0,0,0,0,0,0,1
50,Other U.S. Regions,1,1,43,0,0,0,0,0,0,0,1
51,News,1,1,49,0,0,0,0,0,0,0,1
52,Sports,1,1,46,0,0,0,0,0,0,0,1
53,All Leagues,0,25,42,6,0,0,0,0,0,0,25
54,By Sport,0,6,42,4,0,0,0,0,0,0,6
55,Other Sports,0,4,54,1,0,0,0,0,0,0,4
56,Fantasy Sports,1,1,54,0,0,0,0,0,0,0,1
57,Horse Racing,1,1,54,0,0,0,0,0,0,0,1
58,Football,0,1,54,1,0,0,0,0,0,0,1
59,College Football,1,1,58,0,0,0,0,0,0,0,1
60,College Sports,4,4,55,0,0,0,0,0,0,0,4
61,MLB,1,11,53,10,0,0,0,0,0,0,11
62,NFL,1,8,53,7,0,0,0,0,0,0,8
63,NCAA,0,3,53,1,0,0,0,0,0,0,3
64,NASCAR,1,1,53,0,0,0,0,0,0,0,1
65,Motor Sports,0,1,53,1,0,0,0,0,0,0,1
66,NBA,0,1,53,1,0,0,0,0,0,0,1
67,Dallas Mavericks,1,1,66,0,0,0,0,0,0,0,1
68,Formula 1,1,1,65,0,0,0,0,0,0,0,1
69,"Schools, A-Z",0,3,63,3,0,0,0,0,0,0,3
70,L,0,1,69,1,0,0,0,0,0,0,1
71,N,0,1,69,1,0,0,0,0,0,0,1
72,T,0,1,69,1,0,0,0,0,0,0,1
73,Tennessee,1,1,72,0,0,0,0,0,0,0,1
74,North Carolina,1,1,71,0,0,0,0,0,0,0,1
75,LSU,1,1,70,0,0,0,0,0,0,0,1
76,Oakland Raiders,1,1,62,0,0,0,0,0,0,0,1
77,New England Patriots,1,1,62,0,0,0,0,0,0,0,1
78,Indianapolis Colts,1,1,62,0,0,0,0,0,0,0,1
79,Seattle Seahawks,1,1,62,0,0,0,0,0,0,0,1
80,Detroit Lions,1,1,62,0,0,0,0,0,0,0,1
81,Miami Dolphins,1,1,62,0,0,0,0,0,0,0,1
82,Pittsburgh Steelers,1,1,62,0,0,0,0,0,0,0,1
83,St. Louis Cardinals,1,1,61,0,0,0,0,0,0,0,1
84,New York Yankees,1,1,61,0,0,0,0,0,0,0,1
85,Philadelphia Phillies,1,1,61,0,0,0,0,0,0,0,1
86,San Francisco Giants,1,1,61,0,0,0,0,0,0,0,1
87,Boston Red Sox,1,1,61,0,0,0,0,0,0,0,1
88,Cleveland Indians,1,1,61,0,0,0,0,0,0,0,1
89,Washington Nationals,1,1,61,0,0,0,0,0,0,0,1
90,Houston Astros,1,1,61,0,0,0,0,0,0,0,1
