id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Latin Music,0,633,,28,2.82,282,5,0,0,0,346
1,Tango,25,25,0,0,3.99,10,0,0,0,0,15
2,Latin Children's,13,13,0,0,5.6,7,0,0,0,0,6
3,Samba,14,14,0,0,6.32,5,1,0,0,0,8
4,Salsa,95,95,0,0,2.4,54,1,0,0,0,40
5,Big Band,14,14,0,0,0.97,4,0,0,0,0,10
6,Rhumba,5,5,0,0,8.99,1,0,0,0,0,4
7,Flamenco,78,78,0,0,2.77,10,0,0,0,0,68
8,Latin Rock,64,64,0,0,4.71,17,0,0,0,0,47
9,Cumbia,14,14,0,0,2.67,13,0,0,0,0,1
10,Latin Electronica,14,14,0,0,3.12,4,0,0,0,0,10
11,Vallenato,4,4,0,0,5.83,2,1,0,0,0,1
12,Latin Pop,188,188,0,0,2.63,88,0,0,0,0,100
13,Compilations,6,6,0,0,2.95,5,0,0,0,0,1
14,Latin Christian,96,96,0,0,1.87,48,0,0,0,0,48
15,Latin Hip-Hop,47,47,0,0,2.34,33,0,0,0,0,14
16,Tejano,7,7,0,0,3.93,7,0,0,0,0,0
17,Mambo,17,17,0,0,2.22,12,0,0,0,0,5
18,Mariachi,14,14,0,0,4.95,10,1,0,0,0,3
19,Reggaeton,20,20,0,0,2.94,15,0,0,0,0,5
20,Ranchera,5,5,0,0,9.15,4,1,0,0,0,0
21,Merengue,19,19,0,0,3.35,14,0,0,0,0,5
22,Bachata,23,23,0,0,2.79,15,0,0,0,0,8
23,Norteno,3,3,0,0,0.99,1,0,0,0,0,2
24,Duranguense,1,1,0,0,0,0,0,0,0,0,1
25,Banda,3,3,0,0,3.92,3,0,0,0,0,0
26,Grupero,1,1,0,0,1.29,1,0,0,0,0,0
27,Bolero,5,5,0,0,2.57,5,0,0,0,0,0
28,Charanga,1,1,0,0,0,0,0,0,0,0,1
