id,name,parent
0,Musical Instrument,
1,Instrument Accessories,0
2,Studio Recording Equipment,0
3,Wind & Woodwind Instruments,0
4,Microphones & Accessories,0
5,Amplifiers & Effects,0
6,"DJ, Electronic Music & Karaoke",0
7,Band & Orchestra,0
8,Drums & Percussion,0
9,Live Sound & Stage,0
10,Keyboards,0
11,Bass Guitars,0
12,Guitars,0
13,Stringed Instruments,0
14,Folk & World,13
15,Lutes,14
16,Sarods,14
17,Ukuleles,14
18,Banjos,14
19,Ouds,14
20,Mandolins,14
21,Dulcimers,14
22,Autoharps,14
23,Sitars,14
24,Santoors,14
25,Lap & Pedal Steel Guitars,14
26,Psalteries,14
27,Strum Sticks,14
28,Guzhengs,14
29,Bouzoukis,14
30,Tamburas,14
31,Acoustic-Electric Guitars,12
32,Classical & Nylon-String Guitars,12
33,Acoustic Guitars,12
34,Electric Guitars,12
35,Beginner Kits,34
36,Solid Body,34
37,Hollow & Semi-Hollow Body,34
38,Steel-string Acoustics,33
39,Beginner Kits,33
40,Resonators,33
41,Beginner Kits,11
42,Electric Basses,11
43,Acoustic & Acoustic-Electric Basses,11
44,Electronic Keyboards,10
45,Digital Pianos,10
46,Folk & World,10
47,Accordions,46
48,Thumb Pianos,46
49,Concertinas,46
50,Harmoniums,46
51,Portable Keyboards,44
52,Synthesizers & Workstations,44
53,Lighting Equipment & Accessories,9
54,"Monitors, Speakers & Subwoofers",9
55,PA Systems,9
56,Stage & Studio Cables,9
57,"Monitor, Speaker & Subwoofer Parts",9
58,Power Amplifiers,9
59,Powered Mixers,9
60,Special Effects,9
61,Bags & Cases,9
62,Fog Machines,60
63,Bubble Machines,60
64,Instrument Cables,56
65,Microphone Cables,56
66,MIDI Cables,56
67,Speaker Cables,56
68,Recording Snakes,56
69,Patch Cables,56
70,Speakers,54
71,Stage Speaker Stands,54
72,Stage Monitors,54
73,Stage Subwoofers,54
74,"Bags, Cases & Covers",54
75,Unpowered Cabinets,70
76,Powered Cabinets,70
77,LED Lighting,53
78,Mirror Balls,53
79,Lighting Accessories,53
80,Strobe Effects,53
81,Stage Lights,53
82,Projection Effects,53
83,Gels,79
84,Drum Sets & Set Components,8
85,Folk & World Hand Drums,8
86,Hand Percussion,8
87,Electronic Drums,8
88,Concert Percussion,8
89,Marching Percussion,8
90,Marching Snare Drums,89
91,Marching Bass Drums,89
92,Marching Tom-Toms,89
93,Marching Cymbals,89
94,Marimbas,88
95,Timpanis,88
96,Concert Snare Drums,88
97,Steel Drums,88
98,Concert Bass Drums,88
99,Xylophones,88
100,Glockenspiels,88
101,Concert Cymbals,88
102,Concert Tom-Toms,88
103,Resonator Bells,88
104,Drum Sets,87
105,Electronic Pads,87
106,Controllers,87
107,Triggers,87
108,Folk & World,86
109,Tambourines,86
110,Hand Bells & Chimes,86
111,Triangles,86
112,Finger Cymbals,86
113,Sound Effects,86
114,Wood Blocks,86
115,Cowbells,86
116,Handbells,110
117,Jingle Bells,110
118,Chimes,110
119,Washboards,108
120,Singing Bowls,108
121,Maracas & Shakers,108
122,Cajons,108
123,Latin Percussion,108
124,Castanets,108
125,Rainsticks,108
126,Claves,123
127,Guiros,123
128,Cabasas,123
129,Agogo Bells,123
130,Rattles,121
131,Shakers,121
132,Maracas,121
133,Bongos,85
134,Talking Drums,85
135,Djembes,85
136,"Congas, Quintos & Tumbas",85
137,Ocean Drums,85
138,Doumbeks & Darbukas,85
139,Bodhrans & Frame Drums,85
140,Timbales,85
141,Tablas,85
142,Udu Drums,85
143,Ashikos,85
144,Doumbeks,138
145,Darbukas,138
146,Quintos,136
147,Congas,136
148,Tumbas,136
149,Cymbals,84
150,Drums,84
151,Drum Sets,84
152,Gongs,84
153,Mounted Tambourines,84
154,Bells & Chimes,84
155,Cowbells,154
156,Bar Chimes,154
157,Agogo Bells,154
158,Tom-Toms,150
159,Bass Drums,150
160,Snare Drums,150
161,Floor Toms,158
162,Mounted Toms,158
163,Roto Toms,158
164,Crash,149
165,Hi-Hat,149
166,Splash,149
167,Ride,149
168,China & Effect,149
169,Variety Packs,149
170,Crash-Ride,149
171,Orchestral Strings,7
172,Wind & Woodwinds,7
173,Brass,7
174,Trombones,173
175,Trumpets,173
176,Tubas,173
177,Euphoniums,173
178,French Horns,173
179,Baritone Horns,173
180,Bugles,173
181,Flugelhorns,173
182,Cornets,173
183,Sousaphones,173
184,Mellophones,173
185,Alto Horns,173
186,Double French Horns,178
187,Single French Horns,178
188,Standard,175
189,Piccolo,175
190,Pocket,175
191,Recorders,172
192,Flutes,172
193,Saxophones,172
194,Clarinets,172
195,Piccolos,172
196,Oboes,172
197,Bassoons,172
198,Violins,171
199,Upright Basses,171
200,Harps,171
201,Cellos,171
202,Violas,171
203,Electric Upright Basses,199
204,Acoustic Upright Basses,199
205,Acoustic Violins,198
206,Electric Violins,198
207,DJ Equipment,6
208,Karaoke Equipment,6
209,Electronic Music,6
210,Audio Samplers,209
211,Drum Machines,209
212,Sound Modules,209
213,Audio Sequencers,209
214,Production Stations,209
215,Tabletop Synthesizers,209
216,Players,208
217,Systems,208
218,Stands & Hardware,208
219,Bags & Cases,208
220,Home System Packages,217
221,Portable Systems,217
222,DJ Controllers,207
223,CD Players,207
224,Accessories,207
225,Turntables,207
226,Mixers,207
227,DJ Headphones,207
228,DJ Sets,207
229,Tape Decks,207
230,DJ Digital Media Players,207
231,Direct Drive,225
232,Digital Turntables,225
233,Belt Drive,225
234,Bags & Cases,224
235,Turntable Cartridges,224
236,Racks & Stands,224
237,Slipmats,224
238,Cartridges,234
239,CD Players,234
240,Mixers,234
241,Turntables,234
242,Single Disc,223
243,Multiple Disc,223
244,Guitar Effects,5
245,Guitar & Bass Amplifiers,5
246,Electric Guitar Amplifiers,245
247,Bass Guitar Amplifiers,245
248,Acoustic Guitar Amplifiers & Preamps,245
249,Preamps,248
250,Amplifiers,248
251,Combo Amps,247
252,Cabinets,247
253,Preamps,247
254,Heads,247
255,Combo Amps,246
256,Preamps,246
257,Heads,246
258,Cabinets,246
259,Footswitches,246
260,Power Amps,246
261,Mini & Headphone Amps,246
262,Stacks,246
263,Electric Guitar Effects,244
264,Bass Guitar Effects,244
265,Acoustic Guitar Effects,244
266,Single Effects,264
267,Multieffects,264
268,Wah & Filter,266
269,"Chorus, Flange & Tremolo",266
270,Distortion & Overdrive,266
271,Compression,266
272,Single Effects,263
273,Multieffects,263
274,Floor Multieffects,273
275,Desktop & Rack Multieffects,273
276,Pitch & Octave,272
277,Signal Path & Pedal Tuners,272
278,Compression,272
279,Distortion & Overdrive,272
280,"Chorus, Flange & Tremolo",272
281,Delay & Reverb,272
282,Wah & Filter,272
283,Volume & Expression,272
284,Equalization,272
285,Noise Gates,272
286,Loopers & Samplers,272
287,Accessories,4
288,Microphones,4
289,Dynamic Microphones,288
290,Wireless Microphones,288
291,Condenser Microphones,288
292,Ribbon Microphones,288
293,Vocal,291
294,Instrument,291
295,Multipurpose,291
296,Microphone Systems,290
297,Lapel Microphones,290
298,Headset Microphones,290
299,Handheld Microphones,290
300,Instrument Microphones,290
301,Multipurpose,289
302,Vocal,289
303,Instrument,289
304,Windsreens & Pop Filters,287
305,Mic Stands,287
306,Clips & Mounts,287
307,Phantom Power Supplies,287
308,Mic Preamps,287
309,Bags & Cases,287
310,Folk & World,3
311,Whistles,310
312,Didgeridoos,310
313,Harmonicas,310
314,Mouth Harps,310
315,Bagpipes,310
316,Kazoos,310
317,Ocarinas,310
318,Fifes,310
319,Pan Pipes,310
320,Shofars,310
321,Shruti Boxes,310
322,Neys,310
323,Bamboo Flutes,310
324,Shawms,310
325,Shakuhachis,310
326,Zurnas,310
327,Shenais,310
328,Bamboo Clarinets,310
329,Bamboo Saxophones,310
330,Conch Shells,310
331,Computer Recording,2
332,Mastering Recorders,2
333,Signal Processors,2
334,Portable Recorders,2
335,Studio Environment,2
336,Studio Monitors,2
337,Mixers & Accessories,2
338,Power Conditioners,2
339,Multitrack Recorders,2
340,Headphone & In-Ear Audio Monitors,2
341,Studio Subwoofers,2
342,Digital,339
343,Analog,339
344,Mixers,337
345,Accessories,337
346,"Bags, Cases & Covers",345
347,Stands,345
348,Unpowered,344
349,Racks,335
350,Rack Accessories,335
351,Acoustical Treatments,335
352,Furniture,335
353,Direct Boxes,333
354,Effects Processors,333
355,Converters,333
356,A-D & D-A Converters,333
357,Digital Reverb & Delay,354
358,Multieffects Processors,354
359,"Compressors, Limiters & Gates",354
360,Equalizers & Feedback Controllers,354
361,Exciters & Enhancers,354
362,Vocal Effects Processors,354
363,DVD Recorders & Duplicators,332
364,CD Recorders & Duplicators,332
365,Minidisc Recorders,332
366,Cassette Recorders & Duplicators,332
367,CompactFlash Recorders,332
368,Combo Decks,332
369,Recorders,366
370,Duplicators,366
371,Recorders,364
372,Duplicators,364
373,Recorders,363
374,Duplicators,363
375,Software,331
376,Audio Interfaces,331
377,MIDI Interfaces,331
378,MIDI Controllers,331
379,Digital Audio Workstation Controllers,331
380,MIDI,375
381,Music Creation & Sequencing,375
382,Sound Editing,375
383,Production Stations,375
384,Looping & Remixing,375
385,Audio Plug-Ins,375
386,Virtual Instruments,375
387,Synthesizers,375
388,Sampling,375
389,Recording,375
390,General Accessories,1
391,Wind & Woodwind Accessories,1
392,Guitar & Bass Accessories,1
393,Keyboard Accessories,1
394,Brass Accessories,1
395,Drum & Percussion Accessories,1
396,Orchestral Strings Accessories,1
397,Folk & World Instrument Accessories,1
398,Banjo Accessories,397
399,Mandolin Accessories,397
400,Ukulele Accessories,397
401,Autoharp Accessories,397
402,Dulcimer Accessories,397
403,Strings,396
404,Rosin,396
405,Parts,396
406,Bags & Cases,396
407,Shoulder & Chin Rests,396
408,Cleaning & Care,396
409,Stands & Hangers,396
410,Bows,396
411,Endpin Rests,396
412,Viola,410
413,Violin,410
414,Upright Bass,410
415,Cello,410
416,Cello,409
417,Violin,407
418,Viola,407
419,Violin,406
420,Cello,406
421,Upright Bass,406
422,Viola,406
423,Violin,405
424,Cello,405
425,Viola,405
426,Upright Bass,405
427,Cello,404
428,Upright Bass,404
429,Violin,404
430,Viola,404
431,Upright Bass,403
432,Violin,403
433,Viola,403
434,Cello,403
435,Concert Percussion Accessories,395
436,"Drumsticks, Mallets & Brushes",395
437,Drum Set Accessories,395
438,Practice Pads & Devices,395
439,"Bags, Cases & Covers",395
440,Hardware,395
441,Cleaning & Care,395
442,Thrones,395
443,Marching Percussion Accessories,395
444,Rugs,395
445,Electronic Drum Accessories,395
446,Electronic Drum Amps,395
447,Drumheads,395
448,Drum Accessories,443
449,Marching Drumheads,443
450,Bass Drum,449
451,Snare Drum,449
452,Tom-Toms,449
453,Bass Drum Accessories,448
454,Snare Drum Accessories,448
455,"Bags, Cases & Covers",453
456,Carriers,453
457,Mounting Hardware,440
458,Stands & Racks,440
459,Bongo Stands,458
460,Percussion Holders & Tables,457
461,Percussion Mounts,457
462,Clamps,457
463,Mounting Arms,457
464,Racks,457
465,Cymbal Stackers,457
466,"Drum Set Bags, Cases & Covers",439
467,"Bass Drum Bags, Cases & Covers",439
468,Stick & Mallet Bags & Cases,439
469,Pedal Bags & Cases,439
470,Drumheads,437
471,Cymbal Accessories,437
472,Drum Accessories,437
473,Drum Keys & Wrenches,437
474,Stands,437
475,Snare Drum Stands,474
476,Tom-Tom Stands,474
477,Gong Stands,474
478,Bass Drum Stands,474
479,Bass Drum Pedals,472
480,Bongo Accessories,472
481,Stands,471
482,Hi-Hat,481
483,Boom,481
484,Straight,481
485,Tom-Tom Drumheads,470
486,Bass Drumheads,470
487,Snare Drumheads,470
488,Drumsticks,436
489,Mallets,436
490,Brushes,436
491,Drum Accessories,435
492,Timpani Accessories,435
493,Cymbal & Gong Accessories,435
494,Glockenspiel Accessories,435
495,Xylophone Accessories,435
496,Metallophone Accessories,435
497,Snare Drum Accessories,491
498,Tom-Tom Accessories,491
499,Bass Drum Accessories,491
500,Drumheads,499
501,Stands,499
502,Drumheads,497
503,Stands,497
504,Mutes,394
505,Stands,394
506,Bags & Cases,394
507,Mouthpieces,394
508,Cleaning & Care,394
509,Tuba,507
510,Trombone,507
511,French Horn,507
512,Trumpet,507
513,Cornet,507
514,Flugelhorn,507
515,Trumpet,506
516,Trombone,506
517,French Horn,506
