id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Office Products,0,134838,,3,44.88,33324,33249,15900,9353,10659,32353
1,Office & School Supplies,166,112101,0,19,28.8,31558,31103,13190,6190,4186,25874
2,Office Electronics,808,15334,0,12,117.44,1310,1679,1984,2138,3540,4683
3,Office Furniture & Lighting,78,7408,0,7,154.2,457,468,727,1026,2934,1796
4,Furniture Accessories,61,1432,3,9,47.91,387,272,209,143,151,270
5,Carts & Stands,39,820,3,8,126.43,13,59,139,136,274,199
6,"Cabinets, Racks & Shelves",32,1226,3,4,203.68,22,43,69,118,673,301
7,Chairs & Sofas,4,2823,3,8,174.77,7,66,254,532,1288,676
8,Desks & Workstations,1,729,3,5,259.74,12,7,16,47,406,241
9,Tables,26,244,3,7,195.81,1,5,15,34,129,60
10,Office Lighting,9,56,3,1,35.65,12,9,10,9,2,14
11,Under-Cabinet Lamps,47,47,10,0,37.91,10,7,8,9,2,11
12,Utility Tables,111,111,9,0,180.2,0,3,4,17,67,20
13,Computer Tables,26,26,9,0,220.24,0,1,5,0,6,14
14,Conference Room Tables,45,45,9,0,293.73,1,1,1,2,29,11
15,Table & Chair Sets,19,19,9,0,127.15,0,0,0,2,7,10
16,Science & Lab Tables,4,4,9,0,436.12,0,0,0,1,3,0
17,Reception Room Tables,12,12,9,0,133.66,0,0,0,3,7,2
18,Meeting Room Tables,1,1,9,0,0,0,0,0,0,0,1
19,Desks,68,592,8,2,260.32,10,5,13,36,325,203
20,Computer Workstations,101,101,8,0,217.21,2,1,2,10,59,27
21,Credenzas,30,30,8,0,465.8,0,0,0,1,18,11
22,Bridges & Connectors,4,4,8,0,109.14,0,0,1,0,3,0
23,Mailroom Stations,1,1,8,0,18.45,0,1,0,0,0,0
24,Computer Desks,150,150,19,0,209.38,0,0,4,12,72,62
25,Office Desks,374,374,19,0,280.47,10,5,9,22,208,120
26,Desk Chairs,1065,1065,7,0,189.39,0,20,105,191,562,187
27,Stools,609,609,7,0,100.01,6,27,93,174,167,142
28,Managerial & Executive Chairs,483,483,7,0,244.32,1,1,3,37,278,163
29,Task Chairs,354,354,7,0,175.34,0,2,18,81,138,115
30,Stacking Chairs,120,120,7,0,102.12,0,15,29,17,35,24
31,Drafting Chairs,88,88,7,0,154.77,0,1,3,17,40,27
32,Guest & Reception Chairs,69,69,7,0,170.79,0,0,2,15,42,10
33,Sofas & Loveseats,31,31,7,0,507.95,0,0,0,0,24,7
34,Racks & Displays,65,65,6,0,139.18,4,5,12,11,27,6
35,Shelving & Storage,108,636,6,3,184.12,18,28,37,68,329,156
36,File Cabinets,64,491,6,6,243.67,0,7,16,37,305,126
37,LAN Stations,2,2,6,0,23.09,0,1,0,0,0,1
38,Lateral File Cabinets,175,175,36,0,352.68,0,2,1,1,125,46
39,Vertical File Cabinets,106,106,36,0,203.2,0,0,2,6,70,28
40,Mobile File Cabinets,108,108,36,0,145.17,0,4,9,20,56,19
41,Flat File Cabinets,10,10,36,0,341.43,0,1,0,0,8,1
42,Card File Cabinets,5,5,36,0,68.21,0,0,1,3,0,1
43,Chest File Cabinets,23,23,36,0,166.66,0,0,0,1,19,3
44,Storage Cabinets,429,429,35,0,192.15,8,17,22,40,217,125
45,Utility Cabinets,36,36,35,0,243.28,2,0,1,3,21,9
46,Storage Lockers,63,63,35,0,190.19,2,5,2,7,40,7
47,Utility Carts,532,532,5,0,106.79,6,39,115,109,152,111
