id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,"Patio, Lawn & Garden",2479,109094,,65,62.04,19811,22599,15157,9498,11864,30165
1,Grills & Outdoor Cooking,23,8914,0,4,62.85,1075,2380,1430,840,752,2437
2,Lawn Mowers & Outdoor Power Tools,14,14730,0,14,60.25,2652,4056,2239,1222,1694,2867
3,Picnic Baskets & Accessories,0,578,0,5,50.46,33,94,90,78,40,243
4,"Pools, Hot Tubs & Supplies",243,9454,0,5,90.61,1035,2157,1644,1307,1886,1425
5,Backyard Birding & Wildlife,1,5017,0,4,33.48,593,1457,1139,408,161,1259
6,Pest Control,166,4364,0,8,32.86,841,1326,706,325,174,992
7,Patio Furniture & Accessories,165,10963,0,6,139.35,204,682,1497,1519,2708,4353
8,Gardening & Lawn Care,359,45049,0,15,34.63,12628,8944,5267,2851,2414,12945
9,Fire Pits & Accessories,13,1144,0,5,138.68,30,87,142,151,357,377
10,Outdoor Heaters & Accessories,0,332,0,2,194.55,12,28,26,32,129,105
11,Generators & Portable Power,65,2233,0,3,164.9,130,303,231,239,624,706
12,Roll into Spring,0,253,0,17,130.08,23,48,27,34,97,24
13,Snow Removal,9,1097,0,6,90.09,115,265,186,85,122,324
14,Farm & Ranch,8,992,0,7,85.12,121,214,149,112,201,195
15,Beckett,1,1,0,0,0,0,0,0,0,0,1
16,Garden Center,35,35,0,0,37.36,1,3,4,1,1,25
17,Oxo,1,1,0,0,8.79,1,0,0,0,0,0
18,Perky-Pet,1,162,0,3,20.11,21,94,39,1,0,7
19,Yard-Man,1,1,0,0,0,0,0,0,0,0,1
20,Havahart,0,34,0,3,43.73,0,10,11,10,2,1
21,Weber,2,4,0,2,9.99,1,0,0,0,0,3
22,Outdoor Storage,0,369,0,2,260.43,16,9,15,44,159,126
23,"Amazon Financing Offers in Patio, Lawn & Garden",0,45,0,2,422.37,0,0,0,0,33,12
24,Oregon Scientific,0,3,0,3,0,0,0,0,0,0,3
25,Thermos,1,1,0,0,0,0,0,0,0,0,1
26,Coleman,3,13,0,6,12.58,0,1,0,0,0,12
