id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
0,Pet Supplies,4113,0,0,34,['Pet Supplies'],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",0,[]
1,Dogs,25,72403,0,16,"['Pet Supplies', 'Dogs']","[359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374]",0,[]
2,Pet Supplies: International Shipping Available,957,957,0,0,"['Pet Supplies', 'Pet Supplies: International Shipping Available']",[],11,"[(391, 6), (448, 3), (252, 2), (343, 2), (407, 2), (406, 2), (457, 1), (31, 1), (400, 1), (371, 1), (520, 1)]"
3,Small Animals,4,3090,0,11,"['Pet Supplies', 'Small Animals']","[335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345]",0,[]
4,Cats,17,12983,0,16,"['Pet Supplies', 'Cats']","[231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]",0,[]
5,Fish & Aquatic Pets,6,8155,0,16,"['Pet Supplies', 'Fish & Aquatic Pets']","[201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216]",0,[]
6,Birds,0,3867,0,7,"['Pet Supplies', 'Birds']","[182, 183, 184, 185, 186, 187, 188]",0,[]
7,Horses,15,2424,0,9,"['Pet Supplies', 'Horses']","[148, 149, 150, 151, 152, 153, 154, 155, 156]",0,[]
8,Buy $25 Save $5 on Nylabone,0,114,0,2,"['Pet Supplies', 'Buy $25 Save $5 on Nylabone']","[142, 143]",0,[]
9,Pet Behavior Center,0,573,0,5,"['Pet Supplies', 'Pet Behavior Center']","[121, 122, 123, 124, 125]",0,[]
10,Tetra Pond,0,22,0,4,"['Pet Supplies', 'Tetra Pond']","[117, 118, 119, 120]",0,[]
11,Bunny Rabbit Central,0,311,0,8,"['Pet Supplies', 'Bunny Rabbit Central']","[109, 110, 111, 112, 113, 114, 115, 116]",0,[]
12,Reptiles & Amphibians,0,1096,0,11,"['Pet Supplies', 'Reptiles & Amphibians']","[93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103]",0,[]
13,"Spend $25, Save $5 on Select Aquarium Products",2,2,0,0,"['Pet Supplies', 'Spend $25, Save $5 on Select Aquarium Products']",[],0,[]
14,Hagen,0,475,0,37,"['Pet Supplies', 'Hagen']","[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]",0,[]
15,Fish for Savings; Up to 70% Off Select Tetra Products,1,1,0,0,"['Pet Supplies', 'Fish for Savings; Up to 70% Off Select Tetra Products']",[],0,[]
16,Buy $25 Save $5 on Kaytee,0,71,0,1,"['Pet Supplies', 'Buy $25 Save $5 on Kaytee']",[48],0,[]
17,Buy $50 Save $10 on Wee-Wee Products,0,2,0,1,"['Pet Supplies', 'Buy $50 Save $10 on Wee-Wee Products']",[47],0,[]
18,"Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy",2,2,0,0,"['Pet Supplies', 'Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy']",[],0,[]
19,$5 Off $25 Plush Puppies Holiday Toys,2,2,0,0,"['Pet Supplies', '$5 Off $25 Plush Puppies Holiday Toys']",[],0,[]
20,May The Fourth Be With Your Pets,1,1,0,0,"['Pet Supplies', 'May The Fourth Be With Your Pets']",[],1,"[(391, 1)]"
21,Green,9,9,0,0,"['Pet Supplies', 'Green']",[],0,[]
22,Pet Supplies Markdowns,7,7,0,0,"['Pet Supplies', 'Pet Supplies Markdowns']",[],0,[]
23,Havahart Wireless,0,3,0,1,"['Pet Supplies', 'Havahart Wireless']",[44],0,[]
24,Insects,18,18,0,0,"['Pet Supplies', 'Insects']",[],0,[]
25,SportDog,0,7,0,4,"['Pet Supplies', 'SportDog']","[40, 41, 42, 43]",0,[]
26,PetSafe,0,1,0,1,"['Pet Supplies', 'PetSafe']",[39],0,[]
27,Up to 50% Off Pet Toys & Outdoor Products,12,12,0,0,"['Pet Supplies', 'Up to 50% Off Pet Toys & Outdoor Products']",[],0,[]
28,$15 Off $75 on Midwest Beds,1,1,0,0,"['Pet Supplies', '$15 Off $75 on Midwest Beds']",[],0,[]
29,Flea & Tick Center,0,2,0,1,"['Pet Supplies', 'Flea & Tick Center']",[36],0,[]
30,Classic Accessories Pets,0,2,0,1,"['Pet Supplies', 'Classic Accessories Pets']",[35],0,[]
31,Pets Best-Selling Halloween Costumes,4,4,0,0,"['Pet Supplies', 'Pets Best-Selling Halloween Costumes']",[],2,"[(391, 1), (2, 1)]"
32,Last Minute Holiday Pet Deals: Save up to 50%,3,3,0,0,"['Pet Supplies', 'Last Minute Holiday Pet Deals: Save up to 50%']",[],0,[]
33,Pet Decor,1,1,0,0,"['Pet Supplies', 'Pet Decor']",[],0,[]
34,Save 20% or More on Select Pet Naturals of Vermont,1,1,0,0,"['Pet Supplies', 'Save 20% or More on Select Pet Naturals of Vermont']",[],0,[]
35,Food & Hydration Packs,2,2,30,0,"['Pet Supplies', 'Classic Accessories Pets', 'Food & Hydration Packs']",[],0,[]
36,"Adams, Bio Spot & Zodiac",0,2,29,2,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac']","[37, 38]",0,[]
37,Bio Spot Home,1,1,36,0,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac', 'Bio Spot Home']",[],0,[]
38,Bio Spot Cat,1,1,36,0,"['Pet Supplies', 'Flea & Tick Center', 'Adams, Bio Spot & Zodiac', 'Bio Spot Cat']",[],0,[]
39,Doors & Accessories,1,1,26,0,"['Pet Supplies', 'PetSafe', 'Doors & Accessories']",[],0,[]
40,E-Collar Accessories,1,1,25,0,"['Pet Supplies', 'SportDog', 'E-Collar Accessories']",[],0,[]
41,"Whistles, Bells & Lanyards",3,3,25,0,"['Pet Supplies', 'SportDog', 'Whistles, Bells & Lanyards']",[],0,[]
42,Collars & Leads,1,1,25,0,"['Pet Supplies', 'SportDog', 'Collars & Leads']",[],0,[]
43,Dummies,2,2,25,0,"['Pet Supplies', 'SportDog', 'Dummies']",[],0,[]
44,Dog Doors,0,3,23,2,"['Pet Supplies', 'Havahart Wireless', 'Dog Doors']","[45, 46]",0,[]
45,Aluminum,2,2,44,0,"['Pet Supplies', 'Havahart Wireless', 'Dog Doors', 'Aluminum']",[],0,[]
