id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Pop,18,5690,,13,3.19,1653,40,0,0,0,3997
1,Easy Listening,1573,1573,0,0,3.61,389,6,0,0,0,1178
2,Euro Pop,101,101,0,0,3.51,23,0,0,0,0,78
3,Pop Rock,1472,1472,0,0,3.57,488,24,0,0,0,960
4,Singer-Songwriters,665,665,0,0,2.58,286,3,0,0,0,376
5,Oldies,314,314,0,0,3.23,82,0,0,0,0,232
6,Dance Pop,570,570,0,0,2.56,193,3,0,0,0,374
7,Soft Rock,178,178,0,0,3.59,46,2,0,0,0,130
8,Adult Contemporary,596,596,0,0,2.81,167,3,0,0,0,426
9,Compilations,45,45,0,0,3.81,27,1,0,0,0,17
10,Adult Alternative,884,884,0,0,3.13,107,1,0,0,0,776
11,Vocal Pop,155,155,0,0,3.24,51,0,0,0,0,104
12,Live Recordings,16,16,0,0,5.37,9,1,0,0,0,6
13,Korean Pop,44,44,0,0,2.02,36,0,0,0,0,8
