id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Software,141,18469,,16,74.52,1614,2488,3538,2000,1949,6880
1,Business & Office,837,2983,0,16,103.98,130,229,474,361,470,1319
2,Education & Reference,1773,4261,0,13,65.72,409,684,908,313,434,1513
3,Photography,861,861,0,0,83.53,31,70,137,198,122,303
4,Networking & Servers,26,340,0,7,101.67,16,22,61,22,24,195
5,Design & Illustration,1770,2648,0,4,90.74,128,341,412,267,261,1239
6,Programming & Web Development,5,996,0,6,121.01,36,55,130,75,106,594
7,Children's,1085,2626,0,8,29.39,659,701,530,84,87,565
8,Lifestyle & Hobbies,995,2371,0,7,50.49,200,425,482,290,117,857
9,Music,310,950,0,4,79.46,42,79,164,118,106,441
10,Accounting & Finance,31,882,0,6,144.27,26,52,157,106,192,349
11,Utilities,309,1654,0,11,50.15,97,195,307,146,60,849
12,Operating Systems,139,633,0,6,100.96,47,43,83,78,121,261
13,Video,110,869,0,4,90.13,27,49,174,165,84,370
14,Antivirus & Security,135,1216,0,3,50.29,80,127,340,202,46,421
15,Tax Preparation,287,287,0,0,49.88,25,34,78,80,12,58
16,Games,4,4,0,0,34.53,1,1,1,1,0,0
17,Internet Security,1068,1068,14,0,48.24,75,117,310,192,32,342
18,Antivirus,480,480,14,0,43.77,35,54,150,70,9,162
19,Parental Control,17,17,14,0,36.96,2,0,7,2,0,6
20,DVD Viewing & Burning,281,281,13,0,51.95,6,8,62,62,6,137
21,Video Editing,412,412,13,0,122.25,16,16,72,86,62,160
22,Compositing & Effects,150,150,13,0,87.19,3,16,17,13,16,85
23,Encoding,36,36,13,0,43.35,1,8,5,3,2,17
24,Linux & Unix,185,185,12,0,22.79,42,15,43,8,0,77
25,Microsoft Windows,163,163,12,0,151.1,3,9,8,37,73,33
26,Mac Operating Systems,131,131,12,0,84.11,0,7,20,9,12,83
27,BeOS,6,6,12,0,0,0,0,0,0,0,6
28,DOS,7,7,12,0,43.24,0,1,3,0,0,3
29,OS2,4,4,12,0,80.99,0,0,0,1,0,3
30,Cross Platform,64,64,11,0,78.41,2,2,9,18,8,25
31,Internet Utilities,134,215,11,5,71.05,8,17,38,20,11,121
32,Partitions,42,42,11,0,64.67,1,0,10,4,2,25
33,PC Maintenance,418,418,11,0,40.85,28,51,106,31,7,195
34,File Conversion,64,64,11,0,58.09,2,6,17,6,3,30
35,Memory Management,31,31,11,0,72.06,1,0,5,3,2,20
36,File Compression & Decompression,54,54,11,0,85.81,0,3,12,8,2,29
37,Backup,397,397,11,0,45.94,20,77,52,26,17,205
38,Screen Savers,71,71,11,0,23.45,7,19,8,3,0,34
39,Mobile Utilities,45,45,11,0,40.48,1,3,10,1,1,29
40,Drivers & Driver Recovery,27,27,11,0,14.91,10,2,2,1,0,12
41,Internet Phone,28,28,31,0,30.81,0,3,7,1,0,17
42,Electronic Publishing,36,36,31,0,225.52,0,2,3,1,8,22
43,Streaming Video,11,11,31,0,11.99,1,1,0,0,0,9
44,Shared Internet,4,4,31,0,47.49,0,0,1,1,0,2
45,Instant Messaging,2,2,31,0,22.99,0,1,0,0,0,1
46,Personal Finance,244,506,10,2,78.72,16,34,113,88,54,201
47,Point of Sale,31,31,10,0,188.3,0,3,4,0,13,11
48,Business Accounting,390,390,10,0,240.15,6,9,39,27,155,154
49,Check Printing,53,53,10,0,23.89,4,7,5,1,0,36
50,Payroll,41,41,10,0,218.2,2,0,0,2,16,21
51,Inventory Management,17,17,10,0,215.92,1,1,4,1,5,5
52,Money Management & Budgeting,243,243,46,0,58.31,10,20,75,52,15,71
53,Investment Tools,40,40,46,0,45.99,1,3,11,12,0,13
54,CD Burning & Labeling,164,164,9,0,34.53,14,15,40,19,0,76
55,Instrument Instruction,194,194,9,0,59.97,11,27,40,39,11,66
56,Music Notation,149,149,9,0,141.52,3,3,25,17,50,51
57,MP3 Editing & Effects,0,186,9,2,101.11,5,9,30,11,27,104
58,Sound Libraries,136,136,57,0,129.64,3,3,17,7,26,80
59,MP3 Software,56,56,57,0,38.85,2,6,15,4,1,28
60,Home Publishing,379,839,8,5,43.0,97,183,168,59,27,305
61,Scrapbooking,68,68,8,0,32.23,9,12,24,7,0,16
62,Cooking & Health,135,135,8,0,34.56,10,32,27,13,2,51
63,Genealogy,129,129,8,0,42.25,4,14,36,23,1,51
64,Home & Garden Design,189,189,8,0,83.4,7,21,36,48,20,57
65,Fashion & Beauty,26,26,8,0,24.42,6,2,5,1,0,12
66,Sewing,19,19,8,0,51.33,0,4,0,2,1,12
67,Greeting Cards,143,143,60,0,28.84,15,32,52,7,1,36
68,Fonts,81,81,60,0,39.85,7,21,9,0,4,40
69,Clip Art,192,192,60,0,33.25,9,48,20,16,1,98
70,Mailing Labels,31,31,60,0,18.78,5,7,5,1,0,13
71,Calendars,52,52,60,0,28.29,10,8,14,3,1,16
72,Science & Nature,99,99,7,0,20.26,27,19,21,0,0,32
73,Math,169,169,7,0,17.92,51,46,30,2,1,39
74,Early Learning,553,553,7,0,23.16,167,156,107,12,6,105
75,Games,569,569,7,0,22.44,155,176,105,15,8,110
76,Reading & Language,173,173,7,0,18.76,47,61,32,1,1,31
77,Art & Creativity,116,116,7,0,18.96,32,30,12,6,0,36
78,Geography,19,19,7,0,20.01,4,3,7,0,0,5
79,Thinking & Problem Solving,80,80,7,0,18.9,26,29,10,3,1,11
80,Web Design,380,638,6,3,77.02,23,40,95,42,32,406
81,Training & Tutorials,49,49,6,0,103.25,3,5,6,7,10,18
82,Programming Languages,145,145,6,0,202.73,3,4,8,4,23,103
