id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Sports & Outdoors,13539,532197,,17,50.18,53943,98480,65460,37753,32156,244405
1,Other Sports,27,13611,0,5,48.24,1038,2416,2079,963,811,6304
2,Accessories,239,29784,0,17,76.75,3354,3753,2277,2734,4006,13660
3,Hunting & Fishing,84,80442,0,5,52.96,10760,18891,14331,8661,7004,20795
4,Outdoor Gear,51,37712,0,2,51.96,4200,6223,4945,3662,2696,15986
5,Golf,612,14335,0,13,71.42,1218,2647,1471,1034,1559,6406
6,Leisure Sports & Game Room,58,13121,0,8,52.15,2222,2575,1621,1356,1095,4252
7,Exercise & Fitness,805,29109,0,13,68.91,1600,4872,3623,2396,2120,14498
8,Boating & Water Sports,141,27573,0,13,74.79,2521,4668,3729,2516,3011,11128
9,Cycling,1476,42655,0,18,52.88,5011,7415,5371,3183,2943,18732
10,Fan Shop,3474,124455,0,18,26.21,13822,28590,14076,3897,1466,62604
11,Equestrian Sports,657,5234,0,9,41.07,483,954,782,364,209,2442
12,Clothing,2609,47173,0,4,40.55,1834,6526,3531,1784,1189,32309
13,Action Sports,37,10086,0,5,68.21,622,860,1170,1058,829,5547
14,Team Sports,62,21299,0,17,52.17,1640,3021,2536,1570,1210,11322
15,Snow Sports,12,11966,0,5,63.57,748,1210,940,998,837,7233
16,Paintball & Airsoft,1,13536,0,2,55.09,1384,2471,2037,1393,1225,5026
17,Racquet Sports,147,4574,0,4,54.67,483,504,478,370,349,2390
18,Badminton,18,514,17,4,48.58,57,62,70,39,29,257
19,Tennis,56,3312,17,7,55.1,347,319,333,266,227,1820
20,Squash,2,295,17,5,76.24,31,22,29,35,60,118
21,Racquetball,23,306,17,4,50.28,36,53,20,23,26,148
22,Racquetballs,28,28,21,0,16.12,18,4,0,0,1,5
23,Goggles,46,46,21,0,18.57,4,31,5,0,0,6
24,Racquets,135,135,21,0,97.26,0,5,14,21,25,70
25,Gloves,74,74,21,0,22.67,5,8,1,2,0,58
26,Balls,40,40,20,0,19.22,13,9,9,1,0,8
27,Racquets,202,202,20,0,113.44,0,3,11,32,58,98
28,Racket Grips,16,16,20,0,21.54,7,4,3,1,0,1
29,Equipment Bags,7,7,20,0,53.31,0,0,3,1,0,3
30,Goggles,28,28,20,0,26.44,9,6,3,0,2,8
31,Balls,188,188,19,0,33.49,43,29,23,28,5,60
32,Racquets,786,786,19,0,95.12,12,36,49,70,124,495
33,Accessories,2,1308,19,4,41.52,259,152,140,120,54,583
34,Court Equipment,1,126,19,3,116.63,4,21,21,9,28,43
35,Training Equipment,94,94,19,0,64.09,7,11,17,5,13,41
36,Clothing,82,739,19,4,35.36,13,60,77,32,3,554
37,Footwear,15,15,19,0,20.66,0,2,1,0,0,12
38,Men,9,160,36,5,26.68,4,21,13,1,1,120
39,Women,15,474,36,8,37.16,5,32,53,22,1,361
40,Boys,0,17,36,2,10.99,2,1,0,0,0,14
41,Girls,1,17,36,6,22.49,0,2,2,0,0,13
42,Shorts,2,2,41,0,28.0,0,0,1,0,0,1
43,Shirts,2,2,41,0,0,0,0,0,0,0,2
44,Dresses,3,3,41,0,19.99,0,1,0,0,0,2
45,Skorts,4,4,41,0,13.99,0,1,0,0,0,3
46,Socks,1,1,41,0,0,0,0,0,0,0,1
47,Skirts,4,4,41,0,28.0,0,0,1,0,0,3
48,Shorts,8,8,40,0,7.99,2,0,0,0,0,6
49,Shirts,9,9,40,0,16.99,0,1,0,0,0,8
50,Shorts,29,29,39,0,22.36,0,4,3,0,0,22
51,Pants,8,8,39,0,19.99,0,1,0,0,0,7
52,Jackets,13,13,39,0,85.16,0,0,0,1,1,11
53,Shirts,150,150,39,0,27.67,2,17,14,2,0,115
54,Skirts,88,88,39,0,40.35,0,1,13,5,0,69
55,Skorts,118,118,39,0,39.31,0,7,19,5,0,87
56,Socks,7,7,39,0,0,0,0,0,0,0,7
57,Dresses,46,46,39,0,64.8,0,1,1,9,0,35
58,Socks,26,26,38,0,15.99,0,4,0,0,0,22
59,Shirts,56,56,38,0,31.13,1,9,7,1,1,37
60,Shorts,61,61,38,0,28.02,0,7,5,0,0,49
61,Jackets,5,5,38,0,43.98,0,0,1,0,0,4
62,Pants,3,3,38,0,0,0,0,0,0,0,3
63,Nets,41,41,34,0,78.52,4,8,7,4,14,4
64,Ball Machines,40,40,34,0,360.94,0,3,0,1,9,27
65,Ball Hoppers,44,44,34,0,63.13,0,10,14,4,5,11
66,Racquet Accessories,0,735,33,4,29.13,256,139,58,41,35,206
67,Equipment Bags,523,523,33,0,61.67,1,4,68,78,9,363
68,Stringing Machines & Tools,32,32,33,0,196.64,2,6,5,0,9,10
69,Court Accessories,16,16,33,0,35.83,0,3,9,1,1,2
70,Racquet Grips,262,262,66,0,15.13,127,36,27,11,1,60
71,Vibration Dampeners,84,84,66,0,7.29,47,9,1,0,0,27
72,Racquet Strings,368,368,66,0,44.07,81,90,26,27,33,111
73,Racquet Covers,21,21,66,0,46.84,1,4,4,3,1,8
74,Complete Sets,104,104,18,0,44.16,6,12,33,12,5,36
75,Shuttlecocks,133,133,18,0,12.46,39,25,6,0,0,63
76,Nets,29,29,18,0,60.63,0,8,10,1,3,7
77,Racquets,230,230,18,0,76.68,12,14,19,26,19,140
78,Airsoft,369,9210,16,18,54.84,898,1687,1392,1033,848,3352
79,Paintball,177,4327,16,18,55.71,485,785,645,360,378,1674
80,Barrels,381,381,79,0,44.92,27,43,118,51,11,131
81,Paintballs,248,248,79,0,44.11,10,47,56,24,10,101
82,"Tanks, Regulators & Parts",1,347,79,7,44.16,35,83,62,19,22,126
83,Loaders & Accessories,0,367,79,4,25.79,86,89,30,19,7,136
84,Harnesses,220,220,79,0,23.2,28,75,29,9,0,79
85,Drop Forwards,17,17,79,0,21.23,5,2,5,0,0,5
86,Marker Parts & Upgrades,0,636,79,8,32.63,121,177,110,47,27,154
87,Protective Gear,30,673,79,8,41.84,80,113,102,94,25,259
88,Marker Maintenance Equipment,55,55,79,0,13.42,21,18,3,0,0,13
89,Markers,406,406,79,0,176.88,9,19,16,18,131,213
90,Complete Paintball Sets,231,231,79,0,199.93,1,2,7,9,113,99
91,Sights,91,91,79,0,36.92,12,28,23,13,3,12
92,Equipment Bags,73,73,79,0,57.24,7,10,15,6,9,26
93,Stocks,84,84,79,0,39.19,0,19,26,8,3,28
94,Grenades,27,27,79,0,49.02,5,7,2,0,4,9
95,Clothing,270,270,79,0,49.23,7,29,20,30,8,176
96,Bottom Lines,14,14,79,0,25.22,4,2,5,1,0,2
97,Helmets,15,15,79,0,48.12,0,4,5,4,2,0
98,Neck Protectors,25,25,87,0,9.61,16,2,1,0,0,6
99,Replacement Mask Lenses,51,51,87,0,26.29,1,20,17,1,0,12
100,Goggles,204,204,87,0,49.71,27,34,40,44,14,45
101,Masks,115,115,87,0,52.52,9,12,17,24,7,46
102,Chest Protectors,79,79,87,0,64.08,0,12,5,17,2,43
103,Gloves,110,110,87,0,16.76,21,20,12,0,0,57
104,Knee Pads,33,33,87,0,35.74,1,4,9,2,0,17
105,Elbow Pads,26,26,87,0,29.57,2,5,0,4,0,15
106,Replacement Parts,124,124,86,0,25.88,36,30,20,11,2,25
107,Triggers,48,48,86,0,28.13,7,12,8,2,1,18
108,Accessory Kits,313,313,86,0,39.65,51,85,56,28,22,71
109,Grips,45,45,86,0,29.37,4,18,10,1,2,10
110,Parts Kits,46,46,86,0,16.97,10,23,5,0,0,8
111,Bolts,50,50,86,0,28.58,11,8,9,5,0,17
112,Autococker Accessories,6,6,86,0,10.01,2,1,0,0,0,3
113,Valves,4,4,86,0,39.97,0,0,2,0,0,2
114,Loaders,185,185,83,0,35.96,27,27,13,17,6,95
115,Tubes & Pods,72,72,83,0,12.33,30,20,5,0,0,17
116,Feed Necks,37,37,83,0,19.65,5,15,6,0,0,11
117,Loader Accessories,73,73,83,0,25.53,24,27,6,2,1,13
118,Remotes,57,57,82,0,25.93,6,22,20,2,0,7
119,Expansion Chambers,8,8,82,0,30.65,1,0,2,0,0,5
120,Tanks,128,128,82,0,75.72,12,16,12,8,15,65
121,Fill Stations,23,23,82,0,52.52,1,3,12,4,1,2
122,CO2 Systems,40,40,82,0,50.08,2,11,8,5,6,8
123,Tank Covers,72,72,82,0,16.37,10,26,5,0,0,31
124,Regulators,18,18,82,0,20.46,3,5,3,0,0,7
125,Guns & Rifles,192,3962,78,3,87.6,147,409,459,361,641,1945
126,Lasers,257,257,78,0,56.41,11,44,65,45,20,72
127,Protective Gear,45,836,78,5,29.79,153,265,114,60,25,219
128,Batteries,138,138,78,0,24.86,14,45,38,4,0,37
129,Holsters,435,435,78,0,56.48,22,44,99,212,17,41
130,BBs,451,451,78,0,15.83,136,158,26,10,1,120
131,Magazines,406,406,78,0,22.74,61,112,88,14,1,130
132,Gun Loaders,21,21,78,0,15.4,9,2,1,1,0,8
