id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Tools & Home Improvement,0,269120,,10,60.78,57027,66970,42150,28567,36761,37645
1,Lighting & Ceiling Fans,259,39602,0,8,96.67,3427,6493,5743,5731,9933,8275
2,Power & Hand Tools,43,92089,0,7,54.53,18602,24826,16074,9986,10271,12330
3,Hardware,116,26580,0,13,32.38,9045,6887,3983,2194,1567,2904
4,Painting Supplies & Wall Treatments,123,18453,0,9,25.74,5102,6403,2554,1129,456,2809
5,Kitchen & Bath Fixtures,103,19122,0,4,161.84,1026,2061,2547,2851,7560,3077
6,Electrical,210,32383,0,21,29.14,11821,9643,4230,2033,1603,3053
7,Safety & Security,36,14606,0,6,34.15,3598,4723,2406,1094,835,1950
8,Building Supplies,0,16042,0,6,70.78,1933,3525,3193,2496,2768,2127
9,Storage & Home Organization,15,1359,0,3,72.05,181,289,209,184,206,290
10,Rough Plumbing,85,8893,0,8,71.57,2292,2123,1213,870,1562,833
11,Faucet Parts,131,3050,10,18,49.66,864,848,489,305,373,171
12,"Pipes, Pipe Fittings & Accessories",2,2178,10,6,28.15,901,625,286,151,101,114
13,Water Pumps & Accessories,6,1291,10,6,142.51,62,158,159,224,578,110
14,Toilet Parts,16,782,10,7,28.26,270,273,130,40,38,31
15,Drain Cleaning Equipment,27,139,10,1,48.76,46,40,19,12,12,10
16,Valves,74,238,10,2,90.3,38,49,45,31,56,19
17,Garbage Disposals & Parts,0,157,10,2,115.32,16,10,8,44,62,17
18,Water Heaters & Parts,42,973,10,2,223.33,70,105,63,60,341,334
19,Water Heaters,654,654,18,0,327.46,10,16,20,28,312,268
20,Water Heater Parts,277,277,18,0,51.74,58,87,41,26,19,46
21,Garbage Disposals,141,141,17,0,126.93,8,6,7,42,62,16
22,Garbage Disposal Parts,16,16,17,0,18.58,8,4,1,2,0,1
23,Bathtub & Shower Diverter Valves,122,122,16,0,113.77,11,17,25,22,42,5
24,Shower Flow Control Valves,42,42,16,0,108.33,5,15,6,5,9,2
25,Drain Augers,112,112,15,0,52.59,40,33,16,6,12,5
26,Toilet Trip Levers,277,277,14,0,29.29,59,105,81,12,8,12
27,Toilet Tank Balls & Rods,19,19,14,0,18.65,8,7,3,1,0,0
28,Toilet Flush Valves,255,255,14,0,41.07,64,97,32,23,26,13
29,Toilet Wax Rings,7,7,14,0,10.55,4,2,0,0,0,1
30,Toilet Flappers,135,135,14,0,11.04,81,43,8,0,1,2
31,Toilet Mounting Parts,4,53,14,4,8.64,43,8,1,1,0,0
32,Toilet Repair Kits,20,20,14,0,23.74,8,6,2,2,1,1
33,Floor Caps,14,14,31,0,5.43,13,1,0,0,0,0
34,Floor Bolts & Washer Sets,20,20,31,0,7.63,16,4,0,0,0,0
35,Floor Bolts & Caps Set,10,10,31,0,8.44,8,1,1,0,0,0
36,Floor Bolts & Screw Sets,5,5,31,0,21.42,3,1,0,1,0,0
37,Pump Accessories,295,295,13,0,85.58,26,66,59,62,68,14
38,Sump Pumps,432,432,13,0,165.24,13,25,31,75,262,26
39,Power Water Pumps,457,457,13,0,144.05,20,58,62,72,182,63
40,Utility Pumps,35,35,13,0,140.3,1,3,2,10,16,3
41,Well Pumps,51,51,13,0,228.74,1,4,4,4,35,3
42,Sewage/Effluent Pumps,15,15,13,0,311.17,0,1,0,0,14,0
43,Tubing/Hoses,385,385,12,0,28.2,108,145,74,36,16,6
44,Pipe Fittings,1739,1739,12,0,27.48,774,473,203,107,78,104
45,Pipe Heat Cables,10,10,12,0,100.14,1,2,3,1,3,0
46,Pipe Insulation,27,27,12,0,36.75,10,3,5,5,2,2
47,Pipe Clamps,2,2,12,0,3.29,2,0,0,0,0,0
48,Pipe Supports,13,13,12,0,42.62,6,2,1,2,2,0
49,Aerators,459,459,11,0,23.65,211,138,54,17,15,24
50,Faucet Handles,492,492,11,0,58.56,117,136,76,53,77,33
51,Faucet Seat & Spring Sets,17,17,11,0,8.41,13,2,1,0,0,1
52,Cartridges,257,257,11,0,38.16,44,103,57,23,21,9
53,Faucet Flanges,121,121,11,0,23.83,46,41,16,16,2,0
54,Trim & Repair Kits,584,584,11,0,91.72,96,112,85,104,159,28
55,Escutcheons,75,75,11,0,25.71,15,29,16,14,0,1
56,Faucet Valves,208,208,11,0,65.16,37,48,42,26,44,11
57,Faucet O-Rings,110,110,11,0,10.59,78,19,7,3,0,3
58,Faucet Stems,151,151,11,0,21.15,62,55,17,0,4,13
59,Faucet Washers,60,60,11,0,17.65,32,14,10,1,1,2
60,Sink & Bathtub Spouts,177,177,11,0,51.04,33,54,46,24,18,2
61,Faucet Index Buttons,15,15,11,0,14.64,10,2,2,1,0,0
62,Faucet Spray Hoses,106,106,11,0,38.02,11,41,35,7,9,3
63,Faucet Extension Tubes,19,19,11,0,35.9,4,8,4,0,3,0
64,Faucet Seats,25,25,11,0,17.84,9,9,2,2,0,3
65,Faucet Supply Lines,34,34,11,0,22.85,18,7,5,2,1,1
66,Faucet Balls,9,9,11,0,12.11,6,3,0,0,0,0
67,Garage Storage,106,1267,9,8,68.8,174,269,194,172,180,278
68,Storage Lockers,34,34,9,0,94.13,4,12,4,2,10,2
69,Utility Shelves,43,43,9,0,134.03,2,6,10,7,14,4
70,Rack Attachments,184,184,67,0,56.48,25,52,27,20,24,36
71,Utility Racks,177,177,67,0,86.03,13,48,28,16,39,33
72,Systems,191,191,67,0,131.3,19,21,20,31,51,49
73,Shelves,149,149,67,0,58.53,30,25,24,13,17,40
74,Bike Racks & Stands,95,95,67,0,45.61,5,23,20,13,8,26
75,Wall Racks,159,159,67,0,47.78,23,37,27,28,14,30
76,Ceiling Mounted Storage Racks,26,26,67,0,100.36,0,1,7,8,8,2
77,System Attachments,11,180,67,3,39.4,47,45,30,32,12,14
78,Hooks,89,89,77,0,24.75,38,31,8,4,4,4
79,Shelves,30,30,77,0,61.08,0,7,7,11,2,3
80,Hardware,50,50,77,0,50.01,9,7,15,13,6,0
81,Heating & Cooling,7,7189,8,8,72.1,654,1344,1715,1323,1268,885
82,Ladders,18,729,8,4,166.2,10,36,85,131,340,127
83,Building Materials,8,6506,8,10,52.88,1131,1872,1112,794,774,823
84,Material Handling,18,955,8,5,122.84,90,114,122,156,321,152
85,Scaffolding,108,108,8,0,153.29,7,9,4,23,33,32
86,Job Site Lighting,53,555,8,1,43.73,41,150,155,69,32,108
87,Work Lights,502,502,86,0,43.39,41,143,145,63,31,79
88,Workbenches,283,283,84,0,176.14,22,15,32,45,123,46
89,Drywall Lifts,79,79,84,0,127.3,2,20,5,13,32,7
90,"Winches, Hoists & Pulleys",0,289,84,2,55.62,58,70,50,26,45,40
91,Hand Trucks,285,285,84,0,139.75,8,7,32,68,115,55
92,Lifting Accessories,1,1,84,0,31.99,0,0,1,0,0,0
93,Pulleys,195,195,90,0,26.28,57,63,38,7,9,21
94,Hoists,94,94,90,0,123.69,1,7,12,19,36,19
95,Doors,31,1758,83,5,45.71,203,690,381,187,148,149
96,Decking & Fencing,3,421,83,4,47.86,85,82,88,67,48,51
97,Flooring,2,1177,83,3,55.96,180,322,186,135,138,216
98,Roofing,17,699,83,6,54.4,146,180,122,109,77,65
99,Tiles,46,951,83,3,53.31,248,245,68,101,138,151
100,Raw Building Materials,0,606,83,10,35.74,126,183,136,66,35,60
101,Millwork,2,377,83,2,47.24,67,89,71,65,33,52
102,Stair Parts,1,293,83,8,93.05,48,43,38,35,81,48
103,Windows,19,147,83,6,95.81,17,25,21,18,46,20
104,Built-in Cabinetry,69,69,83,0,141.56,5,13,1,11,30,9
105,Skylights & Roof Windows,58,58,103,0,148.57,0,10,7,4,24,13
106,Casement Windows,18,18,103,0,20.34,5,7,5,1,0,0
107,Sliding Windows,22,22,103,0,42.03,7,2,3,10,0,0
108,Window Awnings & Canopies,27,27,103,0,151.31,0,0,1,2,20,4
109,Double Hung Windows,2,2,103,0,41.22,0,0,1,0,0,1
110,Storm Windows,1,1,103,0,8.65,1,0,0,0,0,0
111,Handrails,15,15,102,0,31.72,8,2,0,4,0,1
112,Balusters,24,24,102,0,120.77,3,3,9,1,4,4
113,Treads,208,208,102,0,110.35,19,28,23,27,74,37
114,Hardware,29,29,102,0,37.1,10,3,5,3,3,5
115,Mouldings & Accessories,7,7,102,0,8.34,4,3,0,0,0,0
116,Newels,5,5,102,0,10.19,2,2,0,0,0,1
117,Fittings,3,3,102,0,18.01,1,1,1,0,0,0
118,Risers,1,1,102,0,9.91,1,0,0,0,0,0
119,Moldings & Trims,299,299,101,0,44.99,66,80,44,46,25,38
120,Corbels,76,76,101,0,57.24,0,9,27,19,8,13
121,Concrete,61,61,100,0,37.83,14,20,9,7,4,7
122,Siding,65,65,100,0,47.57,13,19,7,12,9,5
123,Construction Boards,83,83,100,0,47.48,6,26,29,11,9,2
124,Rebar,11,11,100,0,21.36,2,5,2,0,0,2
125,Bricks & Blocks,9,9,100,0,22.78,2,3,2,1,0,1
126,Veneers,136,136,100,0,30.44,27,34,44,13,4,14
127,Lumber,159,159,100,0,32.85,45,47,20,18,7,22
128,Glass,0,31,100,2,28.33,5,11,10,3,0,2
129,Plywood,36,36,100,0,18.59,10,12,10,0,0,4
130,Mortar Mix,15,15,100,0,54.56,2,6,3,1,2,1
131,Plate Glass,13,13,128,0,29.86,3,4,5,1,0,0
132,Glass Blocks,18,18,128,0,27.08,2,7,5,2,0,2
133,Ceramic Tiles,208,208,99,0,87.64,33,22,22,42,66,23
134,Stone Tiles,4,433,99,2,44.23,149,124,34,37,38,51
135,Glass Tiles,264,264,99,0,35.01,59,91,7,10,27,70
136,Marble Tiles,419,419,134,0,44.79,147,118,33,34,38,49
137,Limestone Tiles,10,10,134,0,16.78,2,5,0,1,0,2
138,Vents,66,359,98,3,65.72,70,85,68,58,55,23
139,Gutters,16,194,98,3,37.82,57,51,19,23,11,33
140,Shingles & Shakes,5,5,98,0,18.44,1,2,2,0,0,0
141,Flashing,100,100,98,0,46.83,16,30,26,13,9,6
142,Roof Caps,23,23,98,0,58.31,1,2,5,14,1,0
143,Soffit Material,1,1,98,0,19.41,0,1,0,0,0,0
144,Guards,90,90,139,0,50.86,25,15,10,17,7,16
145,Downspouts,82,82,139,0,27.48,24,31,8,5,3,11
146,Elbows,6,6,139,0,8.77,4,2,0,0,0,0
147,Roof Vents,163,163,138,0,87.45,22,36,32,32,40,1
148,Gable Vents,86,86,138,0,39.29,14,24,18,16,4,10
149,Soffit Vents,44,44,138,0,21.9,25,8,2,3,1,5
150,Accessories,23,420,97,7,35.22,91,159,57,43,27,43
151,Adhesives & Mortars,80,80,97,0,15.81,34,23,9,2,1,11
152,Flooring Materials,22,675,97,7,76.78,54,139,120,90,110,162
153,Carpeting,126,126,152,0,143.46,4,9,14,34,42,23
154,Rubber Flooring,74,74,152,0,77.48,5,16,20,8,15,10
155,Hardwood Flooring,126,126,152,0,59.59,21,22,11,14,19,39
156,Wood Laminate Flooring,97,97,152,0,62.45,6,9,18,16,10,38
157,Vinyl Flooring,151,151,152,0,42.53,2,70,37,5,8,29
158,Ceramic Floor Tile,40,40,152,0,96.77,4,11,2,8,10,5
159,Bamboo Flooring,39,39,152,0,32.46,11,1,14,3,2,8
160,Grout Cleaner,114,114,150,0,19.32,28,56,13,6,1,10
