id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Toys & Games,18743,336072,,18,30.63,82652,83734,44654,19801,11850,93381
1,Puzzles,275,13655,0,8,19.06,2764,5728,1395,325,98,3345
2,Learning & Education,1191,12567,0,12,34.55,2470,3660,1837,789,613,3198
3,Dolls & Accessories,4,22150,0,5,40.93,2323,5954,4064,1997,1091,6721
4,Arts & Crafts,2004,14666,0,13,13.6,6495,3633,898,221,81,3338
5,Games,1208,38836,0,15,22.08,15697,8480,4603,1899,866,7291
6,Stuffed Animals & Plush,501,34809,0,6,21.38,7027,10591,4094,1003,315,11779
7,Party Supplies,3727,17636,0,11,8.91,10920,2616,537,94,41,3428
8,Novelty & Gag Toys,1421,11724,0,21,15.64,4817,2602,866,245,102,3092
9,Dress Up & Pretend Play,13,9086,0,3,26.02,2034,2411,1100,320,252,2969
10,Electronics for Kids,1090,6354,0,10,32.46,1045,1517,1019,462,185,2126
11,Toy Remote Control & Play Vehicles,11,19680,0,6,31.01,3459,5078,3181,1308,558,6096
12,Action Figures & Statues,23,48875,0,4,37.98,9459,12419,8687,4393,2447,11470
13,Building Toys,267,10116,0,4,52.56,1766,2537,1716,1139,966,1992
14,Grown-Up Toys,1183,9317,0,6,48.28,1537,2342,1944,1223,761,1510
15,Sports & Outdoor Play,122,14545,0,22,43.62,2257,3320,1955,904,693,5416
16,Hobbies,78,26325,0,10,42.36,5107,6418,4238,2147,1788,6627
17,Baby & Toddler Toys,777,5169,0,20,25.16,884,1638,616,153,79,1799
18,"Tricycles, Scooters & Wagons",9,2134,0,4,114.52,14,93,259,390,444,934
19,Ride-On Toys,2003,2003,18,0,115.65,14,90,252,354,411,882
20,Electric Vehicles,8,8,18,0,0,0,0,0,0,0,8
21,Balance Bikes,113,113,18,0,98.99,0,2,7,36,32,36
22,Pull-Along Wagons,2,2,18,0,13.8,0,1,0,0,0,1
23,Music & Sound,554,554,17,0,25.46,42,189,86,12,6,219
24,Bath Toys,1233,1233,17,0,13.98,337,346,78,5,1,466
25,Hammering & Pounding Toys,49,49,17,0,21.89,1,26,5,1,0,16
26,Rattles,228,228,17,0,13.39,60,54,6,1,1,106
27,Push & Pull Toys,507,507,17,0,28.53,63,182,82,36,11,133
28,Spinning Tops,76,76,17,0,14.47,25,18,4,0,1,28
29,Activity Play Centers,400,400,17,0,24.83,45,125,72,10,4,144
30,Car Seat & Stroller Toys,57,57,17,0,24.26,3,15,8,1,0,30
31,Teaching Clocks,74,74,17,0,20.12,11,34,12,1,0,16
32,Stuffed Animals & Toys,849,849,17,0,22.72,118,275,104,31,5,316
33,Balls,73,73,17,0,17.01,16,26,6,1,0,24
34,Blocks,80,80,17,0,31.53,4,28,24,6,2,16
35,Crib Toys & Attachments,51,51,17,0,29.06,6,8,6,3,1,27
36,Mirrors,20,20,17,0,18.78,6,5,3,1,0,5
37,Indoor Climbers & Play Structures,57,57,17,0,264.08,0,2,4,9,30,12
38,Stacking & Nesting Toys,7,7,17,0,28.7,1,2,4,0,0,0
39,Stick Horses,7,7,17,0,33.98,1,0,1,1,0,4
40,Rocking & Spring Ride-Ons,10,10,17,0,91.65,0,0,2,2,2,4
41,Shape Sorters,12,12,17,0,26.88,1,4,4,1,0,2
42,Toy Gift Sets,49,49,17,0,22.03,2,21,5,1,0,20
43,Coin Collecting,530,530,16,0,29.41,142,139,79,32,14,124
44,Stamp Collecting,96,103,16,1,23.1,21,31,15,5,1,30
45,Trains & Accessories,182,2517,16,4,54.41,241,604,284,250,239,899
46,Models & Model Kits,3,8656,16,2,43.65,689,2312,1899,806,489,2461
47,Hobby Building Tools & Hardware,417,1792,16,4,19.39,862,460,145,41,53,231
48,RC Vehicles & Parts,12,11688,16,5,44.06,3036,2584,1641,927,941,2559
49,Rockets,2,414,16,3,37.38,68,165,63,33,17,68
50,"Slot Cars, Race Tracks & Accessories",3,481,16,3,55.55,16,71,94,51,31,218
51,Pinewood Derby,38,38,16,0,9.51,19,9,1,0,0,9
52,Display Cases & Stands,28,28,16,0,15.32,6,14,2,0,0,6
53,Race Tracks,150,150,50,0,92.7,4,20,13,10,22,81
54,Slot Cars,319,319,50,0,43.81,8,45,81,41,9,135
55,Slot Car Parts & Chassis,9,9,50,0,17.16,2,6,0,0,0,1
56,Model Rocket Kits,115,115,49,0,57.27,8,37,22,12,6,30
57,Model Rockets,219,219,49,0,34.27,36,103,31,13,11,25
58,Rocket Accessories,78,78,49,0,21.15,24,25,10,8,0,11
59,RC Vehicles,77,3953,48,3,87.71,436,411,557,486,672,1391
60,RC Vehicle Parts,2854,7644,48,9,26.96,2572,2155,1068,433,263,1153
61,Carrying Bags & Cases,40,40,48,0,60.25,1,9,7,5,6,12
62,Oil & Lubricants,19,19,48,0,5.71,18,1,0,0,0,0
63,Fuel,20,20,48,0,16.95,7,7,3,1,0,2
64,Batteries & Chargers,4,956,60,2,37.17,161,228,192,110,40,225
65,Radios & Parts,30,347,60,3,71.85,59,64,59,56,49,60
66,Power Plant & Driveline Systems,0,1756,60,11,27.47,675,459,181,107,80,254
67,Vehicle Bodies & Scale Accessories,0,690,60,5,23.21,208,230,142,16,14,80
68,Lighting,68,68,60,0,14.96,22,26,4,2,0,14
69,Wheels & Tires,0,482,60,7,17.29,144,208,88,5,1,36
70,Servos & Parts,2,399,60,2,25.31,114,139,52,29,12,53
71,Flight Gyroscopes & Governors,14,14,60,0,49.06,2,4,2,1,1,4
72,Onboard Cameras & Accessories,78,78,60,0,73.44,14,15,8,4,13,24
73,Servos,264,264,70,0,31.96,50,88,44,27,12,43
74,Servo Parts,0,133,70,7,13.65,62,51,8,2,0,10
75,Servo Mounts,19,19,74,0,13.16,7,12,0,0,0,0
76,Servo Bearings,32,32,74,0,17.85,8,17,5,0,0,2
77,Servo Arms,30,30,74,0,12.03,15,11,2,0,0,2
78,Servo Gears,17,17,74,0,10.2,13,2,0,1,0,1
79,Servo Horns,20,20,74,0,10.61,10,6,0,0,0,4
80,Servo Plugs & Wires,11,11,74,0,6.52,8,2,0,0,0,1
81,Servo Cases,4,4,74,0,39.71,1,1,1,1,0,0
82,Tires,113,113,69,0,19.27,13,66,28,0,0,6
83,Wheels & Tire Accessories,20,20,69,0,14.39,11,4,4,0,0,1
84,Wheels,68,68,69,0,11.85,38,22,4,0,0,4
85,Wheel Hubs,45,45,69,0,14.91,12,25,4,0,0,4
86,Wheel & Tire Sets,130,130,69,0,22.96,10,66,42,1,1,10
87,Aircraft Landing Gear,94,94,69,0,13.21,56,17,6,4,0,11
88,Tire Foam Inserts,12,12,69,0,12.86,4,8,0,0,0,0
89,Aircraft Wings & Fuselages,0,95,67,2,22.51,28,29,11,2,3,22
90,Body Parts,272,377,67,2,17.38,166,120,50,6,4,31
91,Bodies,185,185,67,0,35.51,12,63,80,5,7,18
92,Vehicle Scale Accessories,23,23,67,0,20.83,1,14,1,1,0,6
93,Watercraft Hulls,10,10,67,0,31.18,1,4,0,2,0,3
94,Body Clips,28,28,90,0,16.5,15,3,9,0,0,1
95,Bumpers,77,77,90,0,12.02,44,22,4,1,0,6
96,Wings,50,50,89,0,27.28,15,15,4,1,3,12
97,Fuselages,45,45,89,0,17.33,13,14,7,1,0,10
98,Combustion Engines & Parts,2,247,66,2,39.4,87,74,25,15,24,22
99,Electric Motors & Parts,1,401,66,2,34.99,124,102,41,36,23,75
100,Suspension Systems & Parts,0,254,66,4,17.45,84,109,31,8,1,21
101,Electric Speed Controllers,178,178,66,0,59.15,19,26,27,30,23,53
102,Vehicle Propellers & Rotors,0,348,66,2,15.69,192,62,20,13,6,55
103,Transmissions & Differentials,0,163,66,3,17.06,80,47,15,3,2,16
104,Axles,52,52,66,0,23.72,21,14,7,2,1,7
105,Rotor Shafts & Drive Pulleys,0,83,66,2,13.4,52,14,14,0,0,3
106,Bushings,18,18,66,0,9.85,9,9,0,0,0,0
107,Brakes,7,7,66,0,13.66,3,2,1,0,0,1
108,Drive Belts & Chains,5,5,66,0,7.23,4,0,0,0,0,1
109,Rotor Shafts,79,79,105,0,13.81,48,14,14,0,0,3
110,Drive Pulleys,4,4,105,0,5.47,4,0,0,0,0,0
111,Gears & Gearboxes,0,136,103,2,15.89,71,38,9,0,2,16
112,Differentials,20,20,103,0,17.63,7,6,6,1,0,0
113,Transmissions,7,7,103,0,35.39,2,3,0,2,0,0
114,Gears,118,118,111,0,14.75,67,31,7,0,1,12
115,Gearboxes,18,18,111,0,24.58,4,7,2,0,1,4
116,Propellers,148,148,102,0,9.95,81,39,7,0,0,21
117,Rotors,200,200,102,0,20.07,111,23,13,13,6,34
118,Shock Kits,46,46,100,0,25.65,6,19,11,5,0,5
119,Shock Parts,3,44,100,3,11.6,24,16,1,1,0,2
120,A-Arms,90,90,100,0,15.82,29,38,14,1,0,8
121,Sway Parts,74,74,100,0,18.09,25,36,5,1,1,6
122,Shock Shafts,9,9,119,0,22.98,2,5,1,1,0,0
123,Shock Springs,20,20,119,0,7.89,14,5,0,0,0,1
124,Shock Caps,12,12,119,0,10.5,5,6,0,0,0,1
125,Electric Motors,268,268,99,0,48.11,47,73,36,36,23,53
126,Motor Parts,4,132,99,4,9.58,77,29,5,0,0,21
127,Heat Sinks,21,21,126,0,10.63,8,5,0,0,0,8
128,Wire & Connectors,61,61,126,0,7.44,48,7,1,0,0,5
129,Motor Mounts,33,33,126,0,11.75,16,10,3,0,0,4
130,Cooling Fans,13,13,126,0,13.1,4,6,1,0,0,2
131,Engine Parts,0,182,98,14,19.74,74,63,22,7,5,11
132,Combustion Engines,63,63,98,0,103.51,13,10,3,7,19,11
133,Starters & Parts,44,44,131,0,29.25,7,18,10,4,2,3
134,Fuel System Parts,16,28,131,1,10.85,15,9,2,0,0,2
135,Glow Plugs & Spark Plugs,13,13,131,0,11.54,8,3,1,0,0,1
136,Air Filters,14,14,131,0,19.21,9,3,0,0,1,1
137,Pistons & Parts,0,4,131,2,28.87,1,0,2,0,0,1
138,Heat Sinks,6,6,131,0,12.99,3,2,1,0,0,0
139,Exhaust Systems & Parts,16,16,131,0,21.34,4,6,2,2,0,2
