id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Video Games,416,50953,,16,40.88,12088,13414,9890,4984,3529,7048
1,Xbox 360,126,4867,0,5,41.82,1009,1357,1112,672,342,375
2,PC,1689,17214,0,2,25.74,5518,4612,3034,1063,416,2571
3,Mac,199,1526,0,2,30.16,301,455,288,120,43,319
4,More Systems,108,12978,0,30,66.63,1891,2778,2326,1890,1760,2333
5,Nintendo DS,137,4076,0,3,29.0,1285,1306,667,258,208,352
6,Kids & Family,5934,11291,0,10,43.17,1597,3321,2763,1419,785,1406
7,PlayStation 3,129,4061,0,5,46.57,582,1135,1064,562,308,410
8,Wii,176,4294,0,4,30.88,900,1421,1116,371,144,342
9,Sony PSP,72,1966,0,3,39.43,514,532,252,118,218,332
10,Digital Games,3,4653,0,4,14.52,2597,1083,421,86,15,451
11,Nintendo 3DS,37,1369,0,4,37.54,424,371,333,80,107,54
12,Wii U,19,598,0,4,35.38,157,187,157,60,24,13
13,PlayStation Vita,14,486,0,4,59.18,112,139,112,39,79,5
14,Xbox One,3,327,0,5,43.49,80,80,73,57,30,7
15,PlayStation 4,7,423,0,5,67.27,98,104,81,67,65,8
16,Fire TV,0,125,0,2,41.59,3,0,1,0,1,120
17,Digital Games,123,123,16,0,1.99,3,0,0,0,0,120
18,Accessories,2,2,16,0,100.98,0,0,1,0,1,0
19,Accessories,26,290,15,8,60.49,82,84,43,34,42,5
20,Digital Games & DLC,0,40,15,4,45.11,7,7,14,7,4,1
21,Games,77,77,15,0,93.67,7,5,23,25,16,1
22,Consoles,5,5,15,0,324.82,0,0,1,0,4,0
23,Interactive Gaming Figures,29,29,15,0,25.41,8,9,7,3,0,2
24,Subscription Cards,7,7,20,0,51.7,0,1,3,3,0,0
25,Currency Cards,2,2,20,0,34.99,0,1,1,0,0,0
26,Downloadable Content,6,6,20,0,40.82,0,2,3,1,0,0
27,Games,25,25,20,0,45.11,7,3,7,3,4,1
28,Accessory Kits,23,23,19,0,24.01,13,4,3,2,1,0
29,Headsets,41,41,19,0,96.97,4,7,5,12,12,1
30,Batteries & Chargers,0,11,19,2,151.65,0,6,1,0,4,0
31,Cases & Protectors,25,25,19,0,50.11,16,2,3,2,2,0
32,Controllers,18,18,19,0,145.04,0,3,0,3,11,1
33,Cables & Adapters,0,16,19,1,22.32,9,4,0,3,0,0
34,Skins,125,125,19,0,38.04,29,52,27,10,5,2
35,Screen Protectors,5,5,19,0,16.57,3,0,2,0,0,0
36,Cables,16,16,33,0,22.32,9,4,0,3,0,0
37,Chargers,10,10,30,0,165.3,0,5,1,0,4,0
38,Batteries,1,1,30,0,15.19,0,1,0,0,0,0
39,LIVE,0,24,14,3,47.59,0,6,6,12,0,0
40,Accessories,17,210,14,7,37.11,70,60,39,18,19,4
41,Games,56,56,14,0,65.91,1,4,20,22,9,0
42,Consoles,5,5,14,0,138.59,0,0,1,2,1,1
43,Interactive Gaming Figures,29,29,14,0,25.41,8,9,7,3,0,2
44,Controllers,10,32,40,4,96.95,2,9,1,7,13,0
45,Headsets,9,9,40,0,121.63,0,1,0,3,5,0
46,Batteries & Chargers,0,16,40,2,18.66,2,9,4,0,0,1
47,Accessory Kits,54,54,40,0,20.22,25,12,12,4,0,1
48,Skins,48,48,40,0,20.13,20,9,15,2,0,2
49,Cables & Adapters,0,13,40,2,25.04,4,4,4,1,0,0
50,Cases & Protectors,21,21,40,0,12.94,13,5,2,1,0,0
51,Adapters,7,7,49,0,34.75,0,3,3,1,0,0
52,Cables,6,6,49,0,13.72,4,1,1,0,0,0
53,Batteries,9,9,46,0,15.85,2,5,1,0,0,1
54,Chargers,7,7,46,0,21.87,0,4,3,0,0,0
55,Remotes,9,9,44,0,102.76,1,1,0,3,4,0
56,Racing Wheels,3,3,44,0,241.66,0,0,0,1,2,0
57,Gamepads,9,9,44,0,80.16,1,3,0,0,5,0
58,Joysticks,1,1,44,0,209.59,0,0,0,0,1,0
59,Subscription Cards,10,10,39,0,55.92,0,1,3,6,0,0
60,Points & Currency Cards,13,13,39,0,41.08,0,5,2,6,0,0
61,Downloadable Content,1,1,39,0,48.98,0,0,1,0,0,0
62,Accessories,24,245,13,8,36.81,97,91,23,8,23,3
63,Games,196,196,13,0,60.77,11,45,83,28,27,2
64,Consoles,26,26,13,0,266.82,0,0,0,0,26,0
65,Digital Games & DLC,0,21,13,4,20.94,8,7,6,0,0,0
66,Subscription Cards,2,2,65,0,33.99,0,1,1,0,0,0
67,Currency Cards,2,2,65,0,34.99,0,1,1,0,0,0
68,Downloadable Content,2,2,65,0,6.99,2,0,0,0,0,0
69,Games,15,15,65,0,19.19,6,5,4,0,0,0
70,Cases & Protectors,131,131,62,0,25.97,70,35,11,2,11,2
71,Faceplates,1,1,62,0,7.34,1,0,0,0,0,0
72,Skins,42,42,62,0,12.57,9,31,2,0,0,0
73,Headsets,6,6,62,0,223.38,0,0,0,2,4,0
74,Memory,7,7,62,0,129.14,0,3,0,2,2,0
75,Batteries & Chargers,0,12,62,2,22.53,0,9,3,0,0,0
76,Cables & Adapters,0,9,62,2,13.27,3,5,1,0,0,0
77,Accessory Kits,13,13,62,0,67.23,5,2,2,1,2,1
78,Cables,5,5,76,0,12.74,2,2,1,0,0,0
79,Adapters,4,4,76,0,13.94,1,3,0,0,0,0
80,Chargers,11,11,75,0,21.85,0,9,2,0,0,0
81,Batteries,1,1,75,0,29.99,0,0,1,0,0,0
82,Accessories,24,190,12,9,26.77,67,61,40,11,5,6
83,Games,108,108,12,0,44.23,7,18,56,23,4,0
84,Interactive Gaming Figures,273,273,12,0,26.89,77,102,60,26,5,3
85,Consoles,8,8,12,0,335.11,0,0,0,0,8,0
86,Cases & Protectors,39,39,82,0,11.95,26,9,2,1,0,1
87,Cables & Adapters,0,14,82,2,15.93,6,6,2,0,0,0
88,Batteries & Chargers,0,21,82,2,49.74,1,10,4,5,1,0
89,Controllers,26,35,82,4,47.24,2,11,17,2,3,0
90,Skins,19,19,82,0,14.32,6,9,0,0,0,4
91,Headsets,5,5,82,0,31.08,0,1,4,0,0,0
92,Accessory Kits,27,27,82,0,14.22,16,6,5,0,0,0
93,Fitness Accessories,5,5,82,0,60.77,0,1,2,1,1,0
94,Faceplates,1,1,82,0,20.98,0,1,0,0,0,0
95,Dance Mats,1,1,89,0,49.99,0,0,1,0,0,0
96,Gamepads,6,6,89,0,105.57,0,2,2,0,2,0
97,Microphones,1,1,89,0,24.99,0,1,0,0,0,0
98,Racing Wheels,1,1,89,0,12.41,0,1,0,0,0,0
99,Chargers,17,17,88,0,53.43,1,7,4,4,1,0
100,Batteries,4,4,88,0,34.09,0,3,0,1,0,0
101,Cables,8,8,87,0,15.0,5,1,2,0,0,0
102,Adapters,6,6,87,0,17.18,1,5,0,0,0,0
103,Accessories,59,699,11,9,25.91,328,167,103,22,35,44
104,Games,324,324,11,0,44.17,16,93,157,31,24,3
105,Consoles,44,44,11,0,217.29,0,1,6,0,37,0
106,Interactive Gaming Figures,266,266,11,0,27.0,74,99,60,25,5,3
107,Cases & Protectors,306,306,103,0,18.82,167,74,29,8,8,20
108,Skins,95,95,103,0,36.59,40,12,20,2,9,12
109,Controllers,9,9,103,0,23.42,1,6,1,1,0,0
110,Batteries & Chargers,0,26,103,2,14.86,14,4,7,0,0,1
111,Accessory Kits,134,134,103,0,34.71,45,41,27,3,11,7
112,Screen Protectors,44,44,103,0,30.48,24,9,3,4,3,1
113,Cables & Adapters,0,10,103,2,6.08,9,1,0,0,0,0
114,Headsets,6,6,103,0,77.73,1,0,2,2,1,0
115,Faceplates,12,12,103,0,38.33,3,1,6,0,1,1
116,Adapters,5,5,113,0,7.84,4,1,0,0,0,0
117,Cables,5,5,113,0,4.32,5,0,0,0,0,0
118,Chargers,16,16,110,0,15.2,8,4,4,0,0,0
119,Batteries,10,10,110,0,14.24,6,0,3,0,0,1
120,PC Game Downloads,4366,4366,10,0,14.34,2451,1017,396,69,12,421
121,Casual Games,2161,2161,10,0,8.65,1605,153,26,5,3,369
122,Mac Game Downloads,268,268,10,0,16.58,100,119,26,1,0,22
123,MMO & Free-to-Play Games,178,178,10,0,19.66,84,46,23,14,3,8
124,Accessories,103,925,9,10,21.36,404,209,59,10,50,193
125,Games,926,926,9,0,46.51,97,296,182,106,114,131
126,Consoles,49,49,9,0,196.35,1,0,0,0,47,1
127,Batteries & Chargers,1,99,124,2,15.0,38,27,12,0,1,21
128,Cases & Protectors,239,239,124,0,26.12,91,54,11,1,19,63
129,Cables & Adapters,5,103,124,2,17.67,48,21,11,3,3,17
130,Accessory Kits,115,115,124,0,25.51,50,26,9,0,9,21
131,Headsets,16,16,124,0,45.81,1,4,3,2,1,5
132,Screen Protectors,60,60,124,0,17.49,29,16,1,0,3,11
133,Speakers,24,24,124,0,38.23,4,5,3,2,2,8
134,Memory,8,8,124,0,35.31,3,1,2,0,1,1
135,Skins,135,135,124,0,11.52,87,29,0,0,3,16
136,Faceplates,27,27,124,0,13.31,4,13,1,0,0,9
137,Cables,69,69,129,0,19.04,32,15,6,2,3,11
138,Adapters,29,29,129,0,15.69,13,5,5,1,0,5
139,Batteries,58,58,127,0,13.86,19,20,6,0,0,13
140,Chargers,40,40,127,0,16.55,19,7,6,0,1,7
141,Accessories,206,2146,8,12,23.34,590,701,446,97,27,285
142,Games,1692,1692,8,0,37.37,193,573,576,231,92,27
143,Consoles,19,19,8,0,226.63,0,1,4,0,14,0
144,Interactive Gaming Figures,266,266,8,0,27.0,74,99,60,25,5,3
145,Controllers,180,698,141,9,25.75,165,223,195,38,12,65
146,Cables & Adapters,1,181,141,2,16.25,82,61,24,4,0,10
147,Cases & Protectors,200,200,141,0,16.67,72,54,22,6,0,46
148,Skins,146,146,141,0,15.64,38,47,7,1,1,52
149,Batteries & Chargers,0,233,141,2,21.75,63,95,49,5,1,20
150,Memory,35,35,141,0,21.0,22,6,3,1,1,2
151,Fitness Accessories,82,82,141,0,29.1,10,35,23,6,1,7
152,Networking,10,10,141,0,33.16,3,2,1,3,0,1
153,Accessory Kits,326,326,141,0,27.44,67,118,76,22,6,37
154,Faceplates,14,14,141,0,11.52,6,4,1,0,0,3
155,Sensor Bars,32,32,141,0,12.59,18,10,3,0,0,1
156,Headsets,10,10,141,0,51.18,0,1,5,4,0,0
157,Batteries,45,45,149,0,15.71,17,21,4,1,0,2
158,Chargers,188,188,149,0,23.28,46,74,45,4,1,18
159,Cables,108,108,146,0,15.3,53,29,16,1,0,9
