id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Apps for Android,0,61551,,29,3.36,156,8,0,0,0,61387
1,Kids,1972,1972,0,0,4.23,18,2,0,0,0,1952
2,Music,377,1929,0,5,4.99,1,0,0,0,0,1928
3,Productivity,1883,1883,0,0,5.82,8,1,0,0,0,1874
4,Reference,1294,1294,0,0,5.99,2,0,0,0,0,1292
5,Communication,620,620,0,0,2.52,6,0,0,0,0,614
6,Games,26571,26571,0,0,2.59,80,0,0,0,0,26491
7,Navigation,273,273,0,0,1.69,4,0,0,0,0,269
8,Entertainment,5323,5323,0,0,3.53,11,1,0,0,0,5311
9,Travel,976,976,0,0,2.49,2,0,0,0,0,974
10,Themes,872,872,0,0,2.35,1,0,0,0,0,871
11,Novelty,437,437,0,0,1.0,1,0,0,0,0,436
12,Finance,966,966,0,0,1.99,1,0,0,0,0,965
13,Books & Comics,0,1385,0,5,5.54,3,1,0,0,0,1381
14,Utilities,1290,2478,0,5,5.92,9,2,0,0,0,2467
15,Health & Fitness,1972,1972,0,0,1.99,1,0,0,0,0,1971
16,Education,4098,4098,0,0,1.16,1,0,0,0,0,4097
17,Cooking,463,463,0,0,0,0,0,0,0,0,463
18,Lifestyle,2179,2179,0,0,0,0,0,0,0,0,2179
19,Social Networking,601,601,0,0,0,0,0,0,0,0,601
20,Photography,890,890,0,0,3.49,2,0,0,0,0,888
21,Sports,1262,1262,0,0,0,0,0,0,0,0,1262
22,Real Estate,52,52,0,0,0,0,0,0,0,0,52
23,Shopping,466,466,0,0,0,0,0,0,0,0,466
24,News & Magazines,0,1979,0,3,0,0,0,0,0,0,1979
25,Weather,250,250,0,0,2.0,1,0,0,0,0,249
26,Ringtones,166,166,0,0,1.19,4,0,0,0,0,162
27,Podcasts,126,126,0,0,0,0,0,0,0,0,126
28,Web Browsers,67,67,0,0,0,0,0,0,0,0,67
29,City Info,69,69,0,0,11.11,0,1,0,0,0,68
30,News,912,912,24,0,0,0,0,0,0,0,912
31,Newspapers,307,307,24,0,0,0,0,0,0,0,307
32,Magazines,760,760,24,0,0,0,0,0,0,0,760
33,Calculators,317,317,14,0,0,0,0,0,0,0,317
34,Battery Savers,134,134,14,0,11.49,1,1,0,0,0,132
35,Notes,130,130,14,0,7.49,2,0,0,0,0,128
36,Alarms & Clocks,520,520,14,0,1.99,1,0,0,0,0,519
37,Calendars,87,87,14,0,1.19,1,0,0,0,0,86
38,Books & Readers,772,772,13,0,0,0,0,0,0,0,772
39,Graphic Novels,38,38,13,0,0,0,0,0,0,0,38
40,Children's Books,509,509,13,0,5.54,3,1,0,0,0,505
41,Comic Strips,36,36,13,0,0,0,0,0,0,0,36
42,Manga,30,30,13,0,0,0,0,0,0,0,30
43,Music Players,251,251,2,0,0,0,0,0,0,0,251
44,Instruments,411,411,2,0,4.99,1,0,0,0,0,410
45,Radio,459,459,2,0,0,0,0,0,0,0,459
46,Artists,378,378,2,0,0,0,0,0,0,0,378
47,Songbooks,53,53,2,0,0,0,0,0,0,0,53
