id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,"Arts, Crafts & Sewing",6555,117429,,19,16.6,54113,26937,7105,2477,1775,25022
1,Knitting & Crochet,967,3286,0,5,14.1,1609,765,205,74,30,603
2,Sewing,1207,18695,0,18,18.08,9599,3957,1046,382,402,3309
3,Craft Supplies,1275,18141,0,23,16.87,7886,5208,1319,437,238,3053
4,Beading & Jewelry-Making,945,24551,0,17,10.19,14372,4123,945,234,90,4787
5,Scrapbooking,2088,15200,0,12,12.41,6930,3976,628,131,72,3463
6,Needlework,235,5033,0,5,21.73,1264,1450,616,140,76,1487
7,Art Supplies,4,12235,0,4,24.55,4925,3537,1328,594,457,1394
8,Fabric Painting & Dyeing,61,563,0,7,11.7,302,162,28,17,0,54
9,Yarn,2454,2454,0,0,9.72,985,485,34,4,2,944
10,Fabric,6743,6743,0,0,13.68,1980,1078,160,74,34,3417
11,Organization & Storage,3,989,0,2,23.38,283,271,135,57,20,223
12,Safety & Cleaning,10,144,0,6,25.34,50,40,14,5,4,31
13,Printmaking,72,486,0,6,61.28,155,125,37,15,59,95
14,Cases & Transport,8,586,0,7,24.74,109,176,107,28,10,156
15,Furniture & Accessories,17,692,0,8,103.59,56,122,105,128,192,89
16,Photography,5,15,0,2,24.06,4,6,1,2,0,2
17,Fabric Care,56,56,0,0,22.65,16,18,6,6,0,10
18,Thread,0,991,0,4,21.85,471,207,103,47,34,129
19,Arts & Crafts 4-for-3 Offer,23,23,0,0,14.66,0,11,0,0,0,12
20,Sewing,419,419,18,0,17.04,227,78,24,13,10,67
21,Embroidery,432,432,18,0,25.57,179,92,64,30,17,50
22,Quilting,121,121,18,0,25.8,49,37,14,4,6,11
23,Serger,19,19,18,0,12.97,16,0,1,0,1,1
24,Photo Coloring,4,4,16,0,21.32,1,1,1,0,0,1
25,Transfer Kits,6,6,16,0,34.02,1,3,0,2,0,0
26,Sewing Room Furniture,75,75,15,0,136.74,2,1,6,18,39,9
27,Easels,360,360,15,0,71.32,39,60,74,71,70,46
28,Drawing Tables & Boards,102,102,15,0,117.34,2,17,12,14,43,14
29,Drying & Print Racks,11,11,15,0,47.15,1,2,2,5,0,1
30,Lighting,77,77,15,0,52.34,11,27,10,13,8,8
31,Taborets,4,4,15,0,182.96,0,0,0,0,1,3
32,Art Horses,6,6,15,0,108.8,0,1,1,1,3,0
33,Sewing Cabinets,40,40,15,0,464.23,0,1,0,4,27,8
34,Art Supply Totes & Carrier Bags,2,336,14,2,19.99,81,84,37,6,6,122
35,Tool & Sketch Boxes,53,53,14,0,27.28,10,19,15,2,2,5
36,Art Tubes,19,19,14,0,24.75,4,8,4,1,0,2
37,Portfolios,140,140,14,0,30.76,9,55,44,16,1,15
38,Canvas Carriers,21,21,14,0,35.03,3,6,4,2,1,5
39,Art Backpacks,6,6,14,0,43.0,0,0,1,1,0,4
40,Grips & Handles,3,3,14,0,6.32,1,1,0,0,0,1
41,Art Supply Totes,154,154,34,0,29.47,8,34,25,5,3,79
42,Art Supply Carrier Bags,180,180,34,0,14.88,73,49,12,1,3,42
43,Embossing,34,180,13,3,13.13,87,44,5,1,1,42
44,Etching & Lithography Materials,18,34,13,3,15.37,15,13,2,2,0,2
45,Relief Printing Materials,11,47,13,3,15.79,16,21,5,1,0,4
46,Screen Printing,40,102,13,5,52.97,17,32,16,6,11,20
47,Printmaking Inks,21,21,13,0,15.13,10,8,1,1,0,1
48,Printing Presses & Accessories,30,30,13,0,126.0,4,4,4,1,9,8
49,Screen Printing Kits,27,27,46,0,72.69,0,4,9,3,5,6
50,Fabric & Film,12,12,46,0,23.83,1,4,2,1,0,4
51,Accessories,19,19,46,0,49.06,4,4,3,1,2,5
52,Exposure Units,2,2,46,0,302.48,0,0,0,0,2,0
53,Chemicals,2,2,46,0,16.83,0,2,0,0,0,0
54,Brayers,19,19,45,0,10.69,8,9,0,0,0,2
55,Printing Linoleum,15,15,45,0,16.0,6,5,2,0,0,2
56,Inking Plates,2,2,45,0,44.99,0,0,1,1,0,0
57,Etching Tools,6,6,44,0,28.28,4,0,0,2,0,0
58,Accessories,9,9,44,0,9.83,5,3,0,0,0,1
59,Etching Plates,1,1,44,0,0,0,0,0,0,0,1
60,Accessories,118,118,43,0,8.17,70,23,1,1,0,23
61,Tools & Tool Sets,16,16,43,0,12.81,4,3,1,0,0,8
62,Embossers,12,12,43,0,58.04,2,7,1,0,1,1
63,Spray Booths,12,12,12,0,143.98,0,0,2,4,4,2
64,Dust Control Equipment,6,6,12,0,7.49,5,1,0,0,0,0
65,Artist's Soap & Protective Hand Cream,8,8,12,0,23.14,2,2,1,1,0,2
66,Adhesive Removers,40,40,12,0,13.9,15,13,4,0,0,8
67,Art Tool Cleaners,35,35,12,0,11.89,21,7,4,0,0,3
68,Protective Clothing & Gear,33,33,12,0,17.77,2,15,2,0,0,14
69,Craft Supplies Storage,372,776,11,5,21.9,221,223,96,48,9,179
70,Art Supplies Storage,113,210,11,4,28.49,62,48,38,9,11,42
71,Art Storage Cabinets,32,32,70,0,34.84,6,8,10,1,2,5
72,Paint Brush Organizers & Holders,32,32,70,0,11.74,18,6,3,0,0,5
73,Art Media Storage Containers,30,30,70,0,39.93,9,7,4,2,3,5
74,Flat & Vertical Files,3,3,70,0,114.58,0,0,0,1,2,0
75,Quilting Storage,25,25,69,0,28.72,1,9,3,2,0,10
76,Sewing Storage,49,49,69,0,21.36,16,11,3,4,1,14
77,Yarn Storage,83,83,69,0,30.44,7,29,17,9,1,20
78,Scrapbooking Storage,230,230,69,0,29.28,37,60,35,21,4,73
79,Embroidery Storage,17,17,69,0,11.05,6,2,1,0,0,8
80,Fabric Decorating Kits,77,77,8,0,14.22,19,43,3,1,0,11
81,Dyes,217,217,8,0,8.63,158,32,11,2,0,14
82,Fabric & Textile Paints,153,153,8,0,15.32,71,49,7,14,0,12
83,Application Tools,34,34,8,0,8.61,18,10,0,0,0,6
84,Fixatives,11,11,8,0,19.5,2,5,4,0,0,0
85,Repellants,9,9,8,0,6.74,6,3,0,0,0,0
86,Waxes,1,1,8,0,14.79,0,1,0,0,0,0
87,Drawing,226,4034,7,10,23.57,1753,1035,380,198,150,518
88,Art Paper,563,882,7,6,23.21,316,330,123,33,23,57
89,Painting,936,6654,7,15,25.19,2659,1957,723,323,267,725
90,Boards & Canvas,48,661,7,11,25.95,197,213,102,40,17,92
91,Banner & Sign Cloth,24,24,90,0,23.62,8,5,7,1,0,3
92,Canvas Tools & Accessories,133,133,90,0,16.94,61,44,9,4,3,12
93,Clayboard,5,5,90,0,16.13,1,3,1,0,0,0
94,Pastelboard,12,12,90,0,9.05,9,2,0,0,0,1
95,Hardboard,9,9,90,0,12.17,3,4,1,0,0,1
96,Pre-Stretched Canvas,221,221,90,0,28.57,40,79,47,20,4,31
97,Rolled Canvas,24,24,90,0,89.44,3,5,4,4,2,6
98,Wood Art Boards,15,15,90,0,15.97,4,3,1,0,0,7
99,Canvas Pads,59,59,90,0,18.86,24,19,8,3,1,4
100,Canvas Panels,99,99,90,0,26.95,30,32,16,6,3,12
101,Gessoboard,12,12,90,0,10.02,6,5,0,0,0,1
102,Airbrush Materials,994,994,89,0,63.53,213,259,142,129,183,68
103,Paints,2311,2311,89,0,16.79,1054,694,191,79,27,266
104,Kits,394,394,89,0,23.9,102,123,55,22,7,85
105,Paint Sponges,43,43,89,0,11.16,22,13,1,1,0,6
106,Paintbrushes,209,1225,89,17,19.71,514,348,160,43,21,139
107,Paint Thinners & Reducers,206,206,89,0,14.51,104,73,14,7,0,8
108,Paint Finishes,119,119,89,0,13.94,49,53,8,4,0,5
109,Palettes & Palette Cups,2,141,89,2,17.85,54,52,14,4,2,15
110,Paint Strainers,10,10,89,0,17.16,4,5,0,1,0,0
111,Paint Primers & Sealers,55,55,89,0,17.54,17,23,10,2,0,3
112,Palette Knives,69,69,89,0,12.63,43,12,7,1,0,6
113,Paint Making Materials,43,43,89,0,29.84,21,8,6,2,3,3
114,Mixing Trays,28,28,89,0,11.83,13,13,1,0,0,1
115,Paint-By-Number Kits,0,79,89,1,24.82,3,36,19,0,0,21
116,Paint Tube Wringers,1,1,89,0,15.99,0,1,0,0,0,0
117,Adults' Paint-By-Number Kits,79,79,115,0,24.82,3,36,19,0,0,21
118,Palettes,119,119,109,0,19.25,44,44,14,4,2,11
119,Palette Cups,20,20,109,0,9.13,9,7,0,0,0,4
120,Paintbrush Sets,467,467,106,0,20.25,202,126,65,18,8,48
121,Filbert Paintbrushes,54,54,106,0,16.4,18,19,9,1,0,7
