id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Automotive,5331,331090,,13,73.8,45035,62959,61568,53135,59872,48521
1,Lights & Lighting Accessories,11,25389,0,6,68.0,2756,4266,5338,5288,4264,3477
2,Motorcycle & Powersports,289,47699,0,5,89.22,2558,7736,8158,7787,9854,11606
3,Replacement Parts,253,81121,0,23,61.66,8833,19364,18699,15447,12344,6434
4,Exterior Accessories,447,54972,0,25,73.13,14467,7741,7343,6205,9924,9292
5,Interior Accessories,362,37376,0,20,55.12,5928,6890,7093,5927,5291,6247
6,"Paint, Body & Trim",0,19063,0,3,67.69,2493,4884,4228,2570,2913,1975
7,Tools & Equipment,201,14163,0,32,67.83,2111,3317,2793,1762,2099,2081
8,RV Parts & Accessories,394,3757,0,12,92.27,572,862,613,356,735,619
9,Car Care,108,6015,0,8,27.57,1559,2062,829,357,176,1032
10,Tires & Wheels,39,10150,0,9,88.83,879,1332,1431,1796,2849,1863
11,Oils & Fluids,25,3597,0,15,32.71,862,1140,608,372,203,412
12,Performance Parts & Accessories,198,22537,0,18,143.31,1444,2536,3849,4828,8792,1088
13,Automotive Enthusiast Merchandise,7,39,0,4,16.95,14,3,9,0,0,13
14,Vehicle Accessories,24,24,13,0,12.62,13,3,3,0,0,5
15,Toys & Models,4,4,13,0,32.48,0,0,4,0,0,0
16,Home & Office,3,3,13,0,36.68,0,0,1,0,0,2
17,Apparel,1,1,13,0,25.39,0,0,1,0,0,0
18,Ignition & Electrical,4,2225,12,21,94.26,623,238,404,290,559,111
19,"Belts, Hoses & Pulleys",3,308,12,4,45.37,59,82,76,38,39,14
20,Batteries & Accessories,0,143,12,1,126.51,8,26,14,14,73,8
21,Filters,0,3992,12,12,127.14,172,476,820,871,1498,155
22,"Shocks, Struts & Suspension",190,4826,12,35,108.13,137,649,1074,1263,1519,184
23,Fuel System,5,960,12,10,132.28,84,181,159,115,348,73
24,Exhaust System,0,4542,12,11,258.67,53,217,498,877,2594,303
25,Engine Cooling,0,574,12,9,110.71,56,120,107,79,190,22
26,Gaskets,10,250,12,24,30.32,58,101,54,14,14,9
27,Drive Train,2,941,12,13,164.62,28,93,129,136,510,45
28,Engines & Engine Parts,0,947,12,6,105.94,73,192,189,167,279,47
29,Switches & Relays,0,86,12,2,17.21,33,36,6,2,2,7
30,Starters & Alternators,0,91,12,2,98.75,7,21,7,11,41,4
31,Steering System,10,53,12,2,109.07,6,12,5,4,19,7
32,Brake System,9,2345,12,6,130.85,12,25,265,919,1065,59
33,Windshield Wipers & Washers,0,49,12,2,25.04,12,22,5,3,1,6
34,Emission System,4,4,12,0,219.92,0,0,0,1,3,0
35,Motors,0,3,12,3,103.1,0,0,0,2,1,0
36,Power Windows,1,1,35,0,86.44,0,0,0,1,0,0
37,Power Window Kits,1,1,35,0,134.95,0,0,0,0,1,0
38,Power Door Locks,1,1,35,0,87.9,0,0,0,1,0,0
39,Windshield Wiper Nozzles,4,4,33,0,5.88,1,0,0,0,0,3
40,Wipers,10,45,33,2,25.5,11,22,5,3,1,3
41,Blades,0,33,40,1,15.32,11,16,3,1,0,2
42,Arms,2,2,40,0,24.04,0,1,1,0,0,0
43,Standard,33,33,41,0,15.32,11,16,3,1,0,2
44,"Hose, Line & Fittings",0,46,32,2,75.93,8,2,10,13,11,2
45,Brake Pads,1154,1154,32,0,78.71,1,9,158,784,189,13
46,Rotors,557,557,32,0,140.6,0,7,73,107,334,36
47,Brake Kits,550,550,32,0,240.97,0,0,6,10,529,5
48,Drums,28,28,32,0,33.27,0,5,17,3,0,3
49,ABS,1,1,32,0,109.0,0,0,0,0,1,0
50,Fittings,10,10,44,0,13.16,7,2,1,0,0,0
51,Hoses,36,36,44,0,94.39,1,0,9,13,11,2
52,Power Steering,24,24,31,0,66.52,3,6,2,3,8,2
53,Rack & Pinion,19,19,31,0,107.74,3,5,1,0,7,3
54,Alternators & Generators,0,61,30,4,85.77,7,15,3,8,24,4
55,Starters & Parts,0,30,30,2,123.42,0,6,4,3,17,0
56,Starters,19,19,55,0,165.52,0,2,1,1,15,0
57,Solenoids,11,11,55,0,50.7,0,4,3,2,2,0
58,Alternators,31,31,54,0,135.19,4,0,0,3,21,3
59,Brackets,20,20,54,0,31.58,3,11,2,1,2,1
60,Voltage Regulators,7,7,54,0,52.59,0,3,1,2,1,0
61,Pulleys,3,3,54,0,45.13,0,1,0,2,0,0
62,Switches,50,50,29,0,20.83,15,27,2,2,2,2
63,Relays,36,36,29,0,11.61,18,9,4,0,0,5
64,Engine Parts,0,890,28,38,101.26,72,185,180,156,257,40
65,Engine Kits,4,9,28,3,94.62,1,1,1,3,3,0
66,Engine Management Systems,30,30,28,0,288.28,0,4,2,3,16,5
67,Dress-Up Parts,4,4,28,0,41.17,0,1,1,1,0,1
68,Engine Blocks,1,9,28,2,62.08,0,1,3,4,0,1
69,Engine Heaters & Accessories,0,5,28,1,118.22,0,0,2,0,3,0
70,Engine Heaters,1,5,69,1,118.22,0,0,2,0,3,0
71,Freeze Plug Type,4,4,70,0,99.78,0,0,2,0,2,0
72,Long,4,4,68,0,73.26,0,0,1,2,0,1
73,Short,4,4,68,0,65.21,0,0,2,2,0,0
74,Crankshafts,2,2,65,0,100.09,0,0,1,0,1,0
75,Head Kits,1,1,65,0,221.51,0,0,0,0,1,0
76,Long Block Kits,2,2,65,0,84.88,0,0,0,2,0,0
77,Lifter Kits,25,25,64,0,208.66,0,3,0,2,19,1
78,Rocker Arms & Parts,0,13,64,3,75.36,1,3,2,4,2,1
79,Oil Drain Plugs,49,49,64,0,20.52,9,21,19,0,0,0
80,Turbochargers,5,5,64,0,24.23,0,1,0,0,0,4
81,Turbocharger & Supercharger Parts,5,136,64,5,148.44,17,19,16,14,60,10
82,Pistons & Parts,0,19,64,2,183.73,0,0,3,8,6,2
83,Oil Pans,73,73,64,0,118.82,3,13,12,11,31,3
84,Crankshafts,9,9,64,0,196.34,1,1,2,1,4,0
85,Valve Covers,69,69,64,0,90.61,3,13,13,12,26,2
86,Timing Parts,17,63,64,4,98.65,5,8,15,15,18,2
87,Camshafts & Parts,5,9,64,2,87.5,0,3,2,0,3,1
88,Valves & Parts,0,52,64,7,80.8,6,15,8,10,12,1
89,Push Rods,12,12,64,0,69.62,0,4,2,3,3,0
90,Oil Pumps & Parts,0,20,64,5,48.46,0,7,7,4,2,0
91,Cylinder Heads,16,16,64,0,471.12,0,0,2,0,11,3
92,Cam Bearings,9,9,64,0,40.18,0,3,4,2,0,0
93,Engine Mounts,75,75,64,0,58.9,0,21,23,18,11,2
