id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Beauty,0,259204,,6,24.88,62219,69908,38635,14151,5017,69274
1,Skin Care,887,64390,0,7,29.05,10375,18716,12321,4506,1459,17013
2,Tools & Accessories,360,20861,0,6,20.27,7168,4726,1953,759,357,5898
3,Makeup,393,54046,0,8,16.14,19879,12937,5578,1254,237,14161
4,Hair Care,898,72759,0,11,24.99,17529,22454,10846,3638,1729,16563
5,Bath & Body,189,20506,0,5,18.78,5181,5901,2380,578,103,6363
6,Fragrance,2709,26652,0,4,42.15,2088,5177,5558,3416,1132,9281
7,Men's,3,6742,6,4,41.56,419,1351,1669,905,254,2144
8,Women's,194,17048,6,6,43.42,1351,3178,3476,2313,791,5939
9,Children's,84,84,6,0,17.53,16,29,14,0,0,25
10,Candles & Home Scents,69,69,6,0,27.3,11,27,22,0,1,8
11,Eau de Parfum,7524,7524,8,0,49.57,453,1329,1638,1123,507,2474
12,Essential Oils,674,674,8,0,15.73,288,151,77,13,4,141
13,Cologne,925,925,8,0,29.95,97,307,137,64,23,297
14,Sets,2098,2098,8,0,49.44,24,214,410,326,55,1069
15,Eau de Toilette,4480,4480,8,0,44.7,219,819,1035,724,187,1496
16,Body Sprays,1153,1153,8,0,21.49,260,326,149,54,7,357
17,Eau de Toilette,3567,3567,7,0,39.75,208,766,1011,486,112,984
18,Sets,1105,1105,7,0,48.74,14,112,217,203,25,534
19,Cologne,1763,1763,7,0,37.31,181,426,382,178,63,533
20,Eau de Parfum,304,304,7,0,68.11,16,47,59,36,53,93
21,Cleansers,76,11232,5,2,17.01,3031,3272,1074,267,32,3556
22,Bathing Accessories,68,1963,5,7,13.72,782,487,148,27,9,510
23,Scrubs & Body Treatments,56,3764,5,3,22.31,768,1190,674,151,27,954
24,Sets,1139,1139,5,0,32.15,97,228,171,59,15,569
25,Bath,304,2219,5,6,20.23,484,689,300,66,16,664
26,Bubble Bath,516,516,25,0,15.99,141,167,51,5,1,151
27,Minerals & Salts,791,791,25,0,20.9,147,295,110,23,6,210
28,Bath Pearls & Flakes,33,33,25,0,21.62,2,8,1,1,0,21
29,Bath Bombs,254,254,25,0,15.03,100,61,28,1,4,60
30,Oils,295,295,25,0,23.72,58,94,44,18,4,77
31,Tub Tea,26,26,25,0,26.46,4,8,2,0,1,11
32,Body Scrubs,3340,3340,23,0,21.36,721,1088,586,120,18,807
33,Body Mud,219,219,23,0,35.37,22,45,48,17,7,80
34,Body Souffles & Mousse,149,149,23,0,24.62,16,47,30,9,0,47
35,Bath Mitts & Cloths,296,296,22,0,12.88,117,82,21,3,0,73
36,Bath Trays,69,69,22,0,26.44,5,20,23,0,1,20
37,"Loofahs, Sponges & Poufs",597,597,22,0,10.64,295,126,29,4,1,142
38,Bath Brushes,301,301,22,0,15.55,106,85,18,6,2,84
39,Bath Pillows,177,177,22,0,23.19,31,42,21,6,2,75
40,Shower Caps,403,403,22,0,11.39,183,102,25,5,1,87
41,Eye Masks,52,52,22,0,10.14,23,14,1,0,0,14
42,Soaps,6238,6238,21,0,15.51,2027,1828,442,161,16,1764
43,Body Washes,4918,4918,21,0,19.02,994,1422,623,101,15,1763
44,Shampoo & Conditioner Sets,2076,2076,4,0,39.43,112,459,692,266,68,479
45,Styling Tools,395,21030,4,11,25.71,6542,4477,2139,1056,738,6078
46,Shampoos,8950,8950,4,0,22.17,1854,3277,1383,396,70,1970
47,Styling Products,415,22259,4,8,27.41,4403,7543,3825,1163,682,4643
48,Conditioners,6325,6325,4,0,19.6,1477,2454,928,236,20,1210
49,Hair & Scalp Treatments,4145,4145,4,0,25.33,894,1430,807,202,80,732
50,Hair Loss Products,51,1835,4,4,31.12,266,618,445,168,44,294
51,Hair Color,123,4601,4,6,15.22,1596,1717,422,75,6,785
52,Shampoo Plus Conditioner,37,37,4,0,14.78,17,10,7,0,0,3
53,Hair Perms & Texturizers,20,150,4,3,16.98,47,44,11,3,1,44
54,Hair Relaxers,41,453,4,6,23.66,124,146,74,28,9,72
55,Conditioners,192,192,54,0,26.41,52,55,34,17,4,30
56,Creams,103,103,54,0,22.35,31,33,16,6,3,14
57,Shampoos,71,71,54,0,19.87,18,33,7,1,1,11
58,Gels,13,13,54,0,19.02,5,3,2,1,0,2
59,Lotions,11,11,54,0,25.41,2,3,3,1,0,2
60,Activators,22,22,54,0,26.63,5,7,6,1,1,2
61,Texturizers,46,46,53,0,16.15,22,11,1,3,0,9
62,Home Permanent Kits,81,81,53,0,19.02,16,27,9,0,1,28
63,After-Perm Shampoos,3,3,53,0,13.73,1,1,0,0,0,1
64,Highlights,336,336,51,0,14.84,132,100,29,7,0,68
65,Color Refreshers,287,287,51,0,15.72,98,107,29,6,0,47
66,Chemical Hair Dyes,3438,3438,51,0,15.09,1216,1290,297,56,6,573
67,Color Correctors,75,75,51,0,19.46,22,21,22,0,0,10
68,Hennas,295,295,51,0,16.33,76,133,35,4,0,47
69,Color Primers,47,47,51,0,14.65,16,21,4,0,0,6
70,Styling Products,301,301,50,0,27.9,55,88,90,30,1,37
