id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Books,1940253,2370585,,32,17.63,814754,595484,176947,59765,32460,691175
1,Travel,519,8013,0,17,5.29,4135,446,10,0,0,3422
2,Sports & Outdoors,330,7414,0,24,6.02,4023,564,18,0,0,2809
3,"Health, Fitness & Dieting",1571,22682,0,17,5.01,13746,974,64,15,5,7878
4,Computers & Technology,559,7725,0,18,6.83,4382,680,182,29,4,2448
5,Medical Books,270,5352,0,12,11.36,2325,438,158,77,37,2317
6,"New, Used & Rental Textbooks",16,41,0,6,358.84,0,1,2,0,5,33
7,Science & Math,358,6764,0,18,6.85,3046,487,100,32,6,3093
8,Politics & Social Sciences,0,11094,0,7,5.86,4542,742,55,12,1,5742
9,History,1326,15692,0,12,4.84,7606,941,45,3,2,7095
10,Education & Teaching,7,7863,0,3,6.39,3902,434,97,24,7,3399
11,Reference,10742,20760,0,15,5.43,12139,1209,205,38,16,7153
12,Children's Books,2791,25784,0,24,3.03,14092,368,15,1,2,11306
13,Biographies & Memoirs,2373,18857,0,12,5.65,8004,1125,29,2,0,9697
14,Literature & Fiction,77707,216910,0,19,3.64,131915,5533,240,3,2,79217
15,"Crafts, Hobbies & Home",213,10468,0,7,4.38,6816,482,9,3,2,3156
16,"Cookbooks, Food & Wine",768,11963,0,17,3.41,8952,309,3,0,0,2699
17,Science Fiction & Fantasy,452,41735,0,3,3.78,23875,1148,47,1,1,16663
18,Arts & Photography,334,9376,0,17,5.23,4612,549,38,2,0,4175
19,Humor & Entertainment,427,13242,0,7,4.17,6602,383,18,0,1,6238
20,Christian Books & Bibles,871,23607,0,14,4.13,12980,675,26,0,1,9925
21,Religion & Spirituality,2919,25631,0,14,4.17,13777,724,27,1,0,11102
22,Business & Money,953,18744,0,21,6.34,9167,1183,148,44,13,8189
23,Teen & Young Adult,4184,9949,0,12,3.9,5896,313,13,2,0,3725
24,Comics & Graphic Novels,6,4006,0,8,3.31,2521,125,1,0,0,1359
25,Engineering & Transportation,6,3159,0,3,8.26,1365,263,64,31,2,1434
26,Calendars,7,38,0,15,5.18,17,1,0,0,0,20
27,Self-Help,2778,22719,0,22,4.53,11216,595,13,3,0,10892
