id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,CDs & Vinyl,3764,492799,,27,19.58,94664,178375,67737,11540,1492,138991
1,Christian,4451,17961,0,10,17.56,4447,6891,2648,174,22,3779
2,Gospel,5938,7454,0,4,16.57,1726,3281,871,47,2,1527
3,Children's Music,4765,7569,0,5,17.87,1743,2977,1062,119,7,1661
4,Alternative Rock,21235,66875,0,10,17.17,16904,25944,9126,793,70,14038
5,World Music,28499,74980,0,10,18.77,14166,29382,9191,1547,108,20586
6,Classical,32961,80605,0,5,22.4,9933,30069,10398,2862,512,26831
7,Comedy & Spoken Word,2315,5637,0,6,17.74,1227,2380,704,82,14,1230
8,Pop,212299,329861,0,12,19.28,69355,130409,50537,7860,761,70939
9,Rock,140343,187606,0,13,20.56,37638,69011,34086,5398,508,40965
10,Special Interest,11553,13454,0,5,17.71,2797,5599,1416,205,48,3389
11,New Age,8086,19389,0,6,18.89,3602,8481,2460,456,24,4366
12,Jazz,22990,65877,0,19,18.58,12743,28128,8375,1222,155,15254
13,Metal,18381,35004,0,5,18.83,8180,12936,5747,636,49,7456
14,Blues,11952,24721,0,11,17.31,5887,11080,2795,351,49,4559
15,Holiday & Wedding,1695,9792,0,6,16.56,2604,3555,1126,112,14,2381
16,Dance & Electronic,20982,51572,0,15,17.85,11263,17202,5634,988,93,16392
17,Opera & Classical Vocal,13507,29078,0,5,21.65,4046,11494,4178,857,178,8325
18,Soundtracks,11169,22206,0,3,20.38,4179,7810,3284,584,113,6236
19,Country,6868,28150,0,10,18.62,6704,12321,3789,556,154,4626
20,Classic Rock,3030,22034,0,7,18.23,5395,9352,2701,439,91,4056
21,R&B,9845,37968,0,8,17.05,9759,15001,4280,592,83,8253
22,Folk,14248,30769,0,4,18.09,6515,14372,3712,559,56,5555
23,Karaoke,3166,3166,0,0,19.77,543,977,336,66,17,1227
24,Broadway & Vocalists,3385,17868,0,4,17.53,4118,8199,2075,272,56,3148
25,Latin Music,5686,23989,0,24,16.57,5547,8913,2532,206,5,6786
26,Rap & Hip-Hop,3982,20737,0,9,16.55,5427,7197,2717,140,12,5244
27,Reggae,3650,6659,0,4,17.08,1539,2639,778,63,2,1638
28,Dub,1087,1087,27,0,17.13,246,432,119,11,0,279
29,Dance Hall,1362,1362,27,0,14.82,408,567,113,8,1,265
30,Jamaican Ska,358,358,27,0,16.64,104,138,46,4,0,66
31,Rocksteady,681,681,27,0,17.92,146,264,83,8,0,180
32,Pop Rap,15205,15205,26,0,17.01,4052,5668,2327,117,7,3034
33,Gangsta & Hardcore,5315,5315,26,0,14.58,1601,2061,469,23,0,1161
34,Old School,655,655,26,0,14.67,156,295,51,1,0,152
35,West Coast,1794,1794,26,0,14.89,532,709,175,4,0,374
36,Experimental Rap,1528,1528,26,0,15.43,446,634,169,12,0,267
