id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Cell Phones & Accessories,523,346793,,4,13.48,203894,54354,14264,5872,4565,63844
1,Cases,12,229844,0,7,9.56,141537,34277,7471,1997,773,43789
2,Accessories,1447,109257,0,16,13.23,61961,19777,6364,2104,1059,17992
3,Cell Phones,43,7733,0,3,139.94,554,359,546,1781,2738,1755
4,Connected Devices,1,63,0,2,66.64,4,9,9,17,7,17
5,Mobile Broadband,8,53,4,3,72.88,2,3,9,17,6,16
6,Tablets,9,9,4,0,44.99,1,6,0,0,1,1
7,Mobile Hotspots,34,34,5,0,79.77,2,2,5,15,6,4
8,USB Modems,10,10,5,0,26.96,0,1,3,0,0,6
9,Data Cards,1,1,5,0,0,0,0,0,0,0,1
10,Unlocked Cell Phones,6328,6328,3,0,153.84,370,225,344,1455,2505,1429
11,No-Contract Cell Phones,2,767,3,2,71.98,84,120,154,204,119,86
12,Contract Cell Phones,619,619,3,0,86.27,96,14,45,118,107,239
13,Phones,713,713,11,0,72.81,78,117,139,186,116,77
14,Minutes,52,52,11,0,49.04,6,3,14,18,2,9
15,Data Cables,6671,6671,2,0,8.05,4336,1159,139,21,7,1009
16,Chargers,344,17259,2,5,11.87,9641,3457,885,194,85,2997
17,Replacement Parts,6592,6592,2,0,17.91,3018,1820,720,240,116,678
18,Accessory Kits,26545,26545,2,0,8.23,17289,2612,594,189,99,5762
19,Screen Protectors,15879,15879,2,0,6.83,12189,1949,226,55,41,1419
20,Car Accessories,1,5855,2,3,18.91,2049,2149,689,155,66,747
21,Batteries,592,9868,2,3,15.68,4445,2878,964,260,47,1274
22,Headsets,108,10190,2,2,25.11,3369,2104,1464,681,228,2344
23,Phone Charms,3073,3073,2,0,7.79,2016,279,77,13,7,681
24,Stylus Pens,3584,3584,2,0,8.65,2386,709,90,16,8,375
25,Smart Watches & Accessories,148,148,2,0,113.35,2,6,31,33,50,26
26,Bluetooth Speakers,782,782,2,0,46.82,25,254,249,95,73,86
27,SIM Cards & Tools,506,506,2,0,14.91,304,78,47,11,6,60
28,Audio Adapters,497,497,2,0,7.26,395,44,19,2,0,37
29,Signal Boosters,586,586,2,0,124.34,75,94,89,76,186,66
30,"Cradles, Mounts & Stands",1,48,2,1,15.04,23,12,5,1,0,7
31,Stands,47,47,30,0,14.99,23,11,5,1,0,7
32,Bluetooth Headsets,5066,5066,22,0,36.56,745,1157,1197,574,175,1218
33,Wired Headsets,5023,5023,22,0,13.26,2597,935,257,95,42,1097
34,Internal Batteries,6651,6651,21,0,11.0,3707,1823,252,70,8,791
35,Battery Charger Cases,560,560,21,0,29.26,84,209,138,52,7,70
36,External Battery Packs,2079,2079,21,0,25.12,456,740,519,116,18,230
37,Car Cradles & Mounts,92,4704,20,2,16.61,1644,1904,526,67,20,543
38,Car Kits,845,845,20,0,16.09,393,206,60,28,12,146
39,Car Speakerphones,312,312,20,0,65.6,12,39,105,62,35,59
40,Car Mounts,4189,4189,37,0,16.7,1516,1722,494,62,19,376
41,Car Cradles,424,424,37,0,14.98,106,168,30,3,0,117
42,Travel Chargers,7122,7122,16,0,10.47,4224,1277,324,55,20,1222
43,Car Chargers,7650,7650,16,0,8.99,4684,1364,213,38,15,1336
44,Cell Phone Docks,1894,1894,16,0,19.71,601,665,244,53,17,314
45,Solar Chargers,284,284,16,0,63.61,21,86,70,29,32,46
46,International Chargers,169,169,16,0,14.19,61,56,18,0,0,34
47,Basic Cases,223962,223962,1,0,9.52,138462,33095,7218,1963,754,42470
48,Wallet Cases,7777,7777,1,0,11.68,4979,1758,392,77,31,540
49,Armbands,1541,1541,1,0,11.0,950,450,30,1,4,106
50,Holsters & Clips,4352,4352,1,0,10.16,2244,745,187,16,7,1153
51,Waterproof Cases,1757,1757,1,0,21.26,732,527,179,180,14,125
52,Sleeves,184,184,1,0,15.7,92,52,25,0,2,13
53,Customizable Cases,2,2,1,0,24.48,0,1,1,0,0,0
