id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Classical,0,2347,,5,3.71,549,14,1,0,0,1783
1,Historical Periods,1,1761,0,6,3.45,413,10,1,0,0,1337
2,Compilations,17,17,0,0,4.82,6,0,0,0,0,11
3,Symphonies,308,308,0,0,4.05,88,2,0,0,0,218
4,Chamber Music,521,521,0,0,4.78,82,2,0,0,0,437
5,Ballets & Dances,18,18,0,0,2.59,5,0,0,0,0,13
6,"Modern, 20th, & 21st Century",787,787,1,0,3.66,171,1,1,0,0,614
7,Classical (c.1770-1830),544,544,1,0,2.86,186,7,0,0,0,351
8,Romantic (c.1820-1910),268,268,1,0,4.19,46,1,0,0,0,221
9,Early Music,34,34,1,0,4.23,12,0,0,0,0,22
10,Renaissance (c.1450-1600),23,23,1,0,5.19,5,0,0,0,0,18
11,Baroque (c.1600-1750),204,204,1,0,3.44,24,1,0,0,0,179
