id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,"Clothing, Shoes & Jewelry",0,1503384,,225,46.29,109100,199603,131929,76007,58243,928502
1,Girls,19160,78291,0,6,25.05,4337,11362,6131,1693,251,54517
2,"Novelty, Costumes & More",922,466352,0,12,36.2,67480,94773,50635,21433,15895,216136
3,Women,159802,837929,0,10,47.15,62603,106712,79164,47498,34382,507570
4,Men,47798,371334,0,7,59.5,18443,45177,28247,21428,20344,237695
5,Luggage & Travel Gear,2646,34933,0,8,67.42,1795,5313,4713,3127,3487,16498
6,Baby,648,43271,0,2,19.6,2971,6528,2689,326,36,30721
7,Boys,16768,60338,0,6,25.62,3001,7825,4347,1313,185,43667
8,Sport Watches,10555,10555,0,0,145.81,63,510,502,1076,1950,6454
9,Comfort Shoes,50943,50943,0,0,91.57,1,243,1620,2869,2287,43923
10,Fashion Watches,28997,28997,0,0,136.64,330,1277,1043,4122,6346,15879
11,Michael Kors Watches,813,813,0,0,185.03,0,1,0,1,526,285
12,Women's Luxury Brands,40832,40832,0,0,158.32,94,442,1378,2611,6223,30084
13,Citizen,1199,1199,0,0,268.87,0,0,1,41,456,701
14,Shoes & Accessories: International Shipping Available,268065,268065,0,0,86.18,235,2740,10311,14582,9620,230577
15,F,0,14887,0,33,116.99,27,173,471,904,1065,12247
16,E,0,12302,0,42,69.59,68,509,633,582,522,9988
17,Luxury Watches,2914,2914,0,0,645.42,0,0,0,5,344,2565
18,T,0,20209,0,53,102.56,52,535,698,1195,1361,16368
19,N,0,39550,0,30,66.19,78,998,1923,2757,1040,32754
20,Timex,2338,2338,0,0,51.07,29,122,598,227,106,1256
21,Men's Athletic Watches,2209,2209,0,0,144.86,23,149,150,462,778,647
22,K,0,17019,0,34,67.44,28,521,1205,1335,564,13366
23,Kenneth Cole,1065,1065,0,0,77.93,0,1,109,295,103,557
24,New Arrivals,39040,46004,0,1,133.19,307,2310,3497,6465,8972,24453
25,Jewelry: International Shipping Available,73507,73507,0,0,106.63,455,4737,7592,7478,9410,43835
26,Available for International Shipping,34623,34623,0,0,131.59,280,1825,2738,4916,6825,18039
27,Skagen Watches,1433,1433,0,0,111.13,0,0,2,101,125,1205
28,Gifts,465,748,0,1,131.59,1,33,36,23,58,597
29,Watch Gifts,450,450,0,0,105.83,1,29,17,15,25,363
30,C,0,50124,0,80,88.64,92,987,2025,2444,2211,42365
31,"Street, Surf & Skate",14912,14912,0,0,55.35,15,287,869,1003,134,12604
32,adidas,8645,8645,0,0,59.0,21,174,364,617,98,7371
33,R,0,25827,0,61,70.88,86,715,1253,1123,986,21664
34,B,0,25529,0,73,81.09,100,514,1237,1699,1238,20741
35,ASICS,5963,5963,0,0,77.55,3,60,112,393,125,5270
36,P,0,18595,0,54,68.81,43,460,1148,1567,607,14770
37,L,0,15139,0,54,65.99,438,826,1275,991,628,10981
38,S,0,43100,0,90,59.17,216,1369,2220,2165,795,36335
39,Boot Shop,5309,45440,0,4,99.12,41,838,2074,2494,2646,37347
40,Vegetarian,2206,2206,0,0,49.63,2,39,111,51,11,1992
41,AmeriBag,128,128,0,0,65.82,0,4,32,24,11,57
42,Gemstones,27374,27374,0,0,76.5,737,2793,4414,2257,2441,14732
43,Jewelry Outlet,7775,7775,0,0,34.48,1731,1831,800,254,231,2928
44,Pearl Jewelry,5712,5712,0,0,101.83,167,501,651,581,829,2983
45,Diamonds,11684,11684,0,0,221.28,14,238,752,844,2713,7123
46,D,0,25887,0,54,80.35,66,815,1193,1032,1417,21364
47,G,0,8574,0,46,107.33,10,178,439,693,748,6506
48,Timex test,375,375,0,0,46.28,0,32,273,35,33,2
49,H,0,7581,0,23,66.71,34,229,384,402,264,6268
50,Fossil Watches,2374,2374,0,0,106.12,1,0,5,203,219,1946
51,Cameos,28,28,0,0,35.94,0,11,1,0,2,14
52,Antique & Estate Jewelry,1,2542,0,5,46.88,30,379,548,315,97,1173
53,Diesel Watches,532,532,0,0,152.01,0,0,0,60,208,264
54,Gucci Watches,226,226,0,0,648.41,0,0,0,0,41,185
55,M,0,19734,0,73,102.76,40,189,615,1069,1022,16799
56,J,0,10836,0,36,85.2,45,203,493,654,548,8893
57,Made in USA,589,589,0,0,104.21,5,16,33,30,45,460
58,Heart-Shaped Jewelry,3964,3964,0,0,39.1,381,1067,608,259,176,1473
59,Last Chance Savings,872,872,0,0,103.95,3,2,11,7,10,839
60,Amazon Curated Collection,26728,26728,0,0,76.76,82,1964,2822,1509,1697,18654
61,Ariat,958,958,0,0,106.8,5,22,9,25,58,839
62,Anne Klein,840,840,0,0,75.96,0,0,27,198,23,592
63,Plain Gold Jewelry,541,541,0,0,159.0,0,14,38,110,182,197
64,Winter Promo,11828,11828,0,0,112.05,2,45,297,593,609,10282
65,Fine Jewelry,69,1304,0,14,323.07,0,0,5,41,231,1027
66,Test Women AAQ,168,168,0,0,33.38,1,43,101,12,2,9
67,Free One-Day Shipping on Jewelry,678,678,0,0,309.26,0,0,0,16,111,551
68,Diamond Sale,104,104,0,0,264.39,0,0,0,0,3,101
69,Avia,520,520,0,0,46.39,0,12,72,57,0,379
70,Kids' Watches,161,1279,0,2,20.81,170,293,132,15,5,664
71,Women's Athletic Watches,599,599,0,0,82.91,18,51,78,139,91,222
72,I,0,3955,0,16,65.33,32,161,269,186,180,3127
73,Anarchy,56,56,0,0,49.31,1,1,19,14,0,21
74,Shop by Designer,15533,15533,0,0,68.16,97,1264,2533,1353,1005,9281
75,Men's Designer Jewelry,196,196,0,0,238.43,0,0,7,12,82,95
76,Boutique Designer Jewelry,4849,4849,0,0,73.17,3,132,535,493,277,3409
77,Timeless Designer Jewelry,1606,1606,0,0,84.38,12,144,172,129,148,1001
78,Eco-Friendly,197,197,0,0,21.81,3,13,6,0,0,175
79,Fall Event,1617,1617,0,0,79.36,0,3,53,127,37,1397
80,"Three, Five & Seven Stone Jewelry",0,612,0,3,139.83,47,33,85,46,79,322
81,Seiko Watches,2966,2966,0,0,159.57,1,20,31,522,1176,1216
