id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Health & Personal Care,13365,263032,,9,28.61,56197,74807,42035,15964,7040,66989
1,Personal Care,783,41626,0,9,25.19,10289,11071,4943,1872,1008,12443
2,Medical Supplies & Equipment,1269,33493,0,11,46.17,5045,8867,6561,3235,2389,7396
3,Stationery & Party Supplies,9,12367,0,3,17.89,5593,2738,779,346,218,2693
4,Vitamins & Dietary Supplements,3462,49086,0,6,26.78,6710,17728,10369,2901,749,10629
5,Sexual Wellness,2786,19332,0,8,22.66,5213,6516,2683,943,324,3653
6,Sports Nutrition,3016,9968,0,10,35.34,491,2187,2797,937,172,3384
7,Health Care,572,50675,0,17,28.25,11692,14116,7696,3129,1376,12666
8,Household Supplies,3466,32313,0,7,22.52,9058,8787,4106,1747,485,8130
9,Baby & Child Care,65,863,0,2,20.5,185,219,100,26,10,323
10,Personal Care,0,720,9,3,21.73,144,176,91,24,9,276
11,Health Care,0,78,9,5,13.13,31,26,4,0,1,16
12,Children's Vitamins,45,45,11,0,13.42,13,20,3,0,0,9
13,Pain Relievers,0,7,11,2,9.94,4,2,0,0,0,1
14,Cold & Flu Remedies,20,20,11,0,12.55,13,2,0,0,1,4
15,Allergy Medicine,3,3,11,0,17.81,1,1,1,0,0,0
16,Bandages,3,3,11,0,16.99,0,1,0,0,0,2
17,Non-Aspirin,0,5,13,2,6.82,3,1,0,0,0,1
18,Aspirin,2,2,13,0,16.18,1,1,0,0,0,0
19,Ibuprofen,1,1,17,0,5.69,1,0,0,0,0,0
20,Acetaminophen,4,4,17,0,7.19,2,1,0,0,0,1
21,Baby Bath,691,691,10,0,22.25,132,167,90,24,9,269
22,Oral Hygiene,0,28,10,2,12.03,11,9,1,0,0,7
23,Hair Care,1,1,10,0,8.99,1,0,0,0,0,0
24,Toothbrushes,25,25,22,0,12.28,10,9,1,0,0,5
25,Toothpaste,3,3,22,0,6.95,1,0,0,0,0,2
26,Household Batteries,152,4668,8,11,18.6,2086,1176,466,175,87,678
27,Cleaning Tools,145,5090,8,8,19.44,1652,1507,442,208,73,1208
28,Paper & Plastic,86,6403,8,8,26.05,1722,1391,1069,597,105,1519
29,Laundry,179,3311,8,8,24.07,634,985,469,193,39,991
30,Household Cleaning,300,6389,8,11,23.57,1588,1877,832,321,102,1669
31,Dishwashing,29,1216,8,3,19.66,351,317,139,63,5,341
32,Air Fresheners,237,1770,8,3,16.59,476,467,155,34,4,634
33,Spray,527,527,32,0,17.68,157,129,54,18,1,168
34,Solids & Liquids,721,721,32,0,16.14,173,221,58,8,1,260
35,Electric,285,285,32,0,16.81,86,66,26,5,2,100
36,Scouring Pads,304,304,31,0,11.26,149,83,18,0,0,54
37,Dish Detergent,426,426,31,0,21.87,88,97,57,27,1,156
38,Dishwasher Detergent,457,457,31,0,24.26,106,131,63,35,4,118
39,Cloths & Wipes,954,954,30,0,20.42,288,261,104,43,11,247
40,All-Purpose Cleaners,1671,1671,30,0,24.43,357,498,239,107,25,445
41,Carpet Cleaners & Deodorizers,460,460,30,0,28.92,82,164,60,11,18,125
42,Bathroom Cleaners,733,733,30,0,19.89,201,175,109,38,0,210
43,Furniture & Wood Polishes,340,340,30,0,16.75,110,120,38,12,0,60
44,Drain Openers,193,193,30,0,40.53,37,64,32,6,13,41
45,Glass Cleaners,313,313,30,0,18.25,88,103,35,17,0,70
46,Upholstery Cleaners,47,47,30,0,26.88,9,18,6,1,3,10
47,Floor Cleaners,654,654,30,0,34.93,100,199,107,50,23,175
48,Kitchen Cleaners,392,392,30,0,16.54,119,110,31,9,3,120
49,Metal Polishes,332,332,30,0,18.56,131,94,31,16,3,57
50,Liquid Detergent,980,980,29,0,31.79,85,297,164,111,17,306
51,Powder Detergent,398,398,29,0,32.84,27,99,88,21,11,152
52,Stain Removal,535,535,29,0,16.6,176,172,58,14,1,114
53,Lint Removal,340,340,29,0,12.86,143,102,21,5,0,69
54,Bleach,76,76,29,0,22.89,14,25,13,4,0,20
55,Fabric Softener,567,567,29,0,22.3,107,175,73,27,5,180
56,Fabric Deodorizer,153,153,29,0,23.05,26,35,22,6,1,63
57,Starch & Anti-static Sprays,83,83,29,0,16.23,24,37,8,0,1,13
58,Plates & Cutlery,44,1349,28,6,23.69,448,293,184,114,25,285
59,Cups & Straws,14,1529,28,3,25.64,532,286,195,145,44,327
60,Trash Bags,101,685,28,4,26.23,108,212,152,52,3,158
61,Bath Tissue,457,457,28,0,33.31,55,95,120,63,4,120
62,Facial Tissues,376,376,28,0,27.02,70,70,56,37,2,141
63,Napkins,556,556,28,0,18.35,211,75,34,25,7,204
64,Paper Towels,300,300,28,0,36.44,22,63,81,41,4,89
65,Food Storage,1065,1065,28,0,27.1,254,271,236,114,14,176
66,Tall Kitchen Bags,288,288,60,0,26.91,43,95,60,28,0,62
67,Lawn & Leaf Bags,120,120,60,0,25.16,13,41,23,8,0,35
