id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Jazz,0,2939,,16,3.68,724,14,1,0,0,2200
1,Jazz Fusion,865,865,0,0,3.38,262,1,0,0,0,602
2,Swing Jazz,311,311,0,0,4.1,82,0,0,0,0,229
3,Acid Jazz,47,47,0,0,1.84,15,0,0,0,0,32
4,Vocal Jazz,498,498,0,0,3.95,115,3,0,0,0,380
5,Avant Garde & Free Jazz,463,463,0,0,3.16,77,1,0,0,0,385
6,Smooth Jazz,469,469,0,0,2.76,191,1,0,0,0,277
7,Traditional Jazz & Ragtime,396,396,0,0,4.56,97,4,1,0,0,294
8,Bebop,230,230,0,0,3.81,48,4,0,0,0,178
9,Cool Jazz,91,91,0,0,4.34,25,2,0,0,0,64
10,Latin Jazz,233,233,0,0,3.63,50,1,0,0,0,182
11,New Orleans Jazz,73,73,0,0,4.24,27,1,0,0,0,45
12,Modern Postbebop,57,57,0,0,1.74,13,0,0,0,0,44
13,Compilations,20,20,0,0,3.89,8,0,0,0,0,12
14,Live Recordings,10,10,0,0,11.49,0,2,0,0,0,8
15,Brazilian Jazz,75,75,0,0,3.69,13,1,0,0,0,61
16,Soul-Jazz & Boogaloo,136,136,0,0,2.63,38,1,0,0,0,97
