id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Magazine Subscriptions,13,1478,,36,82.87,2,58,391,363,195,469
1,Entertainment,17,134,0,12,88.73,0,7,37,41,25,24
2,Automotive,33,58,0,9,90.4,0,1,20,22,8,7
3,Outdoors & Nature,15,61,0,14,48.52,2,4,34,14,2,5
4,Business & Investing,27,57,0,13,146.41,0,0,12,11,13,21
5,News & Politics,7,22,0,2,149.0,0,0,4,4,8,6
6,Professional & Trade,47,474,0,11,100.59,1,19,67,96,75,216
7,Sports & Leisure,36,188,0,20,56.05,1,13,80,61,12,21
8,Transportation,1,60,0,3,90.63,0,1,17,25,8,9
9,Home & Garden,10,236,0,18,72.7,0,12,78,72,32,42
10,Arts & Photography,7,58,0,6,84.96,0,2,15,18,11,12
11,Fashion & Style,1,48,0,4,133.72,0,0,11,17,16,4
12,Religion & Spirituality,18,51,0,9,52.81,0,4,15,14,3,15
13,Literary Magazines & Journals,32,69,0,7,88.23,0,1,15,22,9,22
14,Electronics & Audio,1,10,0,3,109.61,0,0,1,3,4,2
15,History,32,61,0,8,68.17,0,1,15,17,5,23
16,Science & Nature,32,73,0,11,65.29,1,7,16,24,8,17
17,"Health, Mind & Body",4,39,0,7,46.19,0,3,21,11,0,4
18,"Cooking, Food & Wine",8,56,0,16,71.67,0,3,26,13,9,5
19,Computers & Internet,8,28,0,12,85.04,0,0,4,12,3,9
20,Men's Interest,1,21,0,2,98.43,0,0,3,13,3,2
21,Travel & Regional,27,142,0,1,61.47,1,14,58,42,6,21
22,Parenting & Families,7,35,0,3,50.63,0,4,16,7,2,6
23,Women's Interest,28,39,0,5,90.23,0,2,19,8,5,5
24,Lifestyle & Cultures,8,8,0,0,58.21,0,0,3,3,0,2
25,Science Fiction & Fantasy,0,11,0,4,71.15,0,0,3,3,2,3
26,Education,17,17,0,0,54.2,0,2,9,0,2,4
27,Teens,9,9,0,0,35.99,0,2,6,1,0,0
28,International Publications,1,447,0,27,192.77,0,1,16,25,124,281
29,Newspapers,5,29,0,5,249.72,0,0,1,6,7,15
30,Children's,1,40,0,13,44.19,0,3,27,8,0,2
31,Brides & Weddings,0,6,0,5,81.26,0,1,2,0,1,2
32,Newsletters,4,4,0,0,57.25,0,0,1,2,0,1
33,Spanish-Language,2,2,0,0,34.19,0,0,2,0,0,0
34,Law,6,6,0,0,63.98,0,0,0,2,0,4
35,Gay & Lesbian,0,4,0,8,57.76,0,0,1,3,0,0
36,Large Print,5,5,0,0,60.61,0,0,1,4,0,0
37,Lesbians,4,4,35,0,57.76,0,0,1,3,0,0
38,News & Politics,3,3,35,0,66.35,0,0,0,3,0,0
39,Parenting & Families,1,1,35,0,59.5,0,0,0,1,0,0
40,Transgender,2,2,35,0,59.7,0,0,0,2,0,0
41,Biographies & Memoirs,1,1,35,0,79.64,0,0,0,1,0,0
42,Gay Men,3,3,35,0,57.18,0,0,1,2,0,0
43,History,2,2,35,0,69.77,0,0,0,2,0,0
44,Travel,3,3,35,0,57.18,0,0,1,2,0,0
45,By Region,0,2,31,2,29.7,0,0,1,0,0,1
46,Ceremony,3,3,31,0,29.81,0,1,2,0,0,0
47,Etiquette,3,3,31,0,29.81,0,1,2,0,0,0
48,Gowns,3,3,31,0,29.81,0,1,2,0,0,0
49,Planning,5,5,31,0,81.26,0,1,2,0,1,1
50,United States,1,1,45,0,29.7,0,0,1,0,0,0
51,International,1,1,45,0,0,0,0,0,0,0,1
52,Animals,5,5,30,0,40.67,0,1,4,0,0,0
53,By Age,0,33,30,4,43.76,0,3,23,7,0,0
54,Outdoor Fun,6,6,30,0,44.44,0,0,5,1,0,0
55,Educational,25,25,30,0,46.74,0,0,18,5,0,2
56,Entertainment,18,18,30,0,43.74,0,1,14,3,0,0
57,Teaching Aides,16,16,30,0,44.66,0,0,12,3,0,1
58,Girls,5,5,30,0,34.8,0,1,4,0,0,0
59,Sports & Activities,2,2,30,0,33.45,0,1,1,0,0,0
60,Boys,4,4,30,0,46.34,0,0,4,0,0,0
61,Science,7,7,30,0,48.26,0,0,6,1,0,0
62,Reference,3,3,30,0,51.97,0,0,1,1,0,1
63,Art & Music,2,2,30,0,40.27,0,0,2,0,0,0
64,Religion,1,1,30,0,79.85,0,0,0,1,0,0
65,12 and Up,15,15,53,0,42.43,0,2,11,2,0,0
66,Ages 9-12,22,22,53,0,43.83,0,2,16,4,0,0
67,Ages 4-8,12,12,53,0,45.46,0,0,9,3,0,0
68,Baby-3,3,3,53,0,34.55,0,1,1,1,0,0
69,General Interest,19,19,29,0,454.99,0,0,0,2,3,14
70,News & Current Events,3,3,29,0,127.48,0,0,0,2,1,0
71,"Lifestyles, Cultures & Religions",3,3,29,0,66.02,0,0,1,2,0,0
72,Science & Technology,1,1,29,0,65.0,0,0,0,1,0,0
73,Business & Finance,1,1,29,0,753.0,0,0,0,0,1,0
74,United Kingdom,187,187,28,0,195.41,0,0,7,10,72,98
75,Italy,22,22,28,0,321.82,0,0,0,0,6,16
76,Japan,47,47,28,0,0,0,0,0,0,0,47
77,South Africa,5,5,28,0,0,0,0,0,0,0,5
78,Singapore,3,3,28,0,0,0,0,0,0,0,3
79,Canada,40,40,28,0,76.88,0,1,8,13,5,13
80,Germany,29,29,28,0,255.56,0,0,0,0,16,13
81,France,44,44,28,0,251.58,0,0,0,1,14,29
82,Turkey,1,1,28,0,0,0,0,0,0,0,1
83,Spain,4,4,28,0,210.7,0,0,0,0,1,3
84,Switzerland,4,4,28,0,0,0,0,0,0,0,4
85,Austria,1,1,28,0,177.5,0,0,0,0,1,0
86,New Zealand,5,5,28,0,87.18,0,0,0,1,0,4
87,Australia,32,32,28,0,192.81,0,0,1,0,5,26
88,Russia,3,3,28,0,0,0,0,0,0,0,3
89,Taiwan: Republic of China,1,1,28,0,0,0,0,0,0,0,1
90,Scotland,4,4,28,0,183.1,0,0,0,0,2,2
