id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Pet Supplies,4113,110707,,34,29.83,25235,31293,15072,6815,4043,28249
1,Dogs,25,72403,0,16,27.24,16097,22383,9907,4435,2029,17552
2,Pet Supplies: International Shipping Available,957,957,0,0,20.11,273,292,134,26,16,216
3,Small Animals,4,3090,0,11,35.78,988,689,308,162,235,708
4,Cats,17,12983,0,16,31.34,2630,3009,2302,862,512,3668
5,Fish & Aquatic Pets,6,8155,0,16,43.05,2229,2104,1070,637,698,1417
6,Birds,0,3867,0,7,37.43,1161,935,424,269,244,834
7,Horses,15,2424,0,9,34.71,363,617,390,204,98,752
8,Buy $25 Save $5 on Nylabone,0,114,0,2,7.41,92,21,0,0,0,1
9,Pet Behavior Center,0,573,0,5,64.62,83,176,103,62,89,60
10,Tetra Pond,0,22,0,4,13.07,9,6,2,0,0,5
11,Bunny Rabbit Central,0,311,0,8,17.59,159,68,28,10,4,42
12,Reptiles & Amphibians,0,1096,0,11,20.48,429,334,106,40,26,161
13,"Spend $25, Save $5 on Select Aquarium Products",2,2,0,0,5.62,2,0,0,0,0,0
14,Hagen,0,475,0,37,18.62,196,136,44,17,8,74
15,Fish for Savings; Up to 70% Off Select Tetra Products,1,1,0,0,5.81,1,0,0,0,0,0
16,Buy $25 Save $5 on Kaytee,0,71,0,1,12.77,44,18,7,2,0,0
17,Buy $50 Save $10 on Wee-Wee Products,0,2,0,1,3.58,2,0,0,0,0,0
18,"Buy 1 Dog Puzzle, Save 20% on Kyjen Dog Toy",2,2,0,0,0,0,0,0,0,0,2
19,$5 Off $25 Plush Puppies Holiday Toys,2,2,0,0,7.24,2,0,0,0,0,0
20,May The Fourth Be With Your Pets,1,1,0,0,15.19,0,1,0,0,0,0
21,Green,9,9,0,0,15.6,0,1,0,0,0,8
22,Pet Supplies Markdowns,7,7,0,0,77.44,2,4,0,0,1,0
