id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,root,0,9354832,,85,34.98,2146505,2014739,984365,479411,412725,3317087
1,Books,1940253,2370585,0,32,17.63,814754,595484,176947,59765,32460,691175
2,Movies & TV,1251,208321,0,2,23.49,40912,72043,31227,9050,2391,52698
3,Movies,142126,142126,2,0,21.42,30498,44817,18126,5082,1100,42503
4,"Clothing, Shoes & Jewelry",0,1503384,0,225,46.29,109100,199603,131929,76007,58243,928502
5,Girls,19160,78291,4,6,25.05,4337,11362,6131,1693,251,54517
6,"Novelty, Costumes & More",922,466352,4,12,36.2,67480,94773,50635,21433,15895,216136
7,Costumes & Accessories,5945,50542,6,6,24.05,8720,12506,7416,1894,511,19495
8,More Accessories,3297,8647,7,3,14.77,3355,2103,596,152,51,2390
9,Kids & Baby,2249,2249,8,0,15.15,748,522,165,33,7,774
10,Sports & Outdoors,13539,532197,0,17,50.18,53943,98480,65460,37753,32156,244405
11,Other Sports,27,13611,10,5,48.24,1038,2416,2079,963,811,6304
12,Dance,120,3041,11,5,29.05,158,719,404,36,54,1670
13,Clothing,161,2781,12,4,23.38,114,678,384,22,8,1575
14,Girls,41,1212,13,7,21.4,61,342,177,9,0,623
15,Skirts,137,137,14,0,13.2,34,57,7,0,0,39
16,Clothing,1340,32866,5,18,21.99,1469,4954,2137,381,31,23894
17,Active,185,1644,16,10,19.42,82,262,77,8,1,1214
18,Active Skirts,76,76,17,0,13.81,11,22,1,0,0,42
19,Toys & Games,18743,336072,0,18,30.63,82652,83734,44654,19801,11850,93381
20,Puzzles,275,13655,19,8,19.06,2764,5728,1395,325,98,3345
21,Jigsaw Puzzles,9816,9816,20,0,19.4,1734,4288,1042,243,60,2449
22,CDs & Vinyl,3764,492799,0,27,19.58,94664,178375,67737,11540,1492,138991
23,Christian,4451,17961,22,10,17.56,4447,6891,2648,174,22,3779
24,Pop & Contemporary,10219,10219,23,0,17.32,2781,4187,1707,83,5,1456
25,Praise & Worship,1840,1840,23,0,20.19,361,650,386,27,4,412
26,Gospel,5938,7454,22,4,16.57,1726,3281,871,47,2,1527
27,TV,65535,65535,2,0,27.28,10285,27116,13086,3999,1291,9758
28,Children's Music,4765,7569,22,5,17.87,1743,2977,1062,119,7,1661
29,Children's,480,480,23,0,15.58,159,152,51,8,0,110
30,Musical Instruments,1210,84901,0,13,94.66,11743,18974,12392,9093,16868,15831
31,Instrument Accessories,709,42715,30,8,35.32,8443,13982,7560,3983,2367,6380
32,General Accessories,12161,18291,31,9,25.0,2296,7233,3486,1041,175,4060
33,Sheet Music Folders,4906,4906,32,0,22.65,826,1851,762,273,28,1166
34,Tools & Home Improvement,0,269120,0,10,60.78,57027,66970,42150,28567,36761,37645
35,Lighting & Ceiling Fans,259,39602,34,8,96.67,3427,6493,5743,5731,9933,8275
36,Lamps & Shades,125,9773,35,5,99.13,380,1122,1623,1636,2581,2431
37,Table Lamps,4802,4802,36,0,105.21,81,450,792,813,1389,1277
38,Alternative Rock,21235,66875,22,10,17.17,16904,25944,9126,793,70,14038
