id,name,productCount,subtreeProductCount,parent,numChildren,averagePrice,numUnder10,numUnder25,numUnder50,numUnder100,numOver100,noPrice
0,Books,1940253,2370585,0,32,17.63,814754,595484,176947,59765,32460,691175
1,"Clothing, Shoes & Jewelry",0,1503384,0,225,46.29,109100,199603,131929,76007,58243,928502
2,Sports & Outdoors,13539,532197,0,17,50.18,53943,98480,65460,37753,32156,244405
3,Electronics,0,498196,0,13,61.41,106502,114657,69631,43907,54996,108503
4,CDs & Vinyl,3764,492799,0,27,19.58,94664,178375,67737,11540,1492,138991
5,Home & Kitchen,10592,436988,0,11,57.75,63506,89760,57512,34996,39394,151820
6,Kindle Store,0,434702,0,9,4.45,250627,14446,1119,300,281,167929
7,Cell Phones & Accessories,523,346793,0,4,13.48,203894,54354,14264,5872,4565,63844
8,Toys & Games,18743,336072,0,18,30.63,82652,83734,44654,19801,11850,93381
9,Automotive,5331,331090,0,13,73.8,45035,62959,61568,53135,59872,48521
10,Digital Music,270356,279899,0,17,4.47,77914,6550,1597,111,2,193725
11,Tools & Home Improvement,0,269120,0,10,60.78,57027,66970,42150,28567,36761,37645
12,Health & Personal Care,13365,263032,0,9,28.61,56197,74807,42035,15964,7040,66989
13,Beauty,0,259204,0,6,24.88,62219,69908,38635,14151,5017,69274
14,Movies & TV,1251,208321,0,2,23.49,40912,72043,31227,9050,2391,52698
15,Everything Else,194914,194914,0,0,26.09,47313,34765,17186,7519,4310,83821
16,Grocery & Gourmet Food,160346,171760,0,9,24.17,30136,43666,29851,8208,1291,58608
17,Office Products,0,134838,0,3,44.88,33324,33249,15900,9353,10659,32353
18,"Arts, Crafts & Sewing",6555,117429,0,19,16.6,54113,26937,7105,2477,1775,25022
19,Pet Supplies,4113,110707,0,34,29.83,25235,31293,15072,6815,4043,28249
20,"Patio, Lawn & Garden",2479,109094,0,65,62.04,19811,22599,15157,9498,11864,30165
21,Musical Instruments,1210,84901,0,13,94.66,11743,18974,12392,9093,16868,15831
22,Baby,71317,71317,0,0,46.57,12763,21671,11510,5645,6152,13576
23,Apps for Android,0,61551,0,29,3.36,156,8,0,0,0,61387
24,Video Games,416,50953,0,16,40.88,12088,13414,9890,4984,3529,7048
25,Industrial & Scientific,1828,47279,0,21,45.04,13802,12183,6866,3871,4100,6457
26,Amazon Instant Video,30648,30648,0,0,18.18,622,1437,369,49,15,28156
27,Amazon Fashion,24145,24145,0,0,33.63,1949,3040,1556,618,448,16534
28,Software,141,18469,0,16,74.52,1614,2488,3538,2000,1949,6880
29,Appliances,164,11656,0,16,87.96,1540,2326,1619,1153,1460,3558
30,Baby Products,0,10147,0,13,37.75,1440,2426,1389,618,484,3790
31,Christian,5179,7641,0,11,2.93,3474,35,0,0,0,4132
32,All Electronics,7571,7571,0,0,54.02,745,630,443,282,324,5147
33,All Beauty,6580,6580,0,0,27.61,1054,1184,771,294,125,3152
34,Collectibles & Fine Art,0,6116,0,12,55.17,835,612,320,340,318,3691
35,Pop,18,5690,0,13,3.19,1653,40,0,0,0,3997
36,International,0,5648,0,13,3.03,1957,28,0,0,0,3663
37,Miscellaneous,0,5359,0,6,3.97,2277,45,3,0,0,3034
38,Dance & Electronic,287,4847,0,12,3.39,1829,32,0,0,0,2986
39,Rock,5,4498,0,14,4.08,1108,21,0,0,0,3369
40,Computers,4450,4450,0,0,40.4,678,613,391,210,152,2406
41,Home Improvement,3944,3944,0,0,54.5,416,481,305,230,207,2305
42,Alternative Rock,1,3866,0,10,3.77,1309,20,1,0,0,2536
43,Kitchen & Dining,3751,3751,0,0,28.59,357,399,184,78,51,2682
44,Office & School Supplies,3316,3316,0,0,27.76,544,460,223,89,52,1948
45,Jazz,0,2939,0,16,3.68,724,14,1,0,0,2200
46,Folk,0,2393,0,6,3.89,575,3,0,0,0,1815
47,Classical,0,2347,0,5,3.71,549,14,1,0,0,1783
48,R&B,0,2281,0,10,2.31,899,5,0,0,0,1377
