id,name,productCount,subtreeProductCount,numChildren,averagePrice
["Books",1940253,2370585,32,17.63],
["Clothing, Shoes & Jewelry",0,1503384,225,46.29]
["Sports & Outdoors",13539,532197,17,50.18],
["Electronics",0,498196,13,61.41],
["CDs & Vinyl",3764,492799,27,19.58],
["Home & Kitchen",10592,436988,11,57.75],
["Kindle Store",0,434702,9,4.45],
["Cell Phones & Accessories",523,346793,4,13.48],
["Toys & Games",18743,336072,18,30.63],
["Automotive",5331,331090,13,73.8],
["Digital Music",270356,279899,17,4.47],
["Tools & Home Improvement",0,269120,10,60.78],
["Health & Personal Care",13365,263032,9,28.61],
["Beauty",0,259204,6,24.88],
["Movies & TV",1251,208321,2,23.49],
["Everything Else",194914,194914,0,26.09],
["Grocery & Gourmet Food",160346,171760,9,24.17],
["Office Products",0,134838,3,44.88],
["Arts, Crafts & Sewing",6555,117429,19,16.6]
["Pet Supplies",4113,110707,34,29.83],
["Patio, Lawn & Garden",2479,109094,65,62.04]
["Musical Instruments",1210,84901,13,94.66],
["Baby",71317,71317,0,46.57],
["Apps for Android",0,61551,29,3.36],
["Video Games",416,50953,16,40.88],
["Industrial & Scientific",1828,47279,21,45.04],
["Amazon Instant Video",30648,30648,0,18.18],
["Amazon Fashion",24145,24145,0,33.63],
["Software",141,18469,16,74.52],
["Appliances",164,11656,16,87.96],
["Baby Products",0,10147,13,37.75],
["Christian",5179,7641,11,2.93],
["All Electronics",7571,7571,0,54.02],
["All Beauty",6580,6580,0,27.61],
["Collectibles & Fine Art",0,6116,12,55.17],
["Pop",18,5690,13,3.19],
["International",0,5648,13,3.03],
["Miscellaneous",0,5359,6,3.97],
["Dance & Electronic",287,4847,12,3.39],
["Rock",5,4498,14,4.08],
["Computers",4450,4450,0,40.4],
["Home Improvement",3944,3944,0,54.5],
["Alternative Rock",1,3866,10,3.77],
["Kitchen & Dining",3751,3751,0,28.59],
["Office & School Supplies",3316,3316,0,27.76],
["Jazz",0,2939,16,3.68],
["Folk",0,2393,6,3.89],
["Classical",0,2347,5,3.71],
["R&B",0,2281,10,2.31],
["Luxury Beauty",1926,1926,0,35.03],
["Buy a Kindle",1895,1895,0,7.3],
["Country",0,1695,10,3.59],
["MP3 Players & Accessories",1672,1672,0,32.05],
["Gospel",1526,1647,4,2.66],
["Magazine Subscriptions",13,1478,36,82.87],
["New Age",0,1307,3,3.02],
["Wine",1237,1237,0,33.82],
["Hard Rock & Metal",0,1068,8,5.77],
["Blues",0,906,11,3.83],
["Rap & Hip-Hop",0,794,10,3.24],
["Latin Music",0,633,28,2.82],
["Gift Cards",0,484,1,108.61],
["Camera & Photo",462,462,0,46.66],
["Car Electronics",408,408,0,91.32],
["GPS & Navigation",361,361,0,83.69],
["Classic Rock",5,346,7,3.51],
["Children's Music",0,313,4,4.51],
["Broadway & Vocalists",0,294,3,4.09],
["Appstore for Android",152,152,0,0],
["Furniture & Decor",108,108,0,199.36],
["Davis",59,59,0,3.11],
["Purchase Circles",0,33,1,45.8],
["Sports Collectibles",27,27,0,14.97],
["All Credit Cards",21,21,0,0],
["Entertainment",6,6,0,0],
["Gift Cards Store",5,5,0,133.33],
["Microsoft",4,4,0,4.99],
["Amazon Coins",4,4,0,46.25],
["Amazon Fire TV",3,3,0,0],
["Publishers",0,2,1,0],
["Celebrate your Birthday with Nickelodeon",2,2,0,1.14],
["Nickelodeon",2,2,0,1.14],
["Learning & Education",0,1,1,0.99],
["Collectible Coins",1,1,0,0],
["508510",0,1,1,30.5],
